,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,093,864","+27,436","125,666",+938,"756,383","1,211,815","19,254",,,,,,North America
1,,"
South America
","905,243","+27,299","41,051",+970,"362,046","502,146","11,398",,,,,,South America
2,,"
Europe
","2,034,268","+14,487","174,654",+487,"993,956","865,658","8,748",,,,,,Europe
3,,"
Asia
","1,163,795","+26,998","31,270",+493,"712,913","419,612","13,653",,,,,,Asia
4,,"
Africa
","154,907","+6,132","4,369",+124,"65,931","84,607",347,,,,,,Africa
5,,"
Oceania
","8,814",+10,125,,"8,201",488,3,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,361,612","+102,362","377,150","+3,012","2,900,081","3,084,381","53,407",816,48.4,,,,All
8,1,USA,"1,859,174","+22,004","106,923 ",+728,"615,348","1,136,903","16,949","5,619",323,"18,150,053","54,859","330,848,770 ",North America
9,2,Brazil,"529,018","+14,169","30,046 ",+732,"211,080","287,892","8,318","2,490",141,"930,013","4,378","212,438,640 ",South America
10,3,Russia,"414,878","+9,035","4,855 ",+162,"175,877","234,146","2,300","2,843",33,"10,923,108","74,852","145,929,678 ",Europe
11,4,Spain,"286,718",+209,"27,127 ",,"196,958","62,633",617,"6,133",580,"4,063,843","86,921","46,753,394 ",Europe
12,5,UK,"276,332","+1,570","39,045 ",+111,N/A,N/A,"1,559","4,072",575,"4,285,738","63,158","67,857,854 ",Europe
13,6,Italy,"233,197",+200,"33,475 ",+60,"158,355","41,367",424,"3,857",554,"3,910,133","64,664","60,468,537 ",Europe
14,7,India,"198,370","+7,761","5,608 ",+200,"95,754","97,008","8,944",144,4,"3,837,207","2,783","1,378,900,337 ",Asia
15,8,France,"189,220",+338,"28,833 ",+31,"68,440","91,947","1,302","2,899",442,"1,384,633","21,216","65,262,335 ",Europe
16,9,Germany,"183,765",+271,"8,618 ",+13,"165,900","9,247",677,"2,194",103,"3,952,971","47,192","83,763,076 ",Europe
17,10,Peru,"170,039","+5,563","4,634 ",+128,"68,507","96,898",988,"5,163",141,"1,076,659","32,692","32,933,472 ",South America
18,11,Turkey,"164,769",+827,"4,563 ",+23,"128,947","31,259",651,"1,955",54,"2,070,719","24,574","84,264,770 ",Asia
19,12,Iran,"154,445","+2,979","7,878 ",+81,"121,004","25,563","2,578","1,841",94,"955,865","11,392","83,903,764 ",Asia
20,13,Chile,"105,159","+5,471","1,113 ",+59,"44,946","59,100","1,446","5,505",58,"599,330","31,374","19,102,957 ",South America
21,14,Canada,"91,705",+758,"7,326 ",+31,"49,726","34,653","1,648","2,431",194,"1,695,918","44,966","37,715,413 ",North America
22,15,Mexico,"90,664","+3,152","9,930 ",+151,"64,326","16,408",378,704,77,"270,992","2,104","128,822,037 ",North America
23,16,Saudi Arabia,"87,142","+1,881",525 ,+22,"64,306","22,311",384,"2,506",15,"822,769","23,664","34,768,083 ",Asia
24,17,Pakistan,"72,460","+2,964","1,543 ",+60,"26,083","44,834",111,329,7,"561,136","2,545","220,521,124 ",Asia
25,18,Belgium,"58,517",+136,"9,486 ",+19,"15,919","33,112",163,"5,051",819,"876,306","75,637","11,585,664 ",Europe
26,19,Qatar,"58,433","+1,523",40 ,+2,"33,437","24,956",240,"20,311",14,"225,919","78,528","2,876,910 ",Asia
27,20,Bangladesh,"49,534","+2,381",672 ,+22,"10,597","38,265",1,301,4,"320,969","1,951","164,555,754 ",Asia
28,21,Netherlands,"46,545",+103,"5,962 ",+6,N/A,N/A,158,"2,717",348,"349,496","20,400","17,131,938 ",Europe
29,22,Belarus,"43,403",+847,240 ,+5,"18,776","24,387",92,"4,593",25,"553,377","58,561","9,449,559 ",Europe
30,23,Ecuador,"39,098",,"3,358 ",,"19,592","16,148",220,"2,219",191,"117,422","6,664","17,620,485 ",South America
31,24,Sweden,"37,814",+272,"4,403 ",+8,"4,971","28,440",267,"3,746",436,"238,800","23,657","10,094,260 ",Europe
32,25,Singapore,"35,292",+408,24 ,+1,"22,466","12,802",7,"6,036",4,"334,691","57,245","5,846,646 ",Asia
33,26,UAE,"35,192",+635,266 ,+2,"18,338","16,588",1,"3,562",27,"2,110,493","213,601","9,880,535 ",Asia
34,27,South Africa,"34,357","+1,674",705 ,+22,"17,291","16,361",128,580,12,"742,742","12,536","59,246,734 ",Africa
35,28,Portugal,"32,700",+200,"1,424 ",+14,"19,552","11,724",64,"3,206",140,"812,415","79,657","10,198,931 ",Europe
36,29,Switzerland,"30,871",+9,"1,920 ",,"28,500",451,28,"3,569",222,"399,215","46,154","8,649,556 ",Europe
37,30,Colombia,"30,493","+1,110",969 ,+30,"9,661","19,863",136,600,19,"319,779","6,290","50,838,520 ",South America
38,31,Kuwait,"27,762",+719,220 ,+8,"12,899","14,643",204,"6,509",52,"290,013","67,994","4,265,264 ",Asia
39,32,Indonesia,"26,940",+467,"1,641 ",+28,"7,637","17,662",,99,6,"333,415","1,220","273,287,113 ",Asia
40,33,Egypt,"26,384","+1,399","1,005 ",+46,"6,447","18,932",41,258,10,"135,000","1,321","102,167,945 ",Africa
41,34,Ireland,"25,062",+72,"1,650 ",,"22,089","1,323",36,"5,080",334,"325,795","66,041","4,933,258 ",Europe
