,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,044,545","+3,712","123,858",+386,"670,607","1,250,080","19,435",,,,,,North America
1,,"
South America
","847,008","+2,389","39,340",+25,"345,961","461,707","11,281",,,,,,South America
2,,"
Europe
","2,014,479","+10,253","173,461",+181,"983,945","857,073","8,793",,,,,,Europe
3,,"
Asia
","1,117,573","+10,052","30,392",+185,"675,405","411,776","13,578",,,,,,Asia
4,,"
Africa
","143,990",+221,"4,096",+4,"61,329","78,565",358,,,,,,Africa
5,,"
Oceania
","8,804",+10,125,,"8,196",483,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,177,120","+26,637","371,287",+781,"2,746,094","3,059,739","53,453",792,47.6,,,,All
8,1,USA,"1,816,897",+77,"105,557 ",,"535,238","1,176,102","17,163","5,492",319,"17,270,841","52,203","330,838,184 ",North America
9,2,Brazil,"499,966","+1,526","28,849 ",+15,"205,371","265,746","8,318","2,354",136,"930,013","4,378","212,430,396 ",South America
10,3,Russia,"405,843","+9,268","4,693 ",+138,"171,883","229,267","2,300","2,781",32,"10,600,000","72,638","145,929,337 ",Europe
11,4,Spain,"286,308",,"27,125 ",,"196,958","62,225",617,"6,124",580,"3,556,567","76,071","46,753,295 ",Europe
12,5,UK,"272,826",,"38,376 ",,N/A,N/A,"1,559","4,021",566,"4,171,408","61,474","67,855,909 ",Europe
13,6,Italy,"232,664",,"33,340 ",,"155,633","43,691",450,"3,848",551,"3,824,621","63,249","60,469,020 ",Europe
14,7,France,"188,625",,"28,771 ",,"68,268","91,586","1,325","2,890",441,"1,384,633","21,217","65,261,548 ",Europe
15,8,Germany,"183,294",,"8,600 ",,"165,200","9,494",720,"2,188",103,"3,952,971","47,193","83,761,616 ",Europe
16,9,India,"182,889","+1,062","5,186 ",+1,"87,049","90,654","8,944",133,4,"3,737,027","2,710","1,378,826,256 ",Asia
17,10,Turkey,"163,103",,"4,515 ",,"126,984","31,604",649,"1,936",54,"2,003,594","23,779","84,259,813 ",Asia
18,11,Peru,"155,671",,"4,371 ",,"66,447","84,853",960,"4,727",133,"1,012,708","30,752","32,930,962 ",South America
19,12,Iran,"148,950",,"7,734 ",,"116,827","24,389","2,533","1,775",92,"896,571","10,686","83,897,889 ",Asia
20,13,Chile,"94,858",,997 ,,"40,431","53,430","1,371","4,966",52,"563,320","29,490","19,102,061 ",South America
21,14,Canada,"90,190",,"7,073 ",,"48,103","35,014","1,618","2,391",188,"1,634,277","43,334","37,713,606 ",North America
22,15,Mexico,"87,512","+2,885","9,779 ",+364,"61,871","15,862",378,679,76,"270,992","2,104","128,814,639 ",North America
23,16,Saudi Arabia,"83,384",,480 ,,"58,883","24,021",384,"2,398",14,"806,569","23,201","34,765,118 ",Asia
24,17,Pakistan,"69,496","+3,039","1,483 ",+88,"25,271","42,742",111,315,7,"547,030","2,481","220,497,647 ",Asia
25,18,Belgium,"58,381",+195,"9,467 ",+14,"15,887","33,027",168,"5,039",817,"866,497","74,792","11,585,389 ",Europe
26,19,Qatar,"55,262",,36 ,,"25,839","29,387",217,"19,211",13,"217,988","75,779","2,876,643 ",Asia
27,20,Bangladesh,"47,153","+2,545",650 ,+40,"9,781","36,722",1,287,4,"308,940","1,878","164,546,795 ",Asia
28,21,Netherlands,"46,257",,"5,951  ",,N/A,N/A,170,"2,700",347,"349,150","20,380","17,131,732 ",Europe
29,22,Belarus,"41,658",,229 ,,"17,964","23,465",92,"4,408",24,"526,559","55,723","9,449,576 ",Europe
30,23,Ecuador,"38,571",,"3,334 ",,"19,190","16,047",220,"2,189",189,"113,808","6,459","17,619,020 ",South America
31,24,Sweden,"37,113",,"4,395 ",,"4,971","27,747",190,"3,677",435,"238,800","23,658","10,093,917 ",Europe
32,25,Singapore,"34,884",+518,23 ,,"20,727","14,134",7,"5,967",4,"334,691","57,247","5,846,395 ",Asia
33,26,UAE,"33,896",,262 ,,"17,546","16,088",1,"3,431",27,"2,110,493","213,615","9,879,882 ",Asia
34,27,Portugal,"32,203",,"1,396 ",,"19,186","11,621",66,"3,157",137,"795,838","78,030","10,199,093 ",Europe
35,28,South Africa,"30,967",,643 ,,"16,116","14,208",128,523,11,"701,883","11,848","59,242,648 ",Africa
36,29,Switzerland,"30,845",,"1,919 ",,"28,400",526,27,"3,566",222,"394,717","45,636","8,649,211 ",Europe
37,30,Colombia,"28,236",,890 ,,"7,121","20,225",136,555,18,"319,779","6,290","50,835,558 ",South America
38,31,Indonesia,"26,473",+700,"1,613 ",+40,"7,308","17,552",,97,6,"323,376","1,183","273,271,317 ",Asia
39,32,Kuwait,"26,192",,205  ,,"10,156","15,831",206,"6,141",48,"290,013","68,000","4,264,919 ",Asia
40,33,Ireland,"24,929",,"1,651 ",,"22,089","1,189",42,"5,054",335,"325,795","66,045","4,932,957 ",Europe
41,34,Poland,"23,686",+115,"1,064 ",+3,"11,271","11,351",160,626,28,"899,069","23,753","37,849,973 ",Europe
42,35,Ukraine,"23,672",+468,708 ,+12,"9,538","13,426",278,541,16,"356,565","8,149","43,754,416 ",Europe
43,36,Egypt,"23,449",,913 ,,"5,693","16,843",41,230,9,"135,000","1,321","102,157,382 ",Africa
44,37,Romania,"19,257",+124,"1,262 ",+3,"13,256","4,739",160,"1,000",66,"439,197","22,818","19,247,736 ",Europe
45,38,Philippines,"17,224",,950 ,,"3,808","12,466",56,157,9,"340,954","3,115","109,451,714 ",Asia
46,39,Israel,"17,024",+12,284 ,,"14,812","1,928",39,"1,851",31,"568,452","61,804","9,197,590 ",Asia
47,40,Dominican Republic,"16,908",,498 ,,"9,557","6,853",106,"1,560",46,"76,930","7,098","10,838,453 ",North America
48,41,Japan,"16,804",,886 ,,"14,406","1,512",123,133,7,"287,754","2,275","126,507,477 ",Asia
49,42,Austria,"16,685",,668 ,,"15,520",497,23,"1,853",74,"448,534","49,826","9,002,048 ",Europe
50,43,Argentina,"16,214",,528 ,,"4,788","10,898",259,359,12,"155,407","3,441","45,159,906 ",South America
51,44,Afghanistan,"15,205",+680,257 ,+8,"1,328","13,620",19,391,7,"38,460",990,"38,846,163 ",Asia
52,45,Panama,"13,018",,330 ,,"9,414","3,274",78,"3,021",77,"66,192","15,363","4,308,653 ",North America
53,46,Denmark,"11,633",,571 ,,"10,327",735,20,"2,009",99,"618,860","106,875","5,790,499 ",Europe
54,47,S. Korea,"11,468",+27,270 ,+1,"10,405",793,15,224,5,"910,822","17,767","51,265,561 ",Asia
55,48,Serbia,"11,381",,242 ,,"6,606","4,533",10,"1,302",28,"242,782","27,778","8,740,173 ",Europe
