,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,016,484","+4,508","122,356",+394,"649,844","1,244,284","19,467",,,,,,North America
1,,"
South America
","800,398",+344,"38,185",+7,"327,866","434,347","11,226",,,,,,South America
2,,"
Europe
","1,998,993","+12,086","172,864",+333,"974,844","851,285","8,882",,,,,,Europe
3,,"
Asia
","1,097,350","+16,916","29,936",+270,"664,919","402,495","13,654",,,,,,Asia
4,,"
Africa
","138,466",+922,"3,955",+10,"58,593","75,918",352,,,,,,Africa
5,,"
Oceania
","8,794",+12,125,,"8,188",481,4,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,061,206","+34,788","367,436","+1,014","2,684,905","3,008,865","53,589",778,47.1,,,,All
8,1,USA,"1,794,153",+623,"104,550 ",+8,"519,611","1,169,992","17,204","5,423",316,"16,812,633","50,819","330,832,890 ",North America
9,2,Brazil,"468,338",,"27,944 ",,"193,181","247,213","8,318","2,205",132,"930,013","4,378","212,426,274 ",South America
10,3,Russia,"396,575","+8,952","4,555 ",+181,"167,469","224,551","2,300","2,718",31,"10,316,200","70,693","145,929,167 ",Europe
11,4,Spain,"285,644",,"27,121 ",,"196,958","61,565",617,"6,110",580,"3,556,567","76,071","46,753,246 ",Europe
12,5,UK,"271,222",,"38,161 ",,N/A,N/A,"1,559","3,997",562,"4,043,686","59,593","67,854,937 ",Europe
13,6,Italy,"232,248",,"33,229  ",,"152,844","46,175",475,"3,841",550,"3,755,279","62,102","60,469,262 ",Europe
14,7,France,"186,835",,"28,714 ",,"67,803","90,318","1,361","2,863",440,"1,384,633","21,217","65,261,155 ",Europe
15,8,Germany,"183,066",+47,"8,595 ",+1,"164,900","9,571",729,"2,186",103,"3,952,971","47,194","83,760,886 ",Europe
16,9,India,"174,355",+864,"4,982 ",+2,"82,945","86,428","8,944",126,4,"3,611,599","2,619","1,378,789,216 ",Asia
17,10,Turkey,"162,120",,"4,489 ",,"125,963","31,668",662,"1,924",53,"1,964,364","23,314","84,257,335 ",Asia
18,11,Iran,"148,950","+2,282","7,734 ",+57,"116,827","24,389","2,533","1,775",92,"896,571","10,687","83,894,952 ",Asia
19,12,Peru,"148,285",,"4,230 ",,"62,791","81,264",926,"4,503",128,"963,617","29,263","32,929,707 ",South America
20,13,Chile,"90,638",,944 ,,"38,598","51,096","1,350","4,745",49,"546,506","28,610","19,101,613 ",South America
21,14,Canada,"89,418",,"6,979 ",,"47,518","34,921","1,618","2,371",185,"1,596,449","42,332","37,712,703 ",North America
22,15,Mexico,"84,627","+3,227","9,415 ",+371,"59,610","15,602",378,657,73,"244,858","1,901","128,810,940 ",North America
23,16,Saudi Arabia,"83,384","+1,618",480 ,+22,"58,883","24,021",384,"2,399",14,"787,465","22,652","34,763,636 ",Asia
24,17,Pakistan,"66,457","+2,429","1,395 ",+78,"24,131","40,931",111,301,6,"532,037","2,413","220,485,909 ",Asia
25,18,Belgium,"58,186",+125,"9,453 ",+23,"15,769","32,964",173,"5,022",816,"848,065","73,202","11,585,252 ",Europe
26,19,Qatar,"55,262","+2,355",36 ,,"25,839","29,387",217,"19,211",13,"217,988","75,782","2,876,510 ",Asia
27,20,Netherlands,"46,257",+131,"5,951 ",+20,N/A,N/A,180,"2,700",347,"348,256","20,328","17,131,629 ",Europe
28,21,Bangladesh,"44,608","+1,764",610 ,+28,"9,375","34,623",1,271,4,"297,054","1,805","164,542,316 ",Asia
29,22,Belarus,"41,658",+894,229 ,+5,"17,964","23,465",92,"4,408",24,"526,559","55,723","9,449,585 ",Europe
30,23,Ecuador,"38,571",,"3,334 ",,"19,190","16,047",220,"2,189",189,"113,808","6,460","17,618,288 ",South America
31,24,Sweden,"37,113",+637,"4,395 ",+45,"4,971","27,747",190,"3,677",435,"238,800","23,658","10,093,745 ",Europe
32,25,Singapore,"34,366",+506,23 ,,"19,631","14,712",8,"5,878",4,"334,691","57,249","5,846,269 ",Asia
