,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,4121778,"+23,490",280868.0,644.0,1451188.0,2389722,47648.0,529.0,36.0,,
1,USA,1347318,+9,80040.0,3.0,238080.0,1029198,16816.0,4070.0,242.0,8918345.0,26943.0
2,Spain,264663,"+1,880",26621.0,143.0,176439.0,61603,1741.0,5661.0,569.0,2467761.0,52781.0
3,Italy,218268,,30395.0,,103031.0,84842,1034.0,3610.0,503.0,2514234.0,41584.0
4,UK,215260,,31587.0,,,183329,1559.0,3171.0,465.0,1728443.0,25461.0
5,Russia,209688,"+11,012",1915.0,88.0,34306.0,173467,2300.0,1437.0,13.0,5448463.0,37335.0
6,France,176658,,26310.0,,56038.0,94310,2812.0,2706.0,403.0,1384633.0,21213.0
7,Germany,171324,,7549.0,,144400.0,19375,1650.0,2045.0,90.0,2755770.0,32891.0
8,Brazil,156061,,10656.0,,61685.0,83720,8318.0,734.0,50.0,339552.0,1597.0
9,Turkey,137115,,3739.0,,89480.0,43896,1168.0,1626.0,44.0,1334411.0,15822.0
10,Iran,106220,,6589.0,,85064.0,14567,2696.0,1265.0,78.0,573220.0,6825.0
11,Canada,67702,,4693.0,,31249.0,31760,502.0,1794.0,124.0,1068000.0,28297.0
12,Peru,65015,,1814.0,,20246.0,42955,748.0,1972.0,55.0,494250.0,14990.0
13,India,62939,+131,2109.0,8.0,19358.0,41472,,46.0,2.0,1609037.0,1166.0
14,Belgium,53081,+485,8656.0,75.0,13642.0,30783,476.0,4580.0,747.0,566101.0,48846.0
15,Netherlands,42382,,5422.0,,,36710,541.0,2473.0,316.0,249655.0,14570.0
16,Saudi Arabia,37136,,239.0,,10144.0,26753,140.0,1067.0,7.0,433500.0,12452.0
17,Mexico,33460,"+1,938",3353.0,193.0,21824.0,8283,378.0,260.0,26.0,128148.0,994.0
18,Switzerland,30305,+54,1830.0,,26400.0,2075,101.0,3502.0,211.0,309595.0,35772.0
19,Pakistan,29465,+729,639.0,3.0,8023.0,20803,111.0,133.0,3.0,283517.0,1284.0
20,Ecuador,29071,,1717.0,,3433.0,23921,181.0,1648.0,97.0,83657.0,4742.0
21,Portugal,27406,,1126.0,,2499.0,23781,120.0,2688.0,110.0,517660.0,50767.0
22,Chile,27219,,304.0,,12667.0,14248,544.0,1424.0,16.0,267904.0,14015.0
23,Sweden,25921,,3220.0,,4971.0,17730,425.0,2567.0,319.0,148500.0,14704.0
24,Singapore,23336,+876,20.0,,2296.0,21020,23.0,3989.0,3.0,175604.0,30016.0
25,Ireland,22760,,1446.0,,17110.0,4204,72.0,4609.0,293.0,214761.0,43493.0
26,Qatar,22520,"+1,189",14.0,1.0,2753.0,19753,72.0,7817.0,5.0,127769.0,44348.0
27,Belarus,22052,,126.0,,6050.0,15876,92.0,2334.0,13.0,251771.0,26644.0
28,UAE,18198,+781,198.0,13.0,4804.0,13196,1.0,1840.0,20.0,1200000.0,121330.0
29,Israel,16458,+4,248.0,1.0,11384.0,4826,74.0,1901.0,29.0,455267.0,52598.0
30,Austria,15871,+38,618.0,3.0,13991.0,1262,72.0,1762.0,69.0,316508.0,35143.0
31,Poland,15821,+170,791.0,6.0,5698.0,9332,160.0,418.0,21.0,460686.0,12172.0
32,Japan,15663,,607.0,,5906.0,9150,287.0,124.0,5.0,211997.0,1676.0
33,Romania,15362,+231,952.0,13.0,7051.0,7359,242.0,799.0,49.0,256749.0,13346.0
34,Ukraine,15232,+522,391.0,15.0,3060.0,11781,201.0,348.0,9.0,176403.0,4034.0
35,Bangladesh,14657,+887,228.0,14.0,2414.0,12015,1.0,89.0,1.0,122557.0,744.0
36,Indonesia,14032,+387,973.0,14.0,2698.0,10361,,51.0,4.0,158273.0,579.0
37,S. Korea,10874,+34,256.0,,9610.0,1008,55.0,212.0,5.0,663886.0,12949.0
38,Philippines,10794,+184,719.0,15.0,1924.0,8151,31.0,99.0,7.0,163177.0,1489.0
39,Colombia,10495,,445.0,,2569.0,7481,130.0,206.0,9.0,144912.0,2848.0
40,Denmark,10319,,526.0,,8093.0,1700,39.0,1782.0,91.0,308984.0,53345.0
41,Serbia,10032,,213.0,,2732.0,7087,43.0,1148.0,24.0,134533.0,15397.0
42,Dominican Republic,9882,,385.0,,2584.0,6913,134.0,911.0,35.0,40591.0,3742.0
43,South Africa,9420,,186.0,,3983.0,5251,77.0,159.0,3.0,324079.0,5464.0
44,Egypt,8964,,514.0,,2002.0,6448,41.0,88.0,5.0,90000.0,879.0
45,Panama,8282,+212,237.0,6.0,4501.0,3544,85.0,1919.0,55.0,40356.0,9353.0
46,Norway,8099,,219.0,,32.0,7848,24.0,1494.0,40.0,195921.0,36140.0
47,Czechia,8095,,276.0,,4448.0,3371,40.0,756.0,26.0,302493.0,28247.0
