,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,205036,"+16,506",4516.0,+463,8745.0,191775,4888.0,619.0,14.0,Jan 20
1,Italy,110574,"+4,782",13155.0,+727,16847.0,80572,4035.0,1829.0,218.0,Jan 29
2,Spain,102136,"+6,213",9053.0,+589,22647.0,70436,5872.0,2185.0,194.0,Jan 30
3,Germany,76544,"+4,736",858.0,+83,18700.0,56986,3405.0,914.0,10.0,Jan 26
4,France,52128,,3523.0,,9444.0,39161,5565.0,799.0,54.0,Jan 23
5,Iran,47593,"+2,988",3036.0,+138,15473.0,29084,3871.0,567.0,36.0,Feb 18
6,UK,29474,"+4,324",2352.0,+563,135.0,26987,163.0,434.0,35.0,Jan 30
7,Switzerland,17137,+532,461.0,+28,2967.0,13709,348.0,1980.0,53.0,Feb 24
8,Turkey,15679,"+2,148",277.0,+63,333.0,15069,847.0,186.0,3.0,Mar 09
9,Belgium,13964,"+1,189",828.0,+123,2132.0,11004,1088.0,1205.0,71.0,Feb 03
10,Netherlands,13614,"+1,019",1173.0,+134,250.0,12191,1053.0,795.0,68.0,Feb 26
11,Austria,10585,+405,146.0,+18,1436.0,9003,215.0,1175.0,16.0,Feb 24
12,S. Korea,9887,+101,165.0,+3,5567.0,4155,55.0,193.0,3.0,Jan 19
13,Canada,9489,+877,108.0,+7,1445.0,7936,120.0,251.0,3.0,Jan 24
14,Portugal,8251,+808,187.0,+27,43.0,8021,230.0,809.0,18.0,Mar 01
15,Brazil,5923,+206,206.0,+5,127.0,5590,296.0,28.0,1.0,Feb 24
16,Israel,5591,+233,25.0,+5,226.0,5340,97.0,646.0,3.0,Feb 20
17,Sweden,4947,+512,239.0,+59,16.0,4692,393.0,490.0,24.0,Jan 30
18,Australia,4864,+101,21.0,+1,345.0,4498,50.0,191.0,0.8,Jan 24
19,Norway,4828,+187,44.0,+5,13.0,4771,105.0,891.0,8.0,Feb 25
20,Czechia,3508,+200,39.0,+8,61.0,3408,70.0,328.0,4.0,Feb 29
21,Ireland,3447,+212,85.0,+14,5.0,3357,103.0,698.0,17.0,Feb 28
22,Denmark,3092,+232,104.0,+14,894.0,2094,145.0,534.0,18.0,Feb 26
23,Chile,3031,+293,16.0,+4,234.0,2781,31.0,159.0,0.8,Mar 02
24,Malaysia,2908,+142,45.0,+2,645.0,2218,102.0,90.0,1.0,Jan 24
25,Russia,2777,+440,24.0,+7,190.0,2563,8.0,19.0,0.2,Jan 30
26,Ecuador,2748,+446,93.0,+14,58.0,2597,100.0,156.0,5.0,Feb 28
27,Romania,2460,+215,86.0,+4,252.0,2122,57.0,128.0,4.0,Feb 25
28,Poland,2420,+109,36.0,+3,7.0,2377,50.0,64.0,1.0,Mar 03
29,Luxembourg,2319,+141,29.0,+6,80.0,2210,31.0,3705.0,46.0,Feb 28
30,Philippines,2311,+227,96.0,+8,50.0,2165,1.0,21.0,0.9,Jan 29
31,Japan,2178,,57.0,,472.0,1649,69.0,17.0,0.5,Jan 14
32,Pakistan,2118,+180,27.0,+1,94.0,1997,12.0,10.0,0.1,Feb 25
33,India,1834,+437,45.0,+10,148.0,1641,,1.0,0.03,Jan 29
