,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81340,+55,3292.0,5.0,74588.0,3460,1034.0,57.0,2.0
1,USA,85749,+314,1304.0,9.0,1868.0,82577,2122.0,259.0,4.0
2,Italy,80589,,8215.0,,10361.0,62013,3612.0,1333.0,136.0
3,Spain,57786,,4365.0,,7015.0,46406,3166.0,1236.0,93.0
4,Germany,47278,"+3,340",281.0,14.0,5673.0,41324,23.0,564.0,3.0
5,Iran,32332,"+2,926",2378.0,144.0,11133.0,18821,2893.0,385.0,28.0
6,France,29155,,1696.0,,4948.0,22511,3375.0,447.0,26.0
7,Switzerland,11951,+140,197.0,5.0,897.0,10857,203.0,1381.0,23.0
8,UK,11658,,578.0,,135.0,10945,163.0,172.0,9.0
9,S. Korea,9332,+91,139.0,8.0,4528.0,4665,59.0,182.0,3.0
10,Netherlands,7431,,434.0,,3.0,6994,761.0,434.0,25.0
11,Belgium,7284,"+1,049",289.0,69.0,858.0,6137,690.0,628.0,25.0
12,Austria,7196,+287,58.0,9.0,225.0,6913,96.0,799.0,6.0
13,Canada,4043,,39.0,,228.0,3776,120.0,107.0,1.0
14,Turkey,3629,,75.0,,26.0,3528,136.0,43.0,0.9
15,Portugal,3544,,60.0,,43.0,3441,61.0,348.0,6.0
16,Norway,3423,+51,15.0,1.0,6.0,3402,70.0,631.0,3.0
17,Australia,3166,+116,13.0,,170.0,2983,23.0,124.0,0.5
18,Israel,3035,+342,10.0,2.0,79.0,2946,49.0,351.0,1.0
19,Brazil,2988,+3,77.0,,6.0,2905,296.0,14.0,0.4
20,Sweden,2858,+18,77.0,,16.0,2765,200.0,283.0,8.0
21,Malaysia,2161,+130,26.0,3.0,259.0,1876,54.0,67.0,0.8
22,Czechia,2062,+137,9.0,,10.0,2043,34.0,193.0,0.8
23,Denmark,2010,+133,41.0,,1.0,1968,94.0,347.0,7.0
24,Ireland,1819,,19.0,,5.0,1795,47.0,368.0,4.0
25,Luxembourg,1453,,9.0,,6.0,1438,3.0,2321.0,14.0
26,Ecuador,1403,,34.0,,3.0,1366,58.0,80.0,2.0
27,Japan,1387,,47.0,,359.0,981,57.0,11.0,0.4
28,Chile,1306,,4.0,,22.0,1280,7.0,68.0,0.2
29,Pakistan,1252,+51,9.0,,23.0,1220,7.0,6.0,0.04
30,Poland,1244,+23,16.0,,7.0,1221,3.0,33.0,0.4
31,Thailand,1136,+91,5.0,1.0,97.0,1034,11.0,16.0,0.07
32,Indonesia,1046,+153,87.0,9.0,46.0,913,,4.0,0.3
33,Russia,1036,+196,3.0,,45.0,988,8.0,7.0,0.02
34,Finland,1035,+77,5.0,,10.0,1020,24.0,187.0,0.9
35,Romania,1029,,24.0,1.0,94.0,911,29.0,53.0,1.0
36,Saudi Arabia,1012,,3.0,,33.0,976,6.0,29.0,0.09
37,South Africa,927,,2.0,2.0,12.0,913,7.0,16.0,0.03
38,Greece,892,,27.0,,42.0,823,53.0,86.0,3.0
39,Philippines,803,+96,54.0,9.0,31.0,718,1.0,7.0,0.5
40,Iceland,802,,2.0,,82.0,718,11.0,2350.0,6.0
41,India,775,+48,20.0,,71.0,684,,0.6,0.01
42,Diamond Princess,712,,10.0,,597.0,105,15.0,,
43,Singapore,683,,2.0,,172.0,509,17.0,117.0,0.3
44,Panama,674,,9.0,,2.0,663,20.0,156.0,2.0
45,Slovenia,632,+70,6.0,,10.0,616,14.0,304.0,3.0
46,Argentina,589,,12.0,,72.0,505,,13.0,0.3
47,Mexico,585,+110,8.0,2.0,4.0,573,1.0,5.0,0.06
48,Peru,580,,9.0,,14.0,557,14.0,18.0,0.3
49,Estonia,575,+37,1.0,,11.0,563,6.0,433.0,0.8
50,Croatia,551,+56,3.0,,37.0,511,14.0,134.0,0.7
51,Qatar,549,,,,43.0,506,6.0,191.0,
52,Hong Kong,518,+64,4.0,,111.0,403,5.0,69.0,0.5
53,Egypt,495,,24.0,,102.0,369,,5.0,0.2
54,Colombia,491,,6.0,,8.0,477,,10.0,0.1
55,Dominican Republic,488,,10.0,,3.0,475,,45.0,0.9
56,Bahrain,458,,4.0,,210.0,244,1.0,269.0,2.0
57,Serbia,457,,7.0,,15.0,435,21.0,52.0,0.8
58,Iraq,382,,36.0,,105.0,241,,9.0,0.9
59,Lebanon,368,,6.0,,23.0,339,3.0,54.0,0.9
60,New Zealand,368,,,,37.0,331,1.0,76.0,
61,Algeria,367,,25.0,,29.0,313,,8.0,0.6
62,Lithuania,345,+46,5.0,1.0,1.0,339,2.0,127.0,2.0
63,UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
64,Armenia,329,+39,1.0,,18.0,310,6.0,111.0,0.3
65,Hungary,300,+39,10.0,,34.0,256,6.0,31.0,1.0
66,Latvia,280,+36,,,1.0,279,,148.0,
67,Bulgaria,276,+12,3.0,,8.0,265,8.0,40.0,0.4
68,Morocco,275,,11.0,,8.0,256,1.0,7.0,0.3
69,Slovakia,269,+43,,,2.0,267,2.0,49.0,
70,Taiwan,267,+15,2.0,,30.0,235,,11.0,0.08
71,Uruguay,238,,,,,238,3.0,69.0,
72,Costa Rica,231,,2.0,,2.0,227,5.0,45.0,0.4
73,Bosnia and Herzegovina,230,+39,3.0,,5.0,222,1.0,70.0,0.9
74,Tunisia,227,+30,6.0,1.0,2.0,219,10.0,19.0,0.5
75,Ukraine,226,+30,5.0,,4.0,217,,5.0,0.1
76,Kuwait,225,+17,,,57.0,168,11.0,53.0,
