,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81340,+55,3292.0,5.0,74588.0,3460,1034.0,57.0,2.0
1,USA,85612,+177,1301.0,6.0,1868.0,82443,2122.0,259.0,4.0
2,Italy,80589,,8215.0,,10361.0,62013,3612.0,1333.0,136.0
3,Spain,57786,,4365.0,,7015.0,46406,3166.0,1236.0,93.0
4,Germany,47278,"+3,340",281.0,14.0,5673.0,41324,23.0,564.0,3.0
5,Iran,32332,"+2,926",2378.0,144.0,11133.0,18821,2746.0,385.0,28.0
6,France,29155,,1696.0,,4948.0,22511,3375.0,447.0,26.0
7,Switzerland,11811,,194.0,2.0,131.0,11486,203.0,1365.0,22.0
8,UK,11658,,578.0,,135.0,10945,163.0,172.0,9.0
9,S. Korea,9332,+91,139.0,8.0,4528.0,4665,59.0,182.0,3.0
10,Netherlands,7431,,434.0,,3.0,6994,761.0,434.0,25.0
11,Austria,7129,+220,58.0,9.0,225.0,6846,96.0,792.0,6.0
12,Belgium,6235,,220.0,,675.0,5340,605.0,538.0,19.0
13,Canada,4043,,39.0,,228.0,3776,120.0,107.0,1.0
14,Turkey,3629,,75.0,,26.0,3528,136.0,43.0,0.9
15,Portugal,3544,,60.0,,43.0,3441,61.0,348.0,6.0
16,Norway,3380,+8,15.0,1.0,6.0,3359,70.0,623.0,3.0
17,Australia,3166,+116,13.0,,170.0,2983,23.0,124.0,0.5
18,Israel,3035,+342,10.0,2.0,79.0,2946,49.0,351.0,1.0
19,Brazil,2985,,77.0,,6.0,2902,296.0,14.0,0.4
20,Sweden,2840,,77.0,,16.0,2747,200.0,281.0,8.0
21,Malaysia,2161,+130,26.0,3.0,259.0,1876,54.0,67.0,0.8
22,Czechia,2062,+137,9.0,,10.0,2043,34.0,193.0,0.8
23,Denmark,2010,+133,41.0,,1.0,1968,94.0,347.0,7.0
24,Ireland,1819,,19.0,,5.0,1795,47.0,368.0,4.0
25,Luxembourg,1453,,9.0,,6.0,1438,3.0,2321.0,14.0
26,Ecuador,1403,,34.0,,3.0,1366,58.0,80.0,2.0
27,Japan,1387,,47.0,,359.0,981,57.0,11.0,0.4
28,Chile,1306,,4.0,,22.0,1280,7.0,68.0,0.2
29,Poland,1244,+23,16.0,,7.0,1221,3.0,33.0,0.4
30,Pakistan,1235,+34,9.0,,23.0,1203,7.0,6.0,0.04
31,Thailand,1136,+91,5.0,1.0,97.0,1034,11.0,16.0,0.07
32,Indonesia,1046,+153,87.0,9.0,46.0,913,,4.0,0.3
33,Russia,1036,+196,3.0,,45.0,988,8.0,7.0,0.02
34,Romania,1029,,24.0,1.0,94.0,911,29.0,53.0,1.0
35,Saudi Arabia,1012,,3.0,,33.0,976,6.0,29.0,0.09
36,Finland,1004,+46,5.0,,10.0,989,24.0,181.0,0.9
37,South Africa,927,,2.0,2.0,12.0,913,7.0,16.0,0.03
38,Greece,892,,27.0,,42.0,823,53.0,86.0,3.0
39,Philippines,803,+96,54.0,9.0,31.0,718,1.0,7.0,0.5
40,Iceland,802,,2.0,,82.0,718,11.0,2350.0,6.0
41,India,761,+34,20.0,,71.0,670,,0.6,0.01
42,Diamond Princess,712,,10.0,,597.0,105,15.0,,
43,Singapore,683,,2.0,,172.0,509,17.0,117.0,0.3
44,Panama,674,,9.0,,2.0,663,20.0,156.0,2.0
45,Argentina,589,,12.0,,72.0,505,,13.0,0.3
46,Mexico,585,+110,8.0,2.0,4.0,573,1.0,5.0,0.06
47,Peru,580,,9.0,,14.0,557,14.0,18.0,0.3
48,Estonia,575,+37,1.0,,8.0,566,6.0,433.0,0.8
49,Slovenia,562,,6.0,,10.0,546,14.0,270.0,3.0
50,Croatia,551,+56,3.0,,37.0,511,14.0,134.0,0.7
51,Qatar,549,,,,43.0,506,6.0,191.0,
52,Hong Kong,518,+64,4.0,,111.0,403,5.0,69.0,0.5
53,Egypt,495,,24.0,,102.0,369,,5.0,0.2
54,Colombia,491,,6.0,,8.0,477,,10.0,0.1
55,Dominican Republic,488,,10.0,,3.0,475,,45.0,0.9
56,Bahrain,458,,4.0,,210.0,244,1.0,269.0,2.0
57,Serbia,457,,7.0,,15.0,435,21.0,52.0,0.8
58,Iraq,382,,36.0,,105.0,241,,9.0,0.9
59,Lebanon,368,,6.0,,23.0,339,3.0,54.0,0.9
60,New Zealand,368,,,,37.0,331,1.0,76.0,
61,Algeria,367,,25.0,,29.0,313,,8.0,0.6
62,Lithuania,345,+46,4.0,,1.0,340,2.0,127.0,1.0
63,UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
64,Armenia,329,+39,1.0,,18.0,310,6.0,111.0,0.3
65,Hungary,300,+39,10.0,,34.0,256,6.0,31.0,1.0
66,Latvia,280,+36,,,1.0,279,,148.0,
67,Bulgaria,276,+12,3.0,,8.0,265,8.0,40.0,0.4
68,Morocco,275,,11.0,,8.0,256,1.0,7.0,0.3
69,Taiwan,267,+15,2.0,,30.0,235,,11.0,0.08
70,Uruguay,238,,,,,238,3.0,69.0,
71,Costa Rica,231,,2.0,,2.0,227,5.0,45.0,0.4
72,Bosnia and Herzegovina,230,+39,3.0,,5.0,222,1.0,70.0,0.9
73,Tunisia,227,+30,6.0,1.0,2.0,219,10.0,19.0,0.5
74,Slovakia,226,,,,2.0,224,2.0,41.0,
75,Kuwait,225,+17,,,57.0,168,11.0,53.0,
76,Andorra,224,,3.0,,1.0,220,6.0,2899.0,39.0
77,Ukraine,218,+22,5.0,,4.0,209,,5.0,0.1
78,Jordan,212,,,,2.0,210,,21.0,
79,San Marino,208,,21.0,,4.0,183,12.0,6130.0,619.0
80,North Macedonia,201,,3.0,,3.0,195,1.0,96.0,1.0
81,Moldova,177,,2.0,1.0,2.0,173,28.0,44.0,0.5
82,Albania,174,,8.0,2.0,17.0,149,3.0,60.0,3.0
83,Vietnam,153,,,,20.0,133,3.0,2.0,
84,Burkina Faso,152,,7.0,,10.0,135,,7.0,0.3
85,Cyprus,146,,3.0,,4.0,139,3.0,121.0,2.0
86,Faeroe Islands,140,,,,54.0,86,2.0,2865.0,
87,Ghana,136,+4,4.0,,1.0,131,1.0,4.0,0.1
88,Réunion,135,,,,1.0,134,,151.0,
89,Malta,134,,,,2.0,132,1.0,303.0,
90,Oman,131,+22,,,23.0,108,,26.0,
91,Kazakhstan,125,+12,1.0,,2.0,122,,7.0,0.05
92,Azerbaijan,122,,3.0,,15.0,104,6.0,12.0,0.3
93,Brunei,114,,,,5.0,109,1.0,261.0,
94,Venezuela,107,,1.0,,15.0,91,2.0,4.0,0.04
95,Sri Lanka,106,,,,7.0,99,5.0,5.0,
96,Senegal,105,,,,9.0,96,,6.0,
97,Cambodia,98,,,,11.0,87,1.0,6.0,
98,Ivory Coast,96,,,,3.0,93,,4.0,
99,Afghanistan,94,,4.0,,2.0,88,,2.0,0.1
100,Palestine,91,+5,1.0,,17.0,73,,18.0,0.2
101,Cameroon,88,+13,2.0,1.0,2.0,84,,3.0,0.08
102,Belarus,86,,,,29.0,57,2.0,9.0,
103,Uzbekistan,83,+8,1.0,1.0,5.0,77,8.0,2.0,0.03
104,Mauritius,81,,2.0,,,79,1.0,64.0,2.0
105,Martinique,81,,1.0,,,80,12.0,216.0,3.0
106,Georgia,81,+2,,,13.0,68,1.0,20.0,
107,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
108,Montenegro,70,+1,1.0,,,69,1.0,111.0,2.0
109,Cuba,67,,2.0,,1.0,64,2.0,6.0,0.2
110,Honduras,67,,1.0,,,66,,7.0,0.1
111,Channel Islands,66,,1.0,,,65,,380.0,6.0
112,Nigeria,65,,1.0,,3.0,61,,0.3,0.0
113,Trinidad and Tobago,65,,1.0,,,64,,46.0,0.7
114,Bolivia,61,,,,,61,,5.0,
115,Kyrgyzstan,58,+14,,,,58,,9.0,
116,Liechtenstein,56,,,,,56,,1469.0,
117,Paraguay,52,+11,3.0,,1.0,48,1.0,7.0,0.4
118,DRC,51,,3.0,,2.0,46,,0.6,0.03
119,Rwanda,50,,,,,50,,4.0,
120,Bangladesh,48,+4,5.0,,11.0,32,1.0,0.3,0.03
121,Mayotte,36,,,,,36,,132.0,
122,Gibraltar,35,,,,13.0,22,,1039.0,
123,Macao,33,,,,10.0,23,,51.0,
124,Monaco,33,,,,1.0,32,,841.0,
125,Kenya,31,,1.0,,1.0,29,,0.6,0.02
126,French Polynesia,30,,,,,30,,107.0,
127,Aruba,28,,,,1.0,27,,262.0,
128,French Guiana,28,,,,6.0,22,,94.0,
129,Jamaica,26,,1.0,,2.0,23,,9.0,0.3
130,Isle of Man,26,,,,,26,,306.0,
131,Guatemala,25,,1.0,,4.0,20,,1.0,0.06
132,Barbados,24,,,,,24,,84.0,
133,Togo,24,,,,1.0,23,,3.0,
134,Madagascar,23,,,,,23,,0.8,
135,Uganda,18,+4,,,,18,,0.4,
136,Ethiopia,16,+4,,,,16,,0.1,
137,Zambia,16,,,,,16,,0.9,
138,Bermuda,15,,,,2.0,13,,241.0,
139,New Caledonia,15,+1,,,,15,,53.0,
140,El Salvador,13,,,,,13,,2.0,
141,Maldives,13,,,,9.0,4,,24.0,
142,Tanzania,13,,,,,13,,0.2,
143,Equatorial Guinea,12,,,,,12,,9.0,
144,Djibouti,11,,,,,11,,11.0,
145,Dominica,11,,,,,11,,153.0,
146,Mongolia,11,,,,,11,,3.0,
147,Saint Martin,11,,,,,11,,284.0,
148,Niger,10,,1.0,,,9,,0.4,0.04
149,Bahamas,9,,,,1.0,8,,23.0,
150,Greenland,9,+3,,,2.0,7,,159.0,
151,Cayman Islands,8,,1.0,,,7,,122.0,15.0
152,Haiti,8,,,,,8,,0.7,
153,Namibia,8,,,,2.0,6,,3.0,
154,Suriname,8,,,,,8,,14.0,
155,Curaçao,7,,1.0,,2.0,4,,43.0,6.0
156,Gabon,7,,1.0,,,6,,3.0,0.4
157,Antigua and Barbuda,7,,,,,7,,71.0,
158,Grenada,7,,,,,7,,62.0,
159,Mozambique,7,,,,,7,,0.2,
160,Seychelles,7,,,,,7,,71.0,
161,Benin,6,,,,,6,,0.5,
162,Eritrea,6,,,,,6,,2.0,
163,Laos,6,,,,,6,,0.8,
164,Eswatini,6,,,,,6,,5.0,
165,Cabo Verde,5,,1.0,,,4,,9.0,2.0
166,Guyana,5,,1.0,,,4,,6.0,1.0
167,Zimbabwe,5,+2,1.0,,,4,,0.3,0.07
168,Fiji,5,,,,,5,,6.0,
169,Montserrat,5,,,,,5,,1002.0,
170,Myanmar,5,,,,,5,,0.09,
171,Syria,5,,,,,5,,0.3,
172,Angola,4,,,,,4,,0.1,
173,Congo,4,,,,,4,,0.7,
174,Guinea,4,,,,,4,,0.3,
175,Vatican City,4,,,,,4,,4994.0,
176,Mali,4,,,,,4,,0.2,
177,Gambia,3,,1.0,,,2,,1.0,0.4
178,Sudan,3,,1.0,,,2,,0.07,0.02
