,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81340,+55,3292.0,5.0,74588.0,3460,1034.0,57.0,2.0
1,USA,93151,"+7,716",1382.0,87.0,2424.0,89345,2432.0,281.0,4.0
2,Italy,80589,,8215.0,,10361.0,62013,3612.0,1333.0,136.0
3,Spain,64059,"+6,273",4934.0,569.0,9357.0,49768,4165.0,1370.0,106.0
4,Germany,49344,"+5,406",304.0,37.0,5673.0,43367,23.0,589.0,4.0
5,Iran,32332,"+2,926",2378.0,144.0,11133.0,18821,2893.0,385.0,28.0
6,France,29155,,1696.0,,4948.0,22511,3375.0,447.0,26.0
7,UK,14543,"+2,885",759.0,181.0,135.0,13649,163.0,214.0,11.0
8,Switzerland,12311,+500,207.0,15.0,897.0,11207,203.0,1422.0,24.0
9,S. Korea,9332,+91,139.0,8.0,4528.0,4665,59.0,182.0,3.0
10,Netherlands,8603,"+1,172",546.0,112.0,3.0,8054,761.0,502.0,32.0
11,Austria,7557,+648,58.0,9.0,225.0,7274,128.0,839.0,6.0
12,Belgium,7284,"+1,049",289.0,69.0,858.0,6137,690.0,628.0,25.0
13,Portugal,4268,+724,76.0,16.0,43.0,4149,71.0,419.0,7.0
14,Canada,4043,,39.0,,228.0,3776,120.0,107.0,1.0
15,Norway,3694,+322,17.0,3.0,6.0,3671,70.0,681.0,3.0
16,Turkey,3629,,75.0,,26.0,3528,136.0,43.0,0.9
17,Australia,3180,+130,13.0,,170.0,2997,23.0,125.0,0.5
18,Sweden,3046,+206,92.0,15.0,16.0,2938,214.0,302.0,9.0
19,Israel,3035,+342,12.0,4.0,79.0,2944,49.0,351.0,1.0
20,Brazil,3027,+42,77.0,,6.0,2944,296.0,14.0,0.4
21,Malaysia,2161,+130,26.0,3.0,259.0,1876,54.0,67.0,0.8
22,Czechia,2062,+137,9.0,,11.0,2042,34.0,193.0,0.8
23,Denmark,2010,+133,52.0,11.0,1.0,1957,109.0,347.0,9.0
24,Ireland,1819,,19.0,,5.0,1795,47.0,368.0,4.0
25,Chile,1610,+304,5.0,1.0,43.0,1562,7.0,84.0,0.3
26,Luxembourg,1605,+152,15.0,6.0,40.0,1550,25.0,2564.0,24.0
27,Ecuador,1595,+192,36.0,2.0,3.0,1556,58.0,90.0,2.0
28,Japan,1387,,47.0,,359.0,981,57.0,11.0,0.4
29,Pakistan,1296,+95,9.0,,23.0,1264,7.0,6.0,0.04
30,Romania,1292,+263,24.0,1.0,115.0,1153,32.0,67.0,1.0
31,Poland,1289,+68,16.0,,7.0,1266,3.0,34.0,0.4
32,Thailand,1136,+91,5.0,1.0,97.0,1034,11.0,16.0,0.07
33,Saudi Arabia,1104,+92,3.0,,35.0,1066,6.0,32.0,0.09
34,Indonesia,1046,+153,87.0,9.0,46.0,913,,4.0,0.3
35,Finland,1041,+83,7.0,2.0,10.0,1024,32.0,188.0,1.0
36,Russia,1036,+196,3.0,,45.0,988,8.0,7.0,0.02
37,Greece,966,+74,28.0,1.0,52.0,886,66.0,93.0,3.0
38,South Africa,927,,2.0,2.0,12.0,913,7.0,16.0,0.03
39,Iceland,890,+88,2.0,,97.0,791,18.0,2608.0,6.0
40,India,877,+150,20.0,,73.0,784,,0.6,0.01
