,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81171,,3277.0,,73159.0,4735,1573.0,56.0,2.0
1,Italy,69176,"+5,249",6820.0,743.0,8326.0,54030,3393.0,1144.0,113.0
2,USA,53013,"+9,279",685.0,132.0,370.0,51958,1175.0,160.0,2.0
3,Spain,39885,"+4,749",2808.0,497.0,3794.0,33283,2355.0,853.0,60.0
4,Germany,32986,"+3,930",157.0,34.0,3243.0,29586,23.0,394.0,2.0
5,Iran,24811,"+1,762",1934.0,122.0,8913.0,13964,,295.0,23.0
6,France,22304,"+2,448",1100.0,240.0,3281.0,17923,2516.0,342.0,17.0
7,Switzerland,9877,"+1,082",122.0,2.0,131.0,9624,141.0,1141.0,14.0
8,S. Korea,9037,+76,120.0,9.0,3507.0,5410,59.0,176.0,2.0
9,UK,8077,"+1,427",422.0,87.0,135.0,7520,20.0,119.0,6.0
10,Netherlands,5560,+811,276.0,63.0,2.0,5282,435.0,324.0,16.0
11,Austria,5283,+809,28.0,7.0,9.0,5246,22.0,587.0,3.0
12,Belgium,4269,+526,122.0,34.0,461.0,3686,381.0,368.0,11.0
13,Norway,2863,+238,12.0,2.0,6.0,2845,44.0,528.0,2.0
14,Canada,2590,+499,25.0,1.0,112.0,2453,1.0,69.0,0.7
15,Portugal,2362,+302,33.0,10.0,22.0,2307,48.0,232.0,3.0
16,Sweden,2286,+240,36.0,9.0,16.0,2234,136.0,226.0,4.0
17,Brazil,2247,+323,46.0,12.0,2.0,2199,18.0,11.0,0.2
18,Australia,2144,+257,8.0,1.0,118.0,2018,11.0,84.0,0.3
19,Israel,1930,+488,3.0,2.0,53.0,1874,34.0,223.0,0.3
20,Turkey,1872,+343,44.0,7.0,,1828,,22.0,0.5
21,Malaysia,1624,+106,16.0,2.0,183.0,1425,64.0,50.0,0.5
22,Denmark,1591,+131,32.0,8.0,1.0,1558,69.0,275.0,6.0
23,Czechia,1394,+158,3.0,2.0,10.0,1381,19.0,130.0,0.3
24,Ireland,1329,+204,7.0,1.0,5.0,1317,29.0,269.0,1.0
25,Japan,1193,+65,43.0,1.0,285.0,865,54.0,9.0,0.3
26,Luxembourg,1099,+224,8.0,,6.0,1085,3.0,1756.0,13.0
27,Ecuador,1049,+68,27.0,9.0,3.0,1019,2.0,59.0,2.0
28,Pakistan,972,+97,7.0,1.0,18.0,947,5.0,4.0,0.03
29,Chile,922,+176,2.0,,17.0,903,7.0,48.0,0.1
30,Poland,901,+152,10.0,2.0,1.0,890,3.0,24.0,0.3
31,Thailand,827,+106,4.0,3.0,52.0,771,7.0,12.0,0.06
32,Romania,794,+218,11.0,4.0,79.0,704,15.0,41.0,0.6
33,Finland,792,+92,1.0,,10.0,781,11.0,143.0,0.2
34,Saudi Arabia,767,+205,1.0,1.0,28.0,738,,22.0,0.03
35,Greece,743,+48,20.0,3.0,29.0,694,35.0,71.0,2.0
36,Diamond Princess,712,,10.0,2.0,587.0,115,15.0,,
37,Indonesia,686,+107,55.0,6.0,30.0,601,,3.0,0.2
38,Iceland,648,+60,2.0,1.0,51.0,595,13.0,1899.0,6.0
39,Singapore,558,+49,2.0,,156.0,400,14.0,95.0,0.3
40,South Africa,554,+152,,,4.0,550,2.0,9.0,
41,Philippines,552,+90,35.0,2.0,20.0,497,1.0,5.0,0.3
42,India,536,+37,10.0,,40.0,486,,0.4,0.01
43,Qatar,526,+25,,,41.0,485,6.0,183.0,
44,Russia,495,+57,1.0,,22.0,472,8.0,3.0,0.01
45,Slovenia,480,+38,4.0,1.0,3.0,473,12.0,231.0,2.0
46,Peru,416,+21,7.0,2.0,1.0,408,9.0,13.0,0.2
47,Egypt,402,+36,20.0,1.0,80.0,302,,4.0,0.2
48,Bahrain,392,+15,3.0,1.0,177.0,212,2.0,230.0,2.0
49,Hong Kong,386,+29,4.0,,102.0,280,4.0,51.0,0.5
50,Croatia,382,+67,1.0,,5.0,376,6.0,93.0,0.2
51,Estonia,369,+17,,,7.0,362,4.0,278.0,
52,Mexico,367,+51,4.0,1.0,4.0,359,1.0,3.0,0.03
53,Panama,345,,6.0,,1.0,338,33.0,80.0,1.0
54,Lebanon,318,+51,4.0,,8.0,306,4.0,47.0,0.6
55,Iraq,316,+50,27.0,4.0,75.0,214,,8.0,0.7
56,Dominican Republic,312,+67,6.0,3.0,3.0,303,,29.0,0.6
57,Colombia,306,+29,3.0,,6.0,297,,6.0,0.06
58,Serbia,303,+54,3.0,,15.0,285,21.0,35.0,0.3
59,Argentina,301,,6.0,2.0,52.0,243,,7.0,0.1
60,Algeria,264,+34,19.0,2.0,24.0,221,,6.0,0.4
61,Armenia,249,+14,,,4.0,245,6.0,84.0,
62,UAE,248,+50,2.0,,45.0,201,2.0,25.0,0.2
63,Bulgaria,218,+17,3.0,,3.0,212,8.0,31.0,0.4
64,Taiwan,216,+21,2.0,,29.0,185,,9.0,0.08
65,Lithuania,209,+30,2.0,1.0,1.0,206,1.0,77.0,0.7
66,Slovakia,204,+18,,,7.0,197,2.0,37.0,
67,Latvia,197,+17,,,1.0,196,,104.0,
