,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,3905478,"+88,096",270123.0,"+5,286",1335104.0,2300251,48975.0,501.0,34.7,,
1,USA,1289051,"+25,959",76791.0,"+1,992",215591.0,996669,17011.0,3894.0,232.0,7817426.0,23617.0
2,Spain,256855,"+3,173",26070.0,+213,163919.0,66866,2075.0,5494.0,558.0,1932455.0,41332.0
3,Italy,215858,"+1,401",29958.0,+274,96276.0,89624,1311.0,3570.0,495.0,2381288.0,39385.0
4,UK,206715,"+5,614",30615.0,+539,,175756,1559.0,3045.0,451.0,1534533.0,22605.0
5,Russia,177160,"+11,231",1625.0,+88,23803.0,151732,2300.0,1214.0,11.0,4803192.0,32913.0
6,France,174791,+600,25987.0,+178,55027.0,93777,2961.0,2678.0,398.0,1384633.0,21213.0
7,Germany,169430,"+1,268",7392.0,+117,139900.0,22138,1823.0,2022.0,88.0,2755770.0,32891.0
8,Turkey,133721,"+1,977",3641.0,+57,82984.0,47096,1260.0,1586.0,43.0,1265119.0,15000.0
9,Brazil,132367,"+5,756",9054.0,+466,51370.0,71943,8318.0,623.0,43.0,339552.0,1597.0
10,Iran,103135,"+1,485",6486.0,+68,82744.0,13905,2728.0,1228.0,77.0,544702.0,6485.0
11,Canada,64835,"+1,339",4404.0,+172,28972.0,31459,502.0,1718.0,117.0,973558.0,25795.0
12,Peru,58526,"+3,709",1627.0,+94,18388.0,38511,722.0,1775.0,49.0,448020.0,13588.0
13,India,56351,"+3,364",1889.0,+104,16776.0,37686,,41.0,1.0,1357413.0,984.0
14,Belgium,51420,+639,8415.0,+76,12980.0,30025,538.0,4437.0,726.0,493325.0,42566.0
15,Netherlands,41774,+455,5288.0,+84,,36236,584.0,2438.0,309.0,249655.0,14570.0
16,Saudi Arabia,33731,"+1,793",219.0,+10,7798.0,25714,145.0,969.0,6.0,405685.0,11653.0
17,Ecuador,30298,+878,1654.0,+36,3433.0,25211,156.0,1717.0,94.0,83218.0,4717.0
18,Switzerland,30126,+66,1810.0,+5,25900.0,2416,121.0,3481.0,209.0,290365.0,33550.0
19,Mexico,27634,"+1,609",2704.0,+197,17781.0,7149,378.0,214.0,21.0,105664.0,820.0
20,Portugal,26715,+533,1105.0,+16,2258.0,23352,135.0,2620.0,108.0,485925.0,47655.0
21,Pakistan,24644,"+1,430",585.0,+41,6464.0,17595,111.0,112.0,3.0,244778.0,1108.0
22,Sweden,24623,+705,3040.0,+99,4971.0,16612,425.0,2438.0,301.0,148500.0,14704.0
