,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,215395,+392,5113.0,+11,8892.0,201390,5005.0,651.0,15.0
1,Italy,110574,,13155.0,,16847.0,80572,4035.0,1829.0,218.0
2,Spain,110238,"+6,120",10003.0,+616,26743.0,73492,6092.0,2358.0,214.0
3,Germany,80641,"+2,660",962.0,+31,19175.0,60504,3408.0,962.0,11.0
4,France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0
5,Iran,50468,"+2,875",3160.0,+124,16711.0,30597,3956.0,601.0,38.0
6,UK,33718,"+4,244",2921.0,+569,135.0,30662,163.0,497.0,43.0
7,Switzerland,18267,+499,505.0,+17,4013.0,13749,348.0,2111.0,58.0
8,Turkey,15679,,277.0,,333.0,15069,979.0,186.0,3.0
9,Belgium,15348,"+1,384",1011.0,+183,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,"+1,083",1339.0,+166,250.0,13108,1053.0,858.0,78.0
11,Austria,10927,+216,158.0,+12,1749.0,9020,227.0,1213.0,18.0
12,S. Korea,9976,+89,169.0,+4,5828.0,3979,55.0,195.0,3.0
13,Canada,9731,,129.0,+15,1736.0,7866,120.0,258.0,3.0
14,Portugal,9034,+783,209.0,+22,68.0,8757,230.0,886.0,20.0
15,Brazil,7011,+131,250.0,+8,127.0,6634,296.0,33.0,1.0
16,Israel,6360,+268,33.0,+7,289.0,6038,107.0,735.0,4.0
17,Sweden,5466,+519,282.0,+43,103.0,5081,429.0,541.0,28.0
18,Australia,5137,+89,25.0,+2,345.0,4767,50.0,201.0,1.0
19,Norway,5083,+206,47.0,+3,13.0,5023,105.0,938.0,9.0
20,Czechia,3604,+15,40.0,+1,61.0,3503,72.0,337.0,4.0
21,Russia,3548,+771,30.0,+6,235.0,3283,8.0,24.0,0.2
22,Ireland,3447,,85.0,,5.0,3357,103.0,698.0,17.0
23,Chile,3404,+373,18.0,+2,335.0,3051,31.0,178.0,0.9
24,Denmark,3355,+248,123.0,+19,1089.0,2143,153.0,579.0,21.0
25,Malaysia,3116,+208,50.0,+5,767.0,2299,105.0,96.0,2.0
26,Ecuador,2758,,98.0,,58.0,2602,100.0,156.0,6.0
27,Romania,2738,+278,94.0,+2,267.0,2377,78.0,142.0,5.0
28,Philippines,2633,+322,107.0,+11,51.0,2475,1.0,24.0,1.0
29,Poland,2633,+79,45.0,+2,56.0,2532,50.0,70.0,1.0
30,Pakistan,2386,+268,31.0,+4,107.0,2248,12.0,11.0,0.1
31,Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
32,Luxembourg,2319,,29.0,,80.0,2210,31.0,3705.0,46.0
33,India,2032,+34,58.0,,150.0,1824,,1.0,0.04
34,Saudi Arabia,1885,+165,21.0,+5,328.0,1536,31.0,54.0,0.6
35,Thailand,1875,+104,15.0,+3,505.0,1355,23.0,27.0,0.2
36,Indonesia,1790,+113,170.0,+13,112.0,1508,,7.0,0.6
37,Finland,1518,+72,19.0,+2,300.0,1199,62.0,274.0,3.0
38,Greece,1415,,52.0,+1,52.0,1311,90.0,136.0,5.0
39,South Africa,1380,,5.0,,50.0,1325,7.0,23.0,0.08
40,Mexico,1378,+163,37.0,+8,35.0,1306,1.0,11.0,0.3
41,Peru,1323,,47.0,+9,394.0,882,49.0,40.0,1.0
42,Iceland,1319,+99,2.0,,270.0,1047,12.0,3865.0,6.0
43,Panama,1317,,32.0,,9.0,1276,50.0,305.0,7.0
44,Dominican Republic,1284,,57.0,,9.0,1218,147.0,118.0,5.0
45,Serbia,1171,+111,31.0,+3,42.0,1098,81.0,134.0,4.0
46,Argentina,1133,,34.0,+2,248.0,851,,25.0,0.8
47,Colombia,1065,,17.0,,39.0,1009,47.0,21.0,0.3
48,Singapore,1049,+49,4.0,+1,266.0,779,24.0,179.0,0.7
49,Croatia,1011,+48,7.0,+1,88.0,916,34.0,246.0,2.0
50,Slovenia,897,+56,17.0,+2,70.0,810,31.0,431.0,8.0
51,Estonia,858,+79,11.0,+6,45.0,802,16.0,647.0,8.0
52,Algeria,847,,58.0,,61.0,728,,19.0,1.0
53,Qatar,835,,2.0,,71.0,762,37.0,290.0,0.7
54,UAE,814,,8.0,,61.0,745,2.0,82.0,0.8
55,Ukraine,804,+10,20.0,,13.0,771,,18.0,0.5
56,Hong Kong,802,+36,4.0,,154.0,644,8.0,107.0,0.5
57,New Zealand,797,+89,1.0,,92.0,704,2.0,165.0,0.2
58,Egypt,779,,52.0,,179.0,548,,8.0,0.5
59,Iraq,728,,52.0,,182.0,494,,18.0,1.0
60,Diamond Princess,712,,11.0,,619.0,82,15.0,,
61,Morocco,676,+22,40.0,+1,29.0,607,1.0,18.0,1.0
62,Armenia,663,+92,5.0,+1,33.0,625,30.0,224.0,2.0
63,Lithuania,649,+68,9.0,+1,7.0,633,11.0,238.0,3.0
64,Bahrain,635,+66,4.0,,341.0,290,3.0,373.0,2.0
65,Hungary,585,+60,21.0,+1,42.0,522,17.0,61.0,2.0
66,Bosnia and Herzegovina,518,+59,15.0,+2,20.0,483,4.0,158.0,5.0
67,Lebanon,494,+15,16.0,+2,43.0,435,3.0,72.0,2.0
68,Latvia,458,+12,,,1.0,457,3.0,243.0,
69,Bulgaria,457,+35,10.0,,25.0,422,17.0,66.0,1.0
70,Andorra,428,+38,15.0,+1,10.0,403,12.0,5539.0,194.0
71,Slovakia,426,+26,1.0,,5.0,420,3.0,78.0,0.2
72,Tunisia,423,,12.0,,5.0,406,10.0,36.0,1.0
73,Moldova,423,,5.0,,23.0,395,65.0,105.0,1.0
74,Kazakhstan,423,+43,3.0,,27.0,393,6.0,23.0,0.2
75,Azerbaijan,400,+41,5.0,,26.0,369,7.0,39.0,0.5
76,North Macedonia,384,+30,11.0,,17.0,356,4.0,184.0,5.0
77,Costa Rica,375,,2.0,,4.0,369,9.0,74.0,0.4
78,Uruguay,350,,4.0,+2,62.0,284,15.0,101.0,1.0
79,Kuwait,342,+25,,,81.0,261,15.0,80.0,
80,Taiwan,339,+10,5.0,,50.0,284,,14.0,0.2
81,Cyprus,320,,9.0,,28.0,283,11.0,265.0,7.0
82,Belarus,304,+141,4.0,+2,53.0,247,2.0,32.0,0.4
83,Burkina Faso,288,+6,16.0,,50.0,222,,14.0,0.8
84,Cameroon,284,+51,7.0,+1,10.0,267,,11.0,0.3
85,Réunion,281,,,,40.0,241,3.0,314.0,
86,Jordan,278,,5.0,,36.0,237,5.0,27.0,0.5
87,Albania,277,+18,16.0,+1,67.0,194,7.0,96.0,6.0
88,Afghanistan,239,+2,4.0,,10.0,225,,6.0,0.1
89,San Marino,236,,28.0,,13.0,195,16.0,6955.0,825.0
90,Oman,231,+21,1.0,,57.0,173,3.0,45.0,0.2
91,Vietnam,227,+9,,,75.0,152,3.0,2.0,
92,Honduras,219,+47,14.0,+4,3.0,202,4.0,22.0,1.0
93,Cuba,212,,6.0,,12.0,194,3.0,19.0,0.5
94,Malta,196,+8,,,2.0,194,2.0,444.0,
95,Ghana,195,,5.0,,31.0,159,1.0,6.0,0.2
96,Senegal,195,+5,1.0,,55.0,139,,12.0,0.06
97,Uzbekistan,190,+9,2.0,,25.0,163,8.0,6.0,0.06
