,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,215344,+341,5112.0,10.0,8878.0,201354,5005.0,651.0,15.0
1,Italy,110574,,13155.0,,16847.0,80572,4035.0,1829.0,218.0
2,Spain,104118,,9387.0,,22647.0,72084,5872.0,2227.0,201.0
3,Germany,77981,,931.0,,19175.0,57875,3408.0,931.0,11.0
4,France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0
5,Iran,47593,,3036.0,,15473.0,29084,3871.0,567.0,36.0
6,UK,29474,,2352.0,,135.0,26987,163.0,434.0,35.0
7,Switzerland,17781,+13,488.0,,2967.0,14326,348.0,2055.0,56.0
8,Turkey,15679,,277.0,,333.0,15069,979.0,186.0,3.0
9,Belgium,13964,,828.0,,2132.0,11004,1088.0,1205.0,71.0
10,Netherlands,13614,,1173.0,,250.0,12191,1053.0,795.0,68.0
11,Austria,10809,+98,146.0,,1436.0,9227,215.0,1200.0,16.0
12,S. Korea,9976,+89,169.0,4.0,5828.0,3979,55.0,195.0,3.0
13,Canada,9731,,129.0,15.0,1736.0,7866,120.0,258.0,3.0
14,Portugal,8251,,187.0,,43.0,8021,230.0,809.0,18.0
15,Brazil,6931,+51,244.0,2.0,127.0,6560,296.0,33.0,1.0
16,Israel,6211,+119,30.0,4.0,289.0,5892,107.0,718.0,3.0
17,Australia,5137,+89,25.0,2.0,345.0,4767,50.0,201.0,1.0
18,Sweden,4947,,239.0,,103.0,4605,393.0,490.0,24.0
19,Norway,4879,+2,44.0,,13.0,4822,105.0,900.0,8.0
20,Czechia,3604,+15,40.0,1.0,61.0,3503,72.0,337.0,4.0
21,Russia,3548,+771,30.0,6.0,235.0,3283,8.0,24.0,0.2
22,Ireland,3447,,85.0,,5.0,3357,103.0,698.0,17.0
23,Denmark,3107,,104.0,,894.0,2109,145.0,536.0,18.0
24,Chile,3031,,16.0,,234.0,2781,31.0,159.0,0.8
25,Malaysia,2908,,45.0,,645.0,2218,102.0,90.0,1.0
26,Ecuador,2758,,98.0,,58.0,2602,100.0,156.0,6.0
27,Poland,2554,,43.0,,56.0,2455,50.0,67.0,1.0
28,Romania,2460,,94.0,2.0,252.0,2114,57.0,128.0,5.0
29,Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
30,Luxembourg,2319,,29.0,,80.0,2210,31.0,3705.0,46.0
31,Philippines,2311,,96.0,,50.0,2165,1.0,21.0,0.9
32,Pakistan,2291,+173,31.0,4.0,107.0,2153,12.0,10.0,0.1
33,India,2032,+34,58.0,,148.0,1826,,1.0,0.04
34,Thailand,1875,+104,15.0,3.0,505.0,1355,23.0,27.0,0.2
35,Saudi Arabia,1720,,16.0,,264.0,1440,31.0,49.0,0.5
36,Indonesia,1677,,157.0,,103.0,1417,,6.0,0.6
37,Finland,1518,+72,17.0,,300.0,1201,62.0,274.0,3.0
38,Greece,1415,,51.0,,52.0,1312,90.0,136.0,5.0
39,South Africa,1380,,5.0,,50.0,1325,7.0,23.0,0.08
40,Mexico,1378,+163,37.0,8.0,35.0,1306,1.0,11.0,0.3
41,Peru,1323,,47.0,9.0,394.0,882,49.0,40.0,1.0
42,Panama,1317,,32.0,,9.0,1276,50.0,305.0,7.0
43,Dominican Republic,1284,,57.0,,9.0,1218,147.0,118.0,5.0
44,Iceland,1220,,2.0,,236.0,982,12.0,3575.0,6.0
45,Argentina,1133,,33.0,1.0,248.0,852,,25.0,0.7
46,Colombia,1065,,17.0,,39.0,1009,47.0,21.0,0.3
47,Serbia,1060,,28.0,,42.0,990,62.0,121.0,3.0
48,Singapore,1000,,4.0,1.0,245.0,751,24.0,171.0,0.7
49,Croatia,963,,6.0,,73.0,884,34.0,235.0,1.0
50,Algeria,847,,58.0,,61.0,728,,19.0,1.0
51,Slovenia,841,,15.0,,10.0,816,31.0,405.0,7.0
52,Qatar,835,,2.0,,71.0,762,37.0,290.0,0.7
53,UAE,814,,8.0,,61.0,745,2.0,82.0,0.8
54,Ukraine,804,+10,20.0,,13.0,771,,18.0,0.5
55,New Zealand,797,+89,1.0,,92.0,704,2.0,165.0,0.2
56,Egypt,779,,52.0,,179.0,548,,8.0,0.5
57,Estonia,779,,5.0,,33.0,741,15.0,587.0,4.0
58,Hong Kong,766,,4.0,,147.0,615,5.0,102.0,0.5
59,Iraq,728,,52.0,,182.0,494,,18.0,1.0
60,Diamond Princess,712,,11.0,,619.0,82,15.0,,
61,Morocco,676,+22,39.0,,29.0,608,1.0,18.0,1.0
62,Armenia,663,+92,4.0,,33.0,626,30.0,224.0,1.0
63,Lithuania,649,+68,8.0,,7.0,634,11.0,238.0,3.0
64,Hungary,585,+60,21.0,1.0,42.0,522,17.0,61.0,2.0
65,Bahrain,569,,4.0,,337.0,228,3.0,334.0,2.0
66,Bosnia and Herzegovina,490,+31,13.0,,19.0,458,1.0,149.0,4.0
67,Lebanon,479,,14.0,,43.0,422,5.0,70.0,2.0
68,Bulgaria,449,+27,10.0,,25.0,414,17.0,65.0,1.0
69,Latvia,446,,,,1.0,445,3.0,236.0,
70,Tunisia,423,,12.0,,5.0,406,10.0,36.0,1.0
71,Moldova,423,,5.0,,23.0,395,44.0,105.0,1.0
72,Kazakhstan,402,+22,3.0,,27.0,372,6.0,21.0,0.2
73,Slovakia,400,,1.0,,3.0,396,1.0,73.0,0.2
74,Andorra,390,,14.0,,10.0,366,12.0,5048.0,181.0
75,Costa Rica,375,,2.0,,4.0,369,9.0,74.0,0.4
76,Azerbaijan,359,,5.0,,26.0,328,7.0,35.0,0.5
77,North Macedonia,354,,11.0,,17.0,326,4.0,170.0,5.0
78,Uruguay,350,,2.0,,62.0,286,15.0,101.0,0.6
79,Taiwan,339,+10,5.0,,50.0,284,,14.0,0.2
80,Cyprus,320,,9.0,,28.0,283,11.0,265.0,7.0
81,Kuwait,317,,,,81.0,236,14.0,74.0,
