,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,236221,"+21,218",5780.0,+678,10324.0,220117,5421.0,714.0,17.0
1,Italy,115242,"+4,668",13915.0,+760,18278.0,83049,4053.0,1906.0,230.0
2,Spain,110238,"+6,120",10096.0,+709,26743.0,73399,6092.0,2358.0,216.0
3,Germany,83751,"+5,770",1055.0,+124,21400.0,61296,3936.0,1000.0,13.0
4,France,56989,,4503.0,+471,10935.0,41551,6017.0,873.0,69.0
5,Iran,50468,"+2,875",3160.0,+124,16711.0,30597,3956.0,601.0,38.0
6,UK,33718,"+4,244",2921.0,+569,135.0,30662,163.0,497.0,43.0
7,Switzerland,18475,+707,522.0,+34,4013.0,13940,348.0,2135.0,60.0
8,Turkey,18135,"+2,456",356.0,+79,415.0,17364,783.0,215.0,4.0
9,Belgium,15348,"+1,384",1011.0,+183,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,"+1,083",1339.0,+166,250.0,13108,1053.0,858.0,78.0
11,Austria,11076,+365,158.0,+12,1749.0,9169,227.0,1230.0,18.0
12,Canada,11068,"+1,337",134.0,+20,1891.0,9043,120.0,293.0,4.0
13,S. Korea,9976,+89,169.0,+4,5828.0,3979,55.0,195.0,3.0
14,Portugal,9034,+783,209.0,+22,68.0,8757,230.0,886.0,20.0
15,Brazil,7031,+151,252.0,+10,127.0,6652,296.0,33.0,1.0
16,Israel,6808,+716,34.0,+8,289.0,6485,107.0,787.0,4.0
17,Sweden,5466,+519,282.0,+43,103.0,5081,429.0,541.0,28.0
18,Australia,5139,+91,25.0,+2,345.0,4769,50.0,202.0,1.0
19,Norway,5128,+251,50.0,+6,32.0,5046,96.0,946.0,9.0
20,Ireland,3849,+402,98.0,+13,5.0,3746,109.0,779.0,20.0
21,Czechia,3805,+216,44.0,+5,67.0,3694,72.0,355.0,4.0
22,Russia,3548,+771,30.0,+6,235.0,3283,8.0,24.0,0.2
23,Chile,3404,+373,18.0,+2,335.0,3051,31.0,178.0,0.9
24,Denmark,3386,+279,123.0,+19,1089.0,2174,153.0,585.0,21.0
25,Ecuador,3163,+405,120.0,+22,58.0,2985,100.0,179.0,7.0
26,Malaysia,3116,+208,50.0,+5,767.0,2299,105.0,96.0,2.0
27,Romania,2738,+278,107.0,+15,267.0,2364,78.0,142.0,6.0
28,Poland,2692,+138,51.0,+8,56.0,2585,50.0,71.0,1.0
29,Philippines,2633,+322,107.0,+11,51.0,2475,1.0,24.0,1.0
30,Luxembourg,2487,+168,30.0,+1,80.0,2377,31.0,3973.0,48.0
31,Pakistan,2386,+268,33.0,+6,107.0,2246,9.0,11.0,0.1
32,Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
33,India,2341,+343,68.0,+10,177.0,2096,,2.0,0.05
34,Saudi Arabia,1885,+165,21.0,+5,328.0,1536,31.0,54.0,0.6
35,Thailand,1875,+104,15.0,+3,505.0,1355,23.0,27.0,0.2
36,Indonesia,1790,+113,170.0,+13,112.0,1508,,7.0,0.6
37,Greece,1544,+129,53.0,+2,61.0,1430,91.0,148.0,5.0
38,Finland,1518,+72,19.0,+2,300.0,1199,62.0,274.0,3.0
39,South Africa,1462,+82,5.0,,50.0,1407,7.0,25.0,0.08
40,Dominican Republic,1380,+96,60.0,+3,16.0,1304,147.0,127.0,6.0
41,Mexico,1378,+163,37.0,+8,35.0,1306,1.0,11.0,0.3
42,Peru,1323,,47.0,+9,394.0,882,49.0,40.0,1.0
43,Iceland,1319,+99,4.0,+2,284.0,1031,12.0,3865.0,12.0
44,Panama,1317,,32.0,,9.0,1276,50.0,305.0,7.0
45,Serbia,1171,+111,31.0,+3,42.0,1098,81.0,134.0,4.0
46,Argentina,1133,,34.0,+2,256.0,843,,25.0,0.8
47,Colombia,1065,,17.0,,39.0,1009,47.0,21.0,0.3
48,Singapore,1049,+49,4.0,+1,266.0,779,24.0,179.0,0.7
49,Croatia,1011,+48,7.0,+1,88.0,916,34.0,246.0,2.0
50,Algeria,986,+139,63.0,+5,61.0,862,,22.0,1.0
51,Slovenia,897,+56,17.0,+2,70.0,810,31.0,431.0,8.0
52,Estonia,858,+79,11.0,+6,45.0,802,16.0,647.0,8.0
53,Egypt,850,+71,52.0,,179.0,619,,8.0,0.5
54,Qatar,835,,2.0,,71.0,762,37.0,290.0,0.7
55,UAE,814,,8.0,,61.0,745,2.0,82.0,0.8
56,Ukraine,804,+10,20.0,,13.0,771,,18.0,0.5
57,Hong Kong,802,+36,4.0,,154.0,644,8.0,107.0,0.5
58,New Zealand,797,+89,1.0,,92.0,704,2.0,165.0,0.2
59,Iraq,772,+44,54.0,+2,202.0,516,,19.0,1.0
60,Diamond Princess,712,,11.0,,619.0,82,15.0,,
61,Morocco,691,+37,44.0,+5,30.0,617,1.0,19.0,1.0
62,Armenia,663,+92,5.0,+1,33.0,625,30.0,224.0,2.0
63,Lithuania,649,+68,9.0,+1,7.0,633,11.0,238.0,3.0
64,Bahrain,643,+74,4.0,,381.0,258,3.0,378.0,2.0
65,Hungary,585,+60,21.0,+1,42.0,522,17.0,61.0,2.0
66,Bosnia and Herzegovina,532,+73,16.0,+3,20.0,496,4.0,162.0,5.0
67,Moldova,505,+82,6.0,+1,23.0,476,65.0,125.0,1.0
68,Lebanon,494,+15,16.0,+2,46.0,432,3.0,72.0,2.0
69,Latvia,458,+12,,,1.0,457,3.0,243.0,
