,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,215357,+354,5113.0,+11,8878.0,201366,5005.0,651.0,15.0
1,Italy,110574,,13155.0,,16847.0,80572,4035.0,1829.0,218.0
2,Spain,110238,"+6,120",10003.0,+616,26743.0,73492,6092.0,2358.0,214.0
3,Germany,78983,"+1,002",948.0,+17,19175.0,58860,3408.0,943.0,11.0
4,France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0
5,Iran,50468,"+2,875",3160.0,+124,16711.0,30597,3956.0,601.0,38.0
6,UK,29474,,2352.0,,135.0,26987,163.0,434.0,35.0
7,Switzerland,18267,+499,505.0,+17,4013.0,13749,348.0,2111.0,58.0
8,Turkey,15679,,277.0,,333.0,15069,979.0,186.0,3.0
9,Belgium,15348,"+1,384",1011.0,+183,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,"+1,083",1339.0,+166,250.0,13108,1053.0,858.0,78.0
11,Austria,10927,+216,158.0,+12,1749.0,9020,227.0,1213.0,18.0
12,S. Korea,9976,+89,169.0,+4,5828.0,3979,55.0,195.0,3.0
13,Canada,9731,,129.0,+15,1736.0,7866,120.0,258.0,3.0
14,Portugal,9034,+783,209.0,+22,68.0,8757,230.0,886.0,20.0
15,Brazil,6932,+52,246.0,+4,127.0,6559,296.0,33.0,1.0
16,Israel,6211,+119,33.0,+7,289.0,5889,107.0,718.0,4.0
17,Sweden,5466,+519,282.0,+43,103.0,5081,429.0,541.0,28.0
18,Australia,5137,+89,25.0,+2,345.0,4767,50.0,201.0,1.0
19,Norway,5071,+194,46.0,+2,13.0,5012,105.0,935.0,8.0
20,Czechia,3604,+15,40.0,+1,61.0,3503,72.0,337.0,4.0
21,Russia,3548,+771,30.0,+6,235.0,3283,8.0,24.0,0.2
22,Ireland,3447,,85.0,,5.0,3357,103.0,698.0,17.0
23,Denmark,3355,+248,123.0,+19,1089.0,2143,153.0,579.0,21.0
24,Malaysia,3116,+208,50.0,+5,767.0,2299,105.0,96.0,2.0
25,Chile,3031,,16.0,,234.0,2781,31.0,159.0,0.8
26,Ecuador,2758,,98.0,,58.0,2602,100.0,156.0,6.0
27,Romania,2738,+278,94.0,+2,267.0,2377,78.0,142.0,5.0
28,Philippines,2633,+322,107.0,+11,51.0,2475,1.0,24.0,1.0
29,Poland,2633,+79,45.0,+2,56.0,2532,50.0,70.0,1.0
30,Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
31,Luxembourg,2319,,29.0,,80.0,2210,31.0,3705.0,46.0
32,Pakistan,2291,+173,31.0,+4,107.0,2153,12.0,10.0,0.1
33,India,2032,+34,58.0,,150.0,1824,,1.0,0.04
34,Thailand,1875,+104,15.0,+3,505.0,1355,23.0,27.0,0.2
35,Indonesia,1790,+113,170.0,+13,112.0,1508,,7.0,0.6
36,Saudi Arabia,1720,,16.0,,264.0,1440,31.0,49.0,0.5
37,Finland,1518,+72,17.0,,300.0,1201,62.0,274.0,3.0
38,Greece,1415,,52.0,+1,52.0,1311,90.0,136.0,5.0
39,South Africa,1380,,5.0,,50.0,1325,7.0,23.0,0.08
40,Mexico,1378,+163,37.0,+8,35.0,1306,1.0,11.0,0.3
41,Peru,1323,,47.0,+9,394.0,882,49.0,40.0,1.0
42,Panama,1317,,32.0,,9.0,1276,50.0,305.0,7.0
43,Dominican Republic,1284,,57.0,,9.0,1218,147.0,118.0,5.0
44,Iceland,1220,,2.0,,236.0,982,12.0,3575.0,6.0
45,Argentina,1133,,33.0,+1,248.0,852,,25.0,0.7
46,Colombia,1065,,17.0,,39.0,1009,47.0,21.0,0.3
47,Serbia,1060,,28.0,,42.0,990,62.0,121.0,3.0
48,Croatia,1011,+48,7.0,+1,88.0,916,34.0,246.0,2.0
49,Singapore,1000,,4.0,+1,245.0,751,24.0,171.0,0.7
50,Slovenia,897,+56,17.0,+2,70.0,810,31.0,431.0,8.0
51,Estonia,858,+79,11.0,+6,45.0,802,16.0,647.0,8.0
52,Algeria,847,,58.0,,61.0,728,,19.0,1.0
53,Qatar,835,,2.0,,71.0,762,37.0,290.0,0.7
54,UAE,814,,8.0,,61.0,745,2.0,82.0,0.8
55,Ukraine,804,+10,20.0,,13.0,771,,18.0,0.5
56,Hong Kong,802,+36,4.0,,154.0,644,8.0,107.0,0.5
57,New Zealand,797,+89,1.0,,92.0,704,2.0,165.0,0.2
58,Egypt,779,,52.0,,179.0,548,,8.0,0.5
59,Iraq,728,,52.0,,182.0,494,,18.0,1.0
60,Diamond Princess,712,,11.0,,619.0,82,15.0,,
61,Morocco,676,+22,40.0,+1,29.0,607,1.0,18.0,1.0
62,Armenia,663,+92,5.0,+1,33.0,625,30.0,224.0,2.0
63,Lithuania,649,+68,9.0,+1,7.0,633,11.0,238.0,3.0
64,Bahrain,635,+66,4.0,,341.0,290,3.0,373.0,2.0
65,Hungary,585,+60,21.0,+1,42.0,522,17.0,61.0,2.0
66,Bosnia and Herzegovina,518,+59,15.0,+2,20.0,483,4.0,158.0,5.0
67,Lebanon,494,+15,16.0,+2,43.0,435,3.0,72.0,2.0
68,Latvia,458,+12,,,1.0,457,3.0,243.0,
69,Bulgaria,449,+27,10.0,,25.0,414,17.0,65.0,1.0
70,Andorra,428,+38,15.0,+1,10.0,403,12.0,5539.0,194.0
71,Slovakia,426,+26,1.0,,3.0,422,3.0,78.0,0.2
72,Tunisia,423,,12.0,,5.0,406,10.0,36.0,1.0
73,Moldova,423,,5.0,,23.0,395,65.0,105.0,1.0
74,Kazakhstan,423,+43,3.0,,27.0,393,6.0,23.0,0.2
75,Azerbaijan,400,+41,5.0,,26.0,369,7.0,39.0,0.5
76,North Macedonia,384,+30,11.0,,17.0,356,4.0,184.0,5.0
77,Costa Rica,375,,2.0,,4.0,369,9.0,74.0,0.4
78,Uruguay,350,,2.0,,62.0,286,15.0,101.0,0.6
79,Kuwait,342,+25,,,81.0,261,15.0,80.0,
80,Taiwan,339,+10,5.0,,50.0,284,,14.0,0.2
81,Cyprus,320,,9.0,,28.0,283,11.0,265.0,7.0
82,Cameroon,284,+51,7.0,+1,10.0,267,,11.0,0.3
83,Burkina Faso,282,,16.0,,46.0,220,,13.0,0.8
84,Réunion,281,,,,40.0,241,3.0,314.0,
85,Jordan,278,,5.0,,36.0,237,5.0,27.0,0.5
86,Albania,277,+18,16.0,+1,67.0,194,7.0,96.0,6.0
87,Afghanistan,239,+2,4.0,,5.0,230,,6.0,0.1
88,San Marino,236,,28.0,,13.0,195,16.0,6955.0,825.0
89,Oman,231,+21,1.0,,57.0,173,3.0,45.0,0.2
90,Vietnam,227,+9,,,75.0,152,3.0,2.0,
91,Honduras,219,+47,14.0,+4,3.0,202,4.0,22.0,1.0
92,Cuba,212,,6.0,,12.0,194,3.0,19.0,0.5
93,Malta,196,+8,,,2.0,194,2.0,444.0,
94,Ghana,195,,5.0,,31.0,159,1.0,6.0,0.2
95,Senegal,195,+5,1.0,,55.0,139,,12.0,0.06
96,Uzbekistan,190,+9,2.0,,12.0,176,8.0,6.0,0.06
97,Ivory Coast,190,,1.0,,9.0,180,,7.0,0.04
98,Faeroe Islands,177,+4,,,81.0,96,1.0,3622.0,
99,Nigeria,174,,2.0,,9.0,163,,0.8,0.01
100,Channel Islands,172,,3.0,,,169,,989.0,17.0
101,Belarus,163,,2.0,,53.0,108,2.0,17.0,0.2
102,Mauritius,161,,7.0,+1,,154,1.0,127.0,6.0
103,Palestine,155,+21,1.0,,18.0,136,,30.0,0.2
104,Sri Lanka,150,+4,3.0,,21.0,126,5.0,7.0,0.1
105,Venezuela,144,,3.0,,43.0,98,6.0,5.0,0.1
106,Montenegro,140,+17,2.0,,,138,4.0,223.0,3.0
107,Martinique,135,,3.0,,27.0,105,16.0,360.0,8.0
108,Brunei,133,+2,1.0,,56.0,76,3.0,304.0,2.0
109,Georgia,130,+13,,,26.0,104,6.0,33.0,
110,Guadeloupe,125,,6.0,,24.0,95,14.0,312.0,15.0
111,DRC,123,+14,11.0,+2,3.0,109,,1.0,0.1
112,Bolivia,123,+8,7.0,,1.0,115,3.0,11.0,0.6
113,Mayotte,116,+15,1.0,,10.0,105,3.0,425.0,4.0
114,Kyrgyzstan,116,+5,,,5.0,111,5.0,18.0,
115,Cambodia,110,+1,,,34.0,76,1.0,7.0,
116,Trinidad and Tobago,90,,5.0,,1.0,84,,64.0,4.0
117,Rwanda,82,,,,,82,,6.0,
118,Kenya,81,,1.0,,3.0,77,2.0,2.0,0.02
119,Gibraltar,81,,,,34.0,47,,2404.0,
120,Paraguay,77,+8,3.0,,2.0,72,4.0,11.0,0.4
121,Isle of Man,75,+7,1.0,,,74,,882.0,12.0
122,Niger,74,,5.0,,,69,,3.0,0.2
