,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,227061,"+12,058",5345.0,+243,10265.0,211451,5403.0,686.0,16.0
1,Italy,115242,"+4,668",13915.0,+760,18278.0,83049,4053.0,1906.0,230.0
2,Spain,110238,"+6,120",10003.0,+616,26743.0,73492,6092.0,2358.0,214.0
3,Germany,81728,"+3,747",997.0,+66,19175.0,61556,3936.0,975.0,12.0
4,France,56989,,4032.0,,10935.0,42022,6017.0,873.0,62.0
5,Iran,50468,"+2,875",3160.0,+124,16711.0,30597,3956.0,601.0,38.0
6,UK,33718,"+4,244",2921.0,+569,135.0,30662,163.0,497.0,43.0
7,Switzerland,18475,+707,522.0,+34,4013.0,13940,348.0,2135.0,60.0
8,Turkey,15679,,277.0,,333.0,15069,979.0,186.0,3.0
9,Belgium,15348,"+1,384",1011.0,+183,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,"+1,083",1339.0,+166,250.0,13108,1053.0,858.0,78.0
11,Austria,11027,+316,158.0,+12,1749.0,9120,227.0,1224.0,18.0
12,Canada,10132,+401,131.0,+17,1891.0,8110,120.0,268.0,3.0
13,S. Korea,9976,+89,169.0,+4,5828.0,3979,55.0,195.0,3.0
14,Portugal,9034,+783,209.0,+22,68.0,8757,230.0,886.0,20.0
15,Brazil,7022,+142,252.0,+10,127.0,6643,296.0,33.0,1.0
16,Israel,6443,+351,33.0,+7,289.0,6121,107.0,744.0,4.0
17,Sweden,5466,+519,282.0,+43,103.0,5081,429.0,541.0,28.0
18,Australia,5137,+89,25.0,+2,345.0,4767,50.0,201.0,1.0
19,Norway,5124,+247,48.0,+4,32.0,5044,105.0,945.0,9.0
20,Czechia,3805,+216,44.0,+5,67.0,3694,72.0,355.0,4.0
21,Russia,3548,+771,30.0,+6,235.0,3283,8.0,24.0,0.2
22,Ireland,3447,,85.0,,5.0,3357,126.0,698.0,17.0
23,Chile,3404,+373,18.0,+2,335.0,3051,31.0,178.0,0.9
24,Denmark,3355,+248,123.0,+19,1089.0,2143,153.0,579.0,21.0
25,Malaysia,3116,+208,50.0,+5,767.0,2299,105.0,96.0,2.0
26,Ecuador,2758,,98.0,,58.0,2602,100.0,156.0,6.0
27,Romania,2738,+278,94.0,+2,267.0,2377,78.0,142.0,5.0
28,Poland,2692,+138,51.0,+8,56.0,2585,50.0,71.0,1.0
29,Philippines,2633,+322,107.0,+11,51.0,2475,1.0,24.0,1.0
30,Luxembourg,2487,+168,30.0,+1,80.0,2377,31.0,3973.0,48.0
31,Pakistan,2386,+268,32.0,+5,107.0,2247,12.0,11.0,0.1
32,Japan,2384,,57.0,,472.0,1855,69.0,19.0,0.5
33,India,2341,+343,68.0,+10,177.0,2096,,2.0,0.05
34,Saudi Arabia,1885,+165,21.0,+5,328.0,1536,31.0,54.0,0.6
35,Thailand,1875,+104,15.0,+3,505.0,1355,23.0,27.0,0.2
36,Indonesia,1790,+113,170.0,+13,112.0,1508,,7.0,0.6
37,Finland,1518,+72,19.0,+2,300.0,1199,62.0,274.0,3.0
38,Greece,1514,+99,53.0,+2,61.0,1400,91.0,145.0,5.0
