,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80967,39.0,3248.0,3.0,71150.0,6569,2136.0,56.0
1,Italy,41035,,3405.0,,4440.0,33190,2498.0,679.0
2,Iran,18407,,1284.0,,5979.0,11144,,219.0
3,Spain,18077,,831.0,,1107.0,16139,939.0,387.0
4,Germany,15320,,44.0,,115.0,15161,2.0,183.0
5,USA,14340,551.0,217.0,9.0,125.0,13998,64.0,43.0
6,France,10995,,372.0,,1295.0,9328,1122.0,168.0
7,S. Korea,8652,87.0,94.0,3.0,2233.0,6325,59.0,169.0
8,Switzerland,4222,,43.0,,15.0,4164,,488.0
9,UK,3269,,144.0,,65.0,3060,20.0,48.0
10,Netherlands,2460,,76.0,,2.0,2382,45.0,144.0
11,Austria,2196,17.0,6.0,,9.0,2181,13.0,244.0
12,Belgium,1795,,21.0,,165.0,1609,130.0,155.0
13,Norway,1790,,7.0,,1.0,1782,27.0,330.0
14,Sweden,1439,,11.0,,16.0,1412,21.0,142.0
15,Denmark,1151,,6.0,,1.0,1144,30.0,199.0
16,Japan,943,,33.0,,191.0,719,46.0,7.0
17,Malaysia,900,,2.0,,75.0,823,15.0,28.0
18,Canada,873,,12.0,,11.0,850,1.0,23.0
19,Portugal,786,,4.0,,4.0,778,20.0,77.0
20,Australia,785,29.0,7.0,,46.0,732,1.0,31.0
21,Diamond Princess,712,,7.0,,527.0,178,14.0,
22,Czechia,694,,,,3.0,691,6.0,65.0
23,Israel,677,,,,14.0,663,6.0,78.0
24,Brazil,647,7.0,7.0,,2.0,638,18.0,3.0
25,Ireland,557,,3.0,,5.0,549,6.0,113.0
26,Greece,464,,6.0,,19.0,439,16.0,45.0
27,Qatar,460,,,,10.0,450,6.0,160.0
28,Pakistan,454,,2.0,,13.0,439,,2.0
29,Finland,400,,,,10.0,390,2.0,72.0
30,Turkey,359,,4.0,,,355,,4.0
31,Poland,355,,5.0,,13.0,337,3.0,9.0
32,Singapore,345,,,,124.0,221,14.0,59.0
33,Chile,342,,,,,342,6.0,18.0
34,Luxembourg,335,,4.0,,6.0,325,1.0,535.0
35,Iceland,330,,,,5.0,325,1.0,967.0
36,Slovenia,319,,1.0,,,318,6.0,153.0
37,Indonesia,309,,25.0,,15.0,269,,1.0
38,Bahrain,278,,1.0,,110.0,167,4.0,163.0
39,Romania,277,,,,25.0,252,5.0,14.0
40,Saudi Arabia,274,,,,8.0,266,,8.0
41,Thailand,272,,1.0,,42.0,229,1.0,4.0
42,Estonia,267,,,,1.0,266,1.0,201.0
43,Ecuador,260,,3.0,,1.0,256,2.0,15.0
44,Egypt,256,,7.0,,42.0,207,,3.0
45,Peru,234,,3.0,2.0,1.0,230,7.0,7.0
46,Philippines,217,,17.0,,8.0,192,1.0,2.0
47,Hong Kong,208,,4.0,,98.0,106,4.0,28.0
48,Russia,199,,1.0,,8.0,190,,1.0
49,India,195,1.0,4.0,,20.0,171,,0.1
50,Iraq,192,,13.0,,49.0,130,,5.0
51,Mexico,164,46.0,1.0,,4.0,159,1.0,1.0
52,Lebanon,157,,4.0,,4.0,149,3.0,23.0
53,South Africa,150,,,,,150,,3.0
54,Kuwait,148,,,,18.0,130,5.0,35.0
55,San Marino,144,,14.0,,4.0,126,12.0,4244.0
56,UAE,140,,,,31.0,109,2.0,14.0
57,Panama,137,,1.0,,1.0,135,7.0,32.0
58,Argentina,128,,3.0,,3.0,122,,3.0
59,Colombia,128,20.0,,,1.0,127,,3.0
60,Slovakia,124,,,,,124,2.0,23.0
61,Armenia,122,,,,1.0,121,2.0,41.0
62,Croatia,110,,1.0,,5.0,104,,27.0
63,Taiwan,108,,1.0,,26.0,81,,5.0
64,Bulgaria,107,,3.0,,,104,,15.0
65,Serbia,103,,,,1.0,102,4.0,12.0
66,Uruguay,94,15.0,,,,94,,27.0
67,Algeria,90,,9.0,,32.0,49,,2.0
68,Costa Rica,89,2.0,1.0,,,88,2.0,17.0
69,Latvia,86,,,,1.0,85,,46.0
70,Vietnam,85,,,,16.0,69,,0.9
71,Andorra,74,,,,1.0,73,,958.0
72,Hungary,73,,1.0,,2.0,70,4.0,8.0
73,Brunei,73,,,,,73,2.0,167.0
74,Faeroe Islands,72,,,,1.0,71,,1474.0
75,Jordan,69,,,,1.0,68,,7.0
76,Cyprus,67,,,,,67,1.0,55.0
77,Albania,64,,2.0,,,62,2.0,22.0
78,Bosnia and Herzegovina,64,,,,2.0,62,,20.0
79,Morocco,63,,2.0,,2.0,59,1.0,2.0
80,Sri Lanka,60,,,,3.0,57,,3.0
81,Malta,53,,,,2.0,51,,120.0
82,Belarus,51,,,,5.0,46,,5.0
83,North Macedonia,50,,,,1.0,49,1.0,24.0
84,Moldova,49,,1.0,,1.0,47,3.0,12.0
85,Kazakhstan,49,5.0,,,,49,,3.0
86,Lithuania,48,,,,1.0,47,1.0,18.0
87,Oman,48,,,,13.0,35,,9.0
88,Palestine,47,,,,,47,,9.0
89,Azerbaijan,44,,1.0,,7.0,36,,4.0
90,Venezuela,42,,,,,42,,1.0
91,Georgia,40,,,,1.0,39,1.0,10.0
92,Tunisia,39,,1.0,,1.0,37,2.0,3.0
93,New Zealand,39,11.0,,,,39,,8.0
94,Cambodia,37,,,,1.0,36,,2.0
95,Senegal,36,,,,2.0,34,,2.0
96,Dominican Republic,34,,2.0,,,32,,3.0
97,Burkina Faso,33,,1.0,,,32,,2.0
98,Guadeloupe,33,,,,,33,,82.0
99,Liechtenstein,28,,,,,28,,734.0
100,Réunion,28,,,,,28,,31.0
101,Ukraine,26,,3.0,,,23,,0.6
102,Honduras,24,12.0,,,,24,,2.0
103,Martinique,23,,1.0,,,22,,61.0
104,Uzbekistan,23,,,,,23,,0.7
105,Afghanistan,22,,,,1.0,21,,0.6
106,Bangladesh,18,,1.0,,3.0,14,,0.1
107,Macao,17,,,,10.0,7,,26.0
108,Bolivia,17,2.0,,,,17,,1.0
109,Cuba,16,5.0,1.0,,,15,,1.0
110,Jamaica,15,,1.0,,2.0,12,,5.0
111,French Guiana,15,,,,,15,,50.0
