,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80967,+39,3248.0,3.0,71150.0,6569,2136.0,56.0
1,Italy,47021,"+5,986",4032.0,627.0,5129.0,37860,2655.0,778.0
2,Spain,20412,"+2,335",1043.0,212.0,1588.0,17781,939.0,437.0
3,Iran,19644,"+1,237",1433.0,149.0,6745.0,11466,,234.0
4,Germany,18794,"+3,474",53.0,9.0,180.0,18561,2.0,224.0
5,USA,16491,"+2,702",224.0,17.0,125.0,16142,64.0,50.0
6,France,10995,,372.0,,1295.0,9328,1122.0,168.0
7,S. Korea,8652,+87,94.0,3.0,2233.0,6325,59.0,169.0
8,Switzerland,5369,"+1,147",56.0,13.0,15.0,5298,,620.0
9,UK,3269,,184.0,40.0,65.0,3020,20.0,48.0
10,Netherlands,2994,+534,106.0,30.0,2.0,2886,210.0,175.0
11,Austria,2491,+312,6.0,,9.0,2476,14.0,277.0
12,Belgium,2257,+462,37.0,16.0,204.0,2016,164.0,195.0
13,Norway,1914,+124,7.0,,1.0,1906,27.0,353.0
14,Sweden,1639,+200,16.0,5.0,16.0,1607,21.0,162.0
15,Denmark,1255,+104,9.0,3.0,1.0,1245,37.0,217.0
16,Malaysia,1030,+130,3.0,1.0,87.0,940,26.0,32.0
17,Portugal,1020,+234,6.0,2.0,5.0,1009,26.0,100.0
18,Japan,963,+20,33.0,,215.0,715,50.0,8.0
19,Canada,924,+51,12.0,,11.0,901,1.0,24.0
20,Australia,876,+120,7.0,,46.0,823,2.0,34.0
21,Czechia,833,+139,,,4.0,829,6.0,78.0
22,Diamond Princess,712,,7.0,,527.0,178,14.0,
23,Israel,705,+28,,,15.0,690,10.0,81.0
24,Brazil,654,+14,7.0,,2.0,645,18.0,3.0
25,Ireland,557,,3.0,,5.0,549,6.0,113.0
26,Pakistan,500,+46,3.0,1.0,13.0,484,,2.0
27,Greece,495,+31,9.0,3.0,19.0,467,20.0,47.0
28,Luxembourg,484,+149,5.0,1.0,6.0,473,1.0,773.0
29,Qatar,460,,,,10.0,450,6.0,160.0
30,Finland,450,+50,,,10.0,440,2.0,81.0
31,Chile,434,+92,,,6.0,428,7.0,23.0
32,Poland,411,+56,5.0,,13.0,393,3.0,11.0
33,Iceland,409,+79,,,5.0,404,1.0,1199.0
34,Singapore,385,+40,,,131.0,254,14.0,66.0
35,Indonesia,369,+60,32.0,7.0,17.0,320,,1.0
36,Ecuador,367,+107,5.0,2.0,3.0,359,2.0,21.0
37,Turkey,359,,4.0,,,355,,4.0
38,Saudi Arabia,344,+70,,,8.0,336,,10.0
39,Slovenia,341,+22,1.0,,,340,6.0,164.0
40,Thailand,322,+50,1.0,,42.0,279,1.0,5.0
41,Romania,308,+31,,,31.0,277,11.0,16.0
42,Bahrain,291,+12,1.0,,112.0,178,4.0,171.0
