,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80967,,3248.0,,71150.0,6569,2136.0,56.0
1,Italy,47021,"+5,986",4032.0,627.0,5129.0,37860,2655.0,778.0
2,Spain,21510,"+3,433",1092.0,261.0,1588.0,18830,939.0,460.0
3,Germany,19848,"+4,528",68.0,24.0,180.0,19600,2.0,237.0
4,Iran,19644,"+1,237",1433.0,149.0,6745.0,11466,,234.0
5,USA,18845,"+5,056",237.0,30.0,125.0,18483,64.0,57.0
6,France,12612,"+1,617",450.0,78.0,1295.0,10867,1122.0,193.0
7,S. Korea,8652,+87,94.0,3.0,2233.0,6325,59.0,169.0
8,Switzerland,5407,"+1,185",56.0,13.0,15.0,5336,,625.0
9,UK,3983,+714,177.0,33.0,65.0,3741,20.0,59.0
10,Netherlands,2994,+534,106.0,30.0,2.0,2886,210.0,175.0
11,Austria,2649,+470,6.0,,9.0,2634,14.0,294.0
12,Belgium,2257,+462,37.0,16.0,204.0,2016,164.0,195.0
13,Norway,1949,+159,7.0,,1.0,1941,27.0,360.0
14,Sweden,1639,+200,16.0,5.0,16.0,1607,21.0,162.0
15,Denmark,1255,+104,9.0,3.0,1.0,1245,37.0,217.0
16,Malaysia,1030,+130,3.0,1.0,87.0,940,26.0,32.0
17,Portugal,1020,+234,6.0,2.0,5.0,1009,26.0,100.0
18,Japan,963,+20,33.0,,215.0,715,50.0,8.0
19,Canada,951,+78,12.0,,11.0,928,1.0,25.0
20,Brazil,904,+264,11.0,4.0,2.0,891,18.0,4.0
21,Australia,876,+120,7.0,,46.0,823,2.0,34.0
22,Czechia,833,+139,,,4.0,829,6.0,78.0
23,Diamond Princess,712,,8.0,1.0,527.0,177,14.0,
24,Israel,705,+28,1.0,1.0,15.0,689,10.0,81.0
25,Ireland,683,+126,3.0,,5.0,675,6.0,138.0
26,Turkey,670,+311,9.0,5.0,,661,,8.0
27,Pakistan,501,+47,3.0,1.0,13.0,485,,2.0
28,Greece,495,+31,10.0,4.0,19.0,466,20.0,47.0
29,Luxembourg,484,+149,5.0,1.0,6.0,473,1.0,773.0
30,Qatar,470,+10,,,10.0,460,6.0,163.0
31,Finland,450,+50,,,10.0,440,2.0,81.0
32,Chile,434,+92,,,6.0,428,7.0,23.0
33,Poland,425,+70,5.0,,13.0,407,3.0,11.0
34,Iceland,409,+79,,,5.0,404,1.0,1199.0
35,Singapore,385,+40,,,131.0,254,14.0,66.0
36,Indonesia,369,+60,32.0,7.0,17.0,320,,1.0
37,Ecuador,367,+107,5.0,2.0,3.0,359,2.0,21.0
38,Saudi Arabia,344,+70,,,8.0,336,,10.0
39,Slovenia,341,+22,1.0,,,340,9.0,164.0
40,Thailand,322,+50,1.0,,42.0,279,1.0,5.0
41,Romania,308,+31,,,31.0,277,11.0,16.0
42,Bahrain,298,+19,1.0,,125.0,172,4.0,175.0
43,Egypt,285,+29,8.0,1.0,42.0,235,,3.0
44,Estonia,283,+16,,,1.0,282,1.0,213.0
45,Peru,263,+29,4.0,3.0,1.0,258,5.0,8.0
46,Hong Kong,256,+48,4.0,,98.0,154,4.0,34.0
47,Russia,253,+54,1.0,,12.0,240,,2.0
48,India,249,+55,5.0,1.0,23.0,221,,0.2
49,Philippines,230,+13,18.0,1.0,8.0,204,1.0,2.0
50,Iraq,208,+16,17.0,4.0,49.0,142,,5.0
51,South Africa,202,+52,,,,202,,3.0
52,Lebanon,177,+20,4.0,,4.0,169,3.0,26.0
53,Mexico,164,+46,1.0,,4.0,159,1.0,1.0
54,Kuwait,159,+11,,,22.0,137,5.0,37.0
55,Colombia,145,+37,,,1.0,144,,3.0
56,San Marino,144,,14.0,,4.0,126,12.0,4244.0
57,UAE,140,,2.0,2.0,31.0,107,2.0,14.0
58,Panama,137,,1.0,,1.0,135,7.0,32.0
59,Slovakia,137,+13,,,,137,2.0,25.0
60,Armenia,136,+14,,,1.0,135,2.0,46.0
61,Taiwan,135,+27,2.0,1.0,28.0,105,,6.0
62,Serbia,135,+32,1.0,1.0,2.0,132,4.0,15.0
63,Croatia,130,+20,1.0,,5.0,124,,32.0
64,Argentina,128,,3.0,,3.0,122,,3.0
65,Bulgaria,127,+20,3.0,,1.0,123,,18.0
