,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80967,+39,3248.0,3.0,71150.0,6569,2136.0,56.0
1,Italy,41035,,3405.0,,4440.0,33190,2498.0,679.0
2,Spain,20412,"+2,335",1041.0,210.0,1588.0,17783,939.0,437.0
3,Iran,19644,"+1,237",1433.0,149.0,6745.0,11466,,234.0
4,Germany,18328,"+3,008",52.0,8.0,180.0,18096,2.0,219.0
5,USA,14556,+767,218.0,11.0,125.0,14213,64.0,44.0
6,France,10995,,372.0,,1295.0,9328,1122.0,168.0
7,S. Korea,8652,+87,94.0,3.0,2233.0,6325,59.0,169.0
8,Switzerland,4906,+684,51.0,8.0,15.0,4840,,567.0
9,UK,3269,,184.0,40.0,65.0,3020,20.0,48.0
10,Netherlands,2994,+534,106.0,30.0,2.0,2886,45.0,175.0
11,Austria,2388,+209,6.0,,9.0,2373,14.0,265.0
12,Belgium,2257,+462,37.0,16.0,204.0,2016,164.0,195.0
13,Norway,1895,+105,7.0,,1.0,1887,27.0,350.0
14,Sweden,1639,+200,16.0,5.0,16.0,1607,21.0,162.0
15,Denmark,1226,+75,9.0,3.0,1.0,1216,37.0,212.0
16,Malaysia,1030,+130,3.0,1.0,87.0,940,26.0,32.0
17,Portugal,1020,+234,6.0,2.0,5.0,1009,26.0,100.0
18,Japan,963,+20,33.0,,215.0,715,50.0,8.0
19,Canada,924,+51,12.0,,11.0,901,1.0,24.0
20,Australia,876,+120,7.0,,46.0,823,2.0,34.0
21,Czechia,774,+80,,,4.0,770,6.0,72.0
22,Diamond Princess,712,,7.0,,527.0,178,14.0,
23,Israel,705,+28,,,15.0,690,10.0,81.0
24,Brazil,651,+11,7.0,,2.0,642,18.0,3.0
25,Ireland,557,,3.0,,5.0,549,6.0,113.0
26,Luxembourg,484,+149,5.0,1.0,6.0,473,1.0,773.0
27,Pakistan,478,+24,3.0,1.0,13.0,462,,2.0
28,Greece,464,,6.0,,19.0,439,16.0,45.0
29,Qatar,460,,,,10.0,450,6.0,160.0
30,Finland,450,+50,,,10.0,440,2.0,81.0
31,Chile,434,+92,,,6.0,428,7.0,23.0
32,Poland,411,+56,5.0,,13.0,393,3.0,11.0
33,Iceland,409,+79,,,5.0,404,1.0,1199.0
34,Singapore,385,+40,,,131.0,254,14.0,66.0
35,Indonesia,369,+60,32.0,7.0,17.0,320,,1.0
36,Ecuador,367,+107,5.0,2.0,3.0,359,2.0,21.0
37,Turkey,359,,4.0,,,355,,4.0
38,Slovenia,341,+22,1.0,,,340,6.0,164.0
39,Thailand,322,+50,1.0,,42.0,279,1.0,5.0
40,Romania,308,+31,,,31.0,277,11.0,16.0
41,Bahrain,284,+5,1.0,,110.0,173,4.0,167.0
42,Estonia,283,+16,,,1.0,282,1.0,213.0
43,Saudi Arabia,274,,,,8.0,266,,8.0
44,Egypt,256,,7.0,,42.0,207,,3.0
45,Hong Kong,256,+48,4.0,,98.0,154,4.0,34.0
46,Russia,253,+54,1.0,,12.0,240,,2.0
47,Peru,234,,3.0,2.0,1.0,230,7.0,7.0
48,Philippines,230,+13,18.0,1.0,8.0,204,1.0,2.0
49,India,223,+29,5.0,1.0,23.0,195,,0.2
50,South Africa,202,+52,,,,202,,3.0
51,Iraq,192,,13.0,,49.0,130,,5.0
52,Mexico,164,+46,1.0,,4.0,159,1.0,1.0
53,Lebanon,163,+6,4.0,,4.0,155,3.0,24.0
54,Kuwait,159,+11,,,22.0,137,5.0,37.0
55,San Marino,144,,14.0,,4.0,126,12.0,4244.0
56,UAE,140,,,,31.0,109,2.0,14.0
57,Panama,137,,1.0,,1.0,135,7.0,32.0
58,Slovakia,137,+13,,,,137,2.0,25.0
59,Armenia,136,+14,,,1.0,135,2.0,46.0
60,Taiwan,135,+27,2.0,1.0,28.0,105,,6.0
61,Bulgaria,129,+22,3.0,,1.0,125,,19.0
62,Argentina,128,,3.0,,3.0,122,,3.0
63,Croatia,128,+18,1.0,,5.0,122,,31.0
64,Colombia,128,+20,,,1.0,127,,3.0
65,Serbia,118,+15,,,2.0,116,4.0,14.0
66,Latvia,111,+25,,,1.0,110,,59.0
67,Uruguay,94,+15,,,,94,,27.0
68,Vietnam,91,+6,,,17.0,74,,0.9
69,Algeria,90,,11.0,2.0,32.0,47,,2.0
70,Costa Rica,89,+2,2.0,1.0,,87,2.0,17.0
71,Hungary,85,+12,3.0,2.0,7.0,75,6.0,9.0
72,Faeroe Islands,80,+8,,,3.0,77,,1637.0
73,Brunei,78,+5,,,1.0,77,2.0,178.0
74,Andorra,75,+1,,,1.0,74,2.0,971.0
75,Morocco,74,+11,3.0,1.0,2.0,69,1.0,2.0
76,Sri Lanka,73,+13,,,3.0,70,,3.0
77,Dominican Republic,72,+38,2.0,,,70,,7.0
78,Albania,70,+6,2.0,,,68,2.0,24.0
