,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,67.0,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0
1,Italy,74386,,7503.0,,9362.0,57521,3489.0,1230.0,124.0
2,USA,68489,278.0,1032.0,5.0,394.0,67063,1455.0,207.0,3.0
3,Spain,49515,,3647.0,,5367.0,40501,3166.0,1059.0,78.0
4,Germany,37323,,206.0,,3547.0,33570,23.0,445.0,2.0
5,Iran,27017,,2077.0,,9625.0,15315,,322.0,25.0
6,France,25233,,1331.0,,3900.0,20002,2827.0,387.0,20.0
7,Switzerland,10897,,153.0,,131.0,10613,141.0,1259.0,18.0
8,UK,9529,,465.0,,135.0,8929,163.0,140.0,7.0
9,S. Korea,9241,104.0,131.0,5.0,4144.0,4966,59.0,180.0,3.0
10,Netherlands,6412,,356.0,,3.0,6053,582.0,374.0,21.0
11,Austria,5888,300.0,34.0,3.0,9.0,5845,28.0,654.0,4.0
12,Belgium,4937,,178.0,,547.0,4212,474.0,426.0,15.0
13,Canada,3409,,36.0,,185.0,3188,1.0,90.0,1.0
14,Norway,3100,16.0,14.0,,6.0,3080,57.0,572.0,3.0
15,Portugal,2995,,43.0,,22.0,2930,61.0,294.0,4.0
16,Australia,2799,123.0,12.0,1.0,170.0,2617,11.0,110.0,0.5
17,Brazil,2554,,59.0,,6.0,2489,18.0,12.0,0.3
18,Sweden,2526,,62.0,,16.0,2448,158.0,250.0,6.0
19,Israel,2495,126.0,5.0,,66.0,2424,41.0,288.0,0.6
20,Turkey,2433,,59.0,,26.0,2348,136.0,29.0,0.7
21,Malaysia,1796,,21.0,1.0,199.0,1576,64.0,55.0,0.6
22,Denmark,1724,,34.0,,1.0,1689,87.0,298.0,6.0
23,Czechia,1654,,6.0,,10.0,1638,19.0,154.0,0.6
24,Ireland,1564,,9.0,,5.0,1550,39.0,317.0,2.0
25,Luxembourg,1333,,8.0,,6.0,1319,3.0,2129.0,13.0
26,Japan,1307,,45.0,,310.0,952,57.0,10.0,0.4
27,Ecuador,1211,,29.0,,3.0,1179,2.0,69.0,2.0
28,Chile,1142,,3.0,,22.0,1117,7.0,60.0,0.2
29,Pakistan,1102,39.0,8.0,,21.0,1073,5.0,5.0,0.04
30,Poland,1051,,14.0,,7.0,1030,3.0,28.0,0.4
31,Thailand,1045,111.0,4.0,,70.0,971,11.0,15.0,0.06
32,Romania,906,,17.0,,86.0,803,18.0,47.0,0.9
33,Saudi Arabia,900,,2.0,,29.0,869,,26.0,0.06
34,Finland,880,,3.0,,10.0,867,22.0,159.0,0.5
35,Greece,821,,22.0,,36.0,763,53.0,79.0,2.0
36,Indonesia,790,,58.0,,31.0,701,,3.0,0.2
37,Iceland,737,,2.0,,56.0,679,11.0,2160.0,6.0
38,Diamond Princess,712,,10.0,,597.0,105,15.0,,
39,South Africa,709,,,,12.0,697,2.0,12.0,
40,India,678,21.0,13.0,1.0,43.0,622,,0.5,0.01
41,Russia,658,,3.0,,29.0,626,8.0,5.0,0.02
42,Philippines,636,,38.0,,26.0,572,1.0,6.0,0.3
43,Singapore,631,,2.0,,160.0,469,17.0,108.0,0.3
44,Panama,558,,8.0,,2.0,548,20.0,129.0,2.0
45,Qatar,537,,,,41.0,496,6.0,186.0,
46,Slovenia,528,,5.0,,10.0,513,14.0,254.0,2.0
47,Argentina,502,,8.0,,52.0,442,,11.0,0.2
48,Peru,480,,9.0,,1.0,470,9.0,15.0,0.3
49,Mexico,475,70.0,6.0,1.0,4.0,465,1.0,4.0,0.05
50,Colombia,470,,4.0,,8.0,458,,9.0,0.08
51,Egypt,456,,21.0,,95.0,340,,4.0,0.2
52,Croatia,442,,1.0,,22.0,419,6.0,108.0,0.2
53,Bahrain,419,,4.0,,177.0,238,2.0,246.0,2.0
54,Hong Kong,411,,4.0,,102.0,305,4.0,55.0,0.5
55,Estonia,404,,1.0,,8.0,395,6.0,305.0,0.8
56,Dominican Republic,392,,10.0,,3.0,379,,36.0,0.9
57,Serbia,384,,6.0,2.0,15.0,363,21.0,44.0,0.7
58,Iraq,346,,29.0,,103.0,214,,9.0,0.7
59,Lebanon,333,,6.0,,20.0,307,4.0,49.0,0.9
60,UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
61,Algeria,302,,21.0,,65.0,216,,7.0,0.5
62,Lithuania,290,16.0,4.0,,1.0,285,1.0,107.0,1.0
63,Armenia,290,25.0,,,18.0,272,6.0,98.0,
64,New Zealand,283,,,,27.0,256,,59.0,
