,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,+67,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0
1,Italy,80589,"+6,203",8215.0,712.0,10361.0,62013,3612.0,1333.0,136.0
2,USA,80104,"+11,893",1151.0,124.0,1864.0,77089,2112.0,242.0,3.0
3,Spain,56197,"+6,682",4145.0,498.0,7015.0,45037,3166.0,1202.0,89.0
4,Germany,43646,"+6,323",239.0,33.0,5673.0,37734,23.0,521.0,3.0
5,Iran,29406,"+2,389",2234.0,157.0,10457.0,16715,2746.0,350.0,27.0
6,France,29155,"+3,922",1696.0,365.0,4948.0,22511,3375.0,447.0,26.0
7,Switzerland,11712,+815,191.0,38.0,131.0,11390,141.0,1353.0,22.0
8,UK,11658,"+2,129",578.0,115.0,135.0,10945,163.0,172.0,9.0
9,S. Korea,9241,+104,131.0,5.0,4144.0,4966,59.0,180.0,3.0
10,Netherlands,7431,"+1,019",434.0,78.0,3.0,6994,582.0,434.0,25.0
11,Austria,6847,"+1,259",49.0,18.0,112.0,6686,28.0,760.0,5.0
12,Belgium,6235,"+1,298",220.0,42.0,675.0,5340,605.0,538.0,19.0
13,Canada,3897,+488,37.0,1.0,199.0,3661,120.0,103.0,1.0
14,Turkey,3629,"+1,196",75.0,16.0,26.0,3528,136.0,43.0,0.9
15,Portugal,3544,+549,60.0,17.0,43.0,3441,61.0,348.0,6.0
16,Norway,3346,+262,14.0,,6.0,3326,70.0,617.0,3.0
17,Sweden,2840,+314,71.0,9.0,16.0,2753,176.0,281.0,7.0
18,Australia,2806,+130,13.0,2.0,170.0,2623,11.0,110.0,0.5
19,Israel,2693,+324,8.0,3.0,68.0,2617,46.0,311.0,0.9
20,Brazil,2611,+57,63.0,4.0,6.0,2542,18.0,12.0,0.3
21,Malaysia,2031,+235,23.0,3.0,215.0,1793,45.0,63.0,0.7
22,Czechia,1925,+271,9.0,3.0,10.0,1906,34.0,180.0,0.8
23,Denmark,1877,+153,41.0,7.0,1.0,1835,94.0,324.0,7.0
24,Ireland,1564,,9.0,,5.0,1550,39.0,317.0,2.0
25,Luxembourg,1453,+120,9.0,1.0,6.0,1438,3.0,2321.0,14.0
26,Japan,1399,+92,47.0,2.0,359.0,993,57.0,11.0,0.4
27,Ecuador,1382,+171,34.0,5.0,3.0,1345,58.0,78.0,2.0
28,Chile,1306,+164,4.0,1.0,22.0,1280,7.0,68.0,0.2
29,Poland,1221,+170,16.0,2.0,7.0,1198,3.0,32.0,0.4
30,Pakistan,1179,+116,9.0,1.0,21.0,1149,5.0,5.0,0.04
31,Thailand,1045,+111,4.0,,88.0,953,4.0,15.0,0.06
32,Romania,1029,+123,22.0,5.0,94.0,913,29.0,53.0,1.0
33,Saudi Arabia,1012,+112,3.0,1.0,33.0,976,6.0,29.0,0.09
34,Finland,958,+78,5.0,2.0,10.0,943,24.0,173.0,0.9
35,South Africa,927,+218,,,12.0,915,2.0,16.0,
36,Indonesia,893,+103,78.0,20.0,35.0,780,,3.0,0.3
37,Greece,892,+71,26.0,4.0,36.0,830,53.0,86.0,2.0
38,Russia,840,+182,3.0,,38.0,799,8.0,6.0,0.02
39,Iceland,802,+65,2.0,,68.0,732,11.0,2350.0,6.0
40,India,722,+65,16.0,4.0,45.0,661,,0.5,0.01
41,Diamond Princess,712,,10.0,,597.0,105,15.0,,
42,Philippines,707,+71,45.0,7.0,28.0,634,1.0,6.0,0.4
43,Singapore,683,+52,2.0,,172.0,509,17.0,117.0,0.3
44,Peru,580,+100,9.0,,14.0,557,14.0,18.0,0.3
45,Slovenia,562,+34,6.0,1.0,10.0,546,14.0,270.0,3.0
46,Panama,558,,8.0,,2.0,548,20.0,129.0,2.0
47,Qatar,549,+12,,,43.0,506,6.0,191.0,
48,Estonia,538,+134,1.0,,8.0,529,6.0,406.0,0.8
49,Argentina,502,,8.0,,63.0,431,,11.0,0.2
50,Croatia,495,+53,2.0,1.0,22.0,471,14.0,121.0,0.5
51,Colombia,491,+21,6.0,2.0,8.0,477,,10.0,0.1
52,Dominican Republic,488,+96,10.0,,3.0,475,,45.0,0.9
53,Mexico,475,+70,6.0,1.0,4.0,465,1.0,4.0,0.05
54,Bahrain,458,+39,4.0,,204.0,250,1.0,269.0,2.0
55,Serbia,457,+73,7.0,3.0,15.0,435,21.0,52.0,0.8
56,Egypt,456,,21.0,,95.0,340,,4.0,0.2
57,Hong Kong,453,+42,4.0,,110.0,339,5.0,60.0,0.5
58,Iraq,382,+36,36.0,7.0,105.0,241,,9.0,0.9
59,Lebanon,368,+35,6.0,,23.0,339,3.0,54.0,0.9
60,Algeria,367,+65,25.0,4.0,29.0,313,,8.0,0.6
61,UAE,333,,2.0,,52.0,279,2.0,34.0,0.2
62,Lithuania,299,+25,4.0,,1.0,294,1.0,110.0,1.0
63,Armenia,290,+25,1.0,1.0,18.0,271,6.0,98.0,0.3
64,New Zealand,283,,,,27.0,256,,59.0,
65,Morocco,275,+50,10.0,4.0,8.0,257,1.0,7.0,0.3
66,Bulgaria,264,+22,3.0,,8.0,253,8.0,38.0,0.4
67,Hungary,261,+35,10.0,,28.0,223,6.0,27.0,1.0
68,Taiwan,252,+17,2.0,,29.0,221,,11.0,0.08
69,Latvia,244,+23,,,1.0,243,,129.0,
70,Costa Rica,231,+30,2.0,,2.0,227,4.0,45.0,0.4
71,Slovakia,226,+10,,,2.0,224,2.0,41.0,
72,Andorra,224,+36,3.0,2.0,1.0,220,6.0,2899.0,39.0
73,Uruguay,217,,,,,217,3.0,62.0,
74,Jordan,212,+40,,,1.0,211,,21.0,
75,San Marino,208,,21.0,,4.0,183,12.0,6130.0,619.0
76,Kuwait,208,+13,,,49.0,159,7.0,49.0,
77,North Macedonia,201,+24,3.0,,3.0,195,1.0,96.0,1.0
78,Tunisia,200,+27,6.0,1.0,2.0,192,10.0,17.0,0.5
79,Bosnia and Herzegovina,189,+13,3.0,,2.0,184,1.0,58.0,0.9
80,Moldova,177,+28,1.0,,2.0,174,28.0,44.0,0.2
81,Albania,174,+28,6.0,1.0,17.0,151,3.0,60.0,2.0
82,Ukraine,162,+17,5.0,,1.0,156,,4.0,0.1
83,Vietnam,153,+5,,,20.0,133,3.0,2.0,
84,Burkina Faso,152,+6,4.0,,10.0,138,,7.0,0.2
85,Cyprus,146,+14,3.0,,4.0,139,3.0,121.0,2.0
86,Faeroe Islands,140,+8,,,47.0,93,,2865.0,
87,Réunion,135,+24,,,1.0,134,,151.0,
88,Malta,134,+5,,,2.0,132,1.0,303.0,
89,Ghana,132,+64,4.0,,1.0,127,,4.0,0.1
90,Azerbaijan,122,+29,3.0,1.0,15.0,104,6.0,12.0,0.3
91,Brunei,114,+5,,,5.0,109,1.0,261.0,
92,Kazakhstan,111,+30,1.0,1.0,2.0,108,,6.0,0.05
93,Oman,109,+10,,,23.0,86,,21.0,
94,Sri Lanka,106,+4,,,7.0,99,3.0,5.0,
95,Venezuela,106,,,,15.0,91,2.0,4.0,
96,Senegal,105,+6,,,9.0,96,,6.0,
97,Cambodia,96,,,,10.0,86,1.0,6.0,
98,Afghanistan,94,+10,2.0,,2.0,90,,2.0,0.05
99,Belarus,86,,,,29.0,57,2.0,9.0,
100,Palestine,84,+13,1.0,,17.0,66,,16.0,0.2
101,Mauritius,81,+33,2.0,,,79,1.0,64.0,2.0
102,Ivory Coast,80,,,,3.0,77,,3.0,
103,Georgia,79,+4,,,11.0,68,1.0,20.0,
104,Cameroon,75,,1.0,,2.0,72,,3.0,0.04
105,Uzbekistan,75,+15,,,,75,4.0,2.0,
106,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
107,Montenegro,69,+16,1.0,,,68,1.0,110.0,2.0
108,Cuba,67,+10,1.0,,1.0,65,2.0,6.0,0.09
109,Martinique,66,,1.0,,,65,7.0,176.0,3.0
110,Nigeria,65,+14,1.0,,2.0,62,,0.3,0.0
111,Trinidad and Tobago,61,+1,1.0,,,60,,44.0,0.7
112,Liechtenstein,56,+5,,,,56,,1469.0,
113,Honduras,52,,1.0,1.0,,51,,5.0,0.1
114,DRC,51,+3,3.0,1.0,,48,,0.6,0.03
115,Channel Islands,46,,1.0,1.0,,45,,265.0,6.0
116,Bangladesh,44,+5,5.0,,11.0,28,1.0,0.3,0.03
117,Kyrgyzstan,44,,,,,44,,7.0,
118,Paraguay,41,+4,3.0,,,38,1.0,6.0,0.4
119,Rwanda,41,,,,,41,,3.0,
120,Bolivia,40,+8,,,,40,,3.0,
121,Mayotte,36,,,,,36,,132.0,
122,Monaco,33,+2,,,1.0,32,,841.0,
123,Kenya,31,+3,1.0,1.0,1.0,29,,0.6,0.02
124,Macao,31,,,,10.0,21,,48.0,
125,French Polynesia,30,+5,,,,30,,107.0,
126,French Guiana,28,,,,6.0,22,,94.0,
127,Jamaica,26,,1.0,,2.0,23,,9.0,0.3
128,Gibraltar,26,,,,5.0,21,,772.0,
129,Isle of Man,25,+2,,,,25,,294.0,
130,Guatemala,24,,1.0,,4.0,19,,1.0,0.06
131,Madagascar,23,+4,,,,23,,0.8,
132,Togo,23,,,,1.0,22,,3.0,
133,Aruba,19,,,,1.0,18,,178.0,
134,Barbados,18,,,,,18,,63.0,
135,Zambia,16,+4,,,,16,,0.9,
136,New Caledonia,14,,,,,14,,49.0,
137,Uganda,14,,,,,14,,0.3,
138,El Salvador,13,+4,,,,13,,2.0,
139,Maldives,13,,,,8.0,5,,24.0,
140,Tanzania,13,,,,,13,,0.2,
141,Ethiopia,12,,,,,12,,0.1,
142,Djibouti,11,,,,,11,,11.0,
143,Dominica,11,,,,,11,,153.0,
144,Mongolia,11,+1,,,,11,,3.0,
145,Saint Martin,11,,,,,11,,284.0,
146,Equatorial Guinea,9,,,,,9,,6.0,
147,Cayman Islands,8,,1.0,,,7,,122.0,15.0
148,Haiti,8,,,,,8,,0.7,
149,Namibia,8,+1,,,2.0,6,,3.0,
150,Suriname,8,,,,,8,,14.0,
151,Gabon,7,+1,1.0,,,6,,3.0,0.4
152,Niger,7,,1.0,,,6,,0.3,0.04
153,Bermuda,7,,,,2.0,5,,112.0,
154,Mozambique,7,+2,,,,7,,0.2,
155,Seychelles,7,,,,,7,,71.0,
156,Curaçao,6,,1.0,,2.0,3,,37.0,6.0
157,Benin,6,,,,,6,,0.5,
158,Greenland,6,,,,2.0,4,,106.0,
159,Laos,6,+3,,,,6,,0.8,
160,Guyana,5,,1.0,,,4,,6.0,1.0
161,Bahamas,5,,,,1.0,4,,13.0,
162,Fiji,5,,,,,5,,6.0,
163,Syria,5,,,,,5,,0.3,
164,Cabo Verde,4,,1.0,,,3,,7.0,2.0
165,Congo,4,,,,,4,,0.7,
166,Eritrea,4,,,,,4,,1.0,
167,Guinea,4,,,,,4,,0.3,
168,Vatican City,4,,,,,4,,4994.0,
169,Mali,4,+2,,,,4,,0.2,
170,Eswatini,4,,,,,4,,3.0,
171,Gambia,3,,1.0,,,2,,1.0,0.4
172,Sudan,3,,1.0,,,2,,0.07,0.02
173,Zimbabwe,3,,1.0,,,2,,0.2,0.07
174,Nepal,3,,,,1.0,2,,0.1,
175,Angola,3,,,,,3,,0.09,
176,Antigua and Barbuda,3,,,,,3,,31.0,
177,CAR,3,,,,,3,,0.6,
178,Chad,3,,,,,3,,0.2,
179,Liberia,3,,,,,3,,0.6,
180,Mauritania,3,+1,,,,3,,0.6,
181,Myanmar,3,,,,,3,,0.06,
182,St. Barth,3,,,,,3,,304.0,
183,Saint Lucia,3,,,,,3,,16.0,
184,Sint Maarten,3,,,,,3,,70.0,
185,Belize,2,,,,,2,,5.0,
186,Bhutan,2,,,,,2,,3.0,
187,British Virgin Islands,2,,,,,2,,66.0,
188,Guinea-Bissau,2,,,,,2,,1.0,
189,Montserrat,2,+1,,,,2,,401.0,
190,Nicaragua,2,,,,,2,,0.3,
191,Saint Kitts and Nevis,2,,,,,2,,38.0,
192,Somalia,2,+1,,,,2,,0.1,
193,Turks and Caicos,2,+1,,,,2,,52.0,
194,Grenada,1,,,,,1,,9.0,
195,Libya,1,,,,,1,,0.1,
196,Papua New Guinea,1,,,,,1,,0.1,
197,St. Vincent Grenadines,1,,,,,1,,9.0,
198,Timor-Leste,1,,,,,1,,0.8,
199,Total:,522796,51828,23621.0,2345.0,123322.0,375853,19250.0,67.1,3.0
