,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,,3287.0,,74051.0,3947,1235.0,56.0,2.0
1,USA,82612,"+14,401",1184.0,157.0,1864.0,79564,2112.0,250.0,4.0
2,Italy,80589,"+6,203",8215.0,712.0,10361.0,62013,3612.0,1333.0,136.0
3,Spain,57786,"+8,271",4365.0,718.0,7015.0,46406,3166.0,1236.0,93.0
4,Germany,43938,"+6,615",267.0,61.0,5673.0,37998,23.0,524.0,3.0
5,Iran,29406,"+2,389",2234.0,157.0,10457.0,16715,2746.0,350.0,27.0
6,France,29155,"+3,922",1696.0,365.0,4948.0,22511,3375.0,447.0,26.0
7,Switzerland,11811,+914,191.0,38.0,131.0,11489,141.0,1365.0,22.0
8,UK,11658,"+2,129",578.0,115.0,135.0,10945,163.0,172.0,9.0
9,S. Korea,9241,+104,131.0,5.0,4144.0,4966,59.0,180.0,3.0
10,Netherlands,7431,"+1,019",434.0,78.0,3.0,6994,761.0,434.0,25.0
11,Austria,6847,"+1,259",49.0,18.0,112.0,6686,28.0,760.0,5.0
12,Belgium,6235,"+1,298",220.0,42.0,675.0,5340,605.0,538.0,19.0
13,Canada,3977,+568,39.0,3.0,226.0,3712,120.0,105.0,1.0
14,Turkey,3629,"+1,196",75.0,16.0,26.0,3528,136.0,43.0,0.9
15,Portugal,3544,+549,60.0,17.0,43.0,3441,61.0,348.0,6.0
16,Norway,3369,+285,14.0,,6.0,3349,70.0,621.0,3.0
17,Australia,2991,+315,13.0,2.0,170.0,2808,11.0,117.0,0.5
18,Brazil,2915,+361,77.0,18.0,6.0,2832,18.0,14.0,0.4
19,Sweden,2840,+314,77.0,15.0,16.0,2747,176.0,281.0,8.0
20,Israel,2693,+324,8.0,3.0,68.0,2617,46.0,311.0,0.9
21,Malaysia,2031,+235,23.0,3.0,215.0,1793,45.0,63.0,0.7
22,Czechia,1925,+271,9.0,3.0,10.0,1906,34.0,180.0,0.8
23,Denmark,1877,+153,41.0,7.0,1.0,1835,94.0,324.0,7.0
24,Ireland,1819,+255,19.0,10.0,5.0,1795,39.0,368.0,4.0
25,Luxembourg,1453,+120,9.0,1.0,6.0,1438,3.0,2321.0,14.0
26,Japan,1399,+92,47.0,2.0,359.0,993,57.0,11.0,0.4
27,Ecuador,1382,+171,34.0,5.0,3.0,1345,58.0,78.0,2.0
28,Chile,1306,+164,4.0,1.0,22.0,1280,7.0,68.0,0.2
29,Poland,1221,+170,16.0,2.0,7.0,1198,3.0,32.0,0.4
30,Pakistan,1179,+116,9.0,1.0,21.0,1149,5.0,5.0,0.04
31,Thailand,1045,+111,4.0,,88.0,953,4.0,15.0,0.06
32,Romania,1029,+123,23.0,6.0,94.0,912,29.0,53.0,1.0
33,Saudi Arabia,1012,+112,3.0,1.0,33.0,976,6.0,29.0,0.09
34,Finland,958,+78,5.0,2.0,10.0,943,24.0,173.0,0.9
35,South Africa,927,+218,,,12.0,915,2.0,16.0,
36,Indonesia,893,+103,78.0,20.0,35.0,780,,3.0,0.3
37,Greece,892,+71,26.0,4.0,36.0,830,53.0,86.0,2.0
38,Russia,840,+182,3.0,,38.0,799,8.0,6.0,0.02
39,Iceland,802,+65,2.0,,68.0,732,11.0,2350.0,6.0
40,India,722,+65,16.0,4.0,45.0,661,,0.5,0.01
41,Diamond Princess,712,,10.0,,597.0,105,15.0,,
42,Philippines,707,+71,45.0,7.0,28.0,634,1.0,6.0,0.4
43,Singapore,683,+52,2.0,,172.0,509,17.0,117.0,0.3
44,Peru,580,+100,9.0,,14.0,557,14.0,18.0,0.3
45,Slovenia,562,+34,6.0,1.0,10.0,546,14.0,270.0,3.0
46,Panama,558,,8.0,,2.0,548,20.0,129.0,2.0
47,Qatar,549,+12,,,43.0,506,6.0,191.0,
48,Estonia,538,+134,1.0,,8.0,529,6.0,406.0,0.8
49,Argentina,502,,8.0,,63.0,431,,11.0,0.2
50,Egypt,495,+39,24.0,3.0,102.0,369,,5.0,0.2
51,Croatia,495,+53,3.0,2.0,22.0,470,14.0,121.0,0.7
52,Colombia,491,+21,6.0,2.0,8.0,477,,10.0,0.1
53,Dominican Republic,488,+96,10.0,,3.0,475,,45.0,0.9
54,Mexico,475,+70,6.0,1.0,4.0,465,1.0,4.0,0.05
55,Bahrain,458,+39,4.0,,204.0,250,1.0,269.0,2.0
56,Serbia,457,+73,7.0,3.0,15.0,435,21.0,52.0,0.8
57,Hong Kong,453,+42,4.0,,110.0,339,5.0,60.0,0.5
58,Iraq,382,+36,36.0,7.0,105.0,241,,9.0,0.9
59,Lebanon,368,+35,6.0,,23.0,339,3.0,54.0,0.9
