,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
0,China,77663,513.0,2664.0,72.0,27565.0,9126.0,Asia
1,S. Korea,977,144.0,11.0,3.0,22.0,6.0,Asia
2,Diamond Princess,691,,4.0,1.0,10.0,35.0,
3,Italy,283,54.0,7.0,,1.0,23.0,Europe
4,Japan,160,1.0,1.0,,23.0,7.0,Asia
5,Iran,95,34.0,15.0,3.0,3.0,,Asia
6,Singapore,90,,,,53.0,7.0,Asia
7,Hong Kong,81,,2.0,,12.0,6.0,Asia
8,USA,53,,,,6.0,,N.America
9,Thailand,37,2.0,,,21.0,2.0,Asia
10,Taiwan,31,1.0,1.0,,5.0,1.0,Asia
11,Australia,22,,,,11.0,,Oceania
12,Malaysia,22,,,,20.0,,Asia
13,Germany,16,,,,14.0,,Europe
14,Vietnam,16,,,,16.0,,Asia
15,U.K.,13,,,,8.0,,Europe
16,U.A.E.,13,,,,3.0,2.0,Asia
17,France,12,,1.0,,11.0,,Europe
18,Canada,11,,,,3.0,,N.America
19,Macao,10,,,,5.0,,Asia
20,Bahrain,8,6.0,,,,,Asia
21,Kuwait,8,3.0,,,,,Asia
22,Iraq,5,4.0,,,,,Asia
23,Philippines,3,,1.0,,2.0,,Asia
24,India,3,,,,3.0,,Asia
25,Spain,3,,,,2.0,,Europe
26,Israel,2,,,,,,Asia
27,Oman,2,,,,,,Asia
28,Russia,2,,,,2.0,,Europe
29,Afghanistan,1,,,,,,Asia
30,Belgium,1,,,,1.0,,Europe
31,Cambodia,1,,,,1.0,,Asia
32,Egypt,1,,,,1.0,,Africa
33,Finland,1,,,,1.0,,Europe
34,Lebanon,1,,,,,,Asia
35,Nepal,1,,,,1.0,,Asia
36,Sri Lanka,1,,,,1.0,,Asia
37,Sweden,1,,,,,,Europe
