,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,2632532,"+76,772",183866.0,"+6,407",716877.0,1731789,56678.0,338.0,23.6,,
1,USA,846294,"+27,550",47524.0,"+2,206",83917.0,714853,14014.0,2557.0,144.0,4319358.0,13049.0
2,Spain,208389,"+4,211",21717.0,+435,85915.0,100757,7705.0,4457.0,464.0,930230.0,19896.0
3,Italy,187327,"+3,370",25085.0,+437,54543.0,107699,2384.0,3098.0,415.0,1513251.0,25028.0
4,France,159877,"+1,827",21340.0,+544,40657.0,97880,5218.0,2449.0,327.0,463662.0,7103.0
5,Germany,150648,"+2,195",5279.0,+193,99400.0,45969,2908.0,1798.0,63.0,2072669.0,24738.0
6,UK,133495,"+4,451",18100.0,+763,,115051,1559.0,1966.0,267.0,559935.0,8248.0
7,Turkey,98674,"+3,083",2376.0,+117,16477.0,79821,1814.0,1170.0,28.0,750944.0,8904.0
8,Iran,85996,"+1,194",5391.0,+94,63113.0,17492,3311.0,1024.0,64.0,377396.0,4493.0
9,Russia,57999,"+5,236",513.0,+57,4420.0,53066,700.0,397.0,4.0,2250000.0,15418.0
10,Brazil,45757,"+2,678",2906.0,+165,25318.0,17533,8318.0,215.0,14.0,291922.0,1373.0
11,Belgium,41889,+933,6262.0,+264,9433.0,26194,1020.0,3614.0,540.0,171400.0,14789.0
12,Canada,40119,"+1,697",1971.0,+137,13647.0,24501,557.0,1063.0,52.0,569878.0,15099.0
13,Netherlands,34842,+708,4054.0,+138,,30538,1050.0,2033.0,237.0,171415.0,10004.0
14,Switzerland,28268,+205,1509.0,+31,19900.0,6859,386.0,3266.0,174.0,227554.0,26293.0
15,Portugal,21982,+603,785.0,+23,1143.0,20054,207.0,2156.0,77.0,284741.0,27925.0
16,India,21370,"+1,290",681.0,+36,4370.0,16319,,15.0,0.5,462621.0,335.0
17,Peru,19250,"+1,413",530.0,+46,7027.0,11693,396.0,584.0,16.0,170400.0,5168.0
18,Ireland,16671,+631,769.0,+39,9233.0,6669,147.0,3376.0,156.0,111584.0,22598.0
19,Sweden,16004,+682,1937.0,+172,550.0,13517,515.0,1585.0,192.0,94500.0,9357.0
20,Austria,14925,+52,510.0,+19,11328.0,3087,176.0,1657.0,57.0,201794.0,22406.0
21,Israel,14498,+556,189.0,+5,5215.0,9094,141.0,1675.0,22.0,240303.0,27763.0
22,Saudi Arabia,12772,"+1,141",114.0,+5,1812.0,10846,82.0,367.0,3.0,200000.0,5745.0
23,Japan,11512,,281.0,,1356.0,9875,232.0,91.0,2.0,124550.0,985.0
24,Chile,11296,+464,160.0,+13,5386.0,5750,399.0,591.0,8.0,128722.0,6734.0
25,Ecuador,10850,+452,537.0,+17,1262.0,9051,141.0,615.0,30.0,33389.0,1892.0
26,S. Korea,10694,+11,238.0,+1,8277.0,2179,55.0,209.0,5.0,577959.0,11273.0
27,Poland,10169,+313,426.0,+25,1513.0,8230,160.0,269.0,11.0,238799.0,6310.0
28,Singapore,10141,"+1,016",12.0,+1,896.0,9233,27.0,1733.0,2.0,94796.0,16203.0
29,Pakistan,10076,+511,212.0,+11,2156.0,7708,58.0,46.0,1.0,118020.0,534.0
30,Romania,9710,+468,524.0,+26,2406.0,6780,288.0,505.0,27.0,106357.0,5529.0
31,Mexico,9501,+729,857.0,+145,2627.0,6017,378.0,74.0,7.0,49570.0,384.0
32,UAE,8238,+483,52.0,+6,1546.0,6640,1.0,833.0,5.0,790000.0,79875.0
33,Denmark,7912,+217,384.0,+14,5087.0,2441,80.0,1366.0,66.0,108465.0,18726.0
34,Indonesia,7418,+283,635.0,+19,913.0,5870,,27.0,2.0,55732.0,204.0
35,Belarus,7281,+558,58.0,+3,769.0,6454,92.0,771.0,6.0,114955.0,12165.0
36,Norway,7275,+34,187.0,+5,32.0,7056,54.0,1342.0,34.0,148656.0,27421.0
37,Qatar,7141,+608,10.0,+1,689.0,6442,37.0,2479.0,3.0,70012.0,24301.0
38,Czechia,7132,+99,208.0,+7,1989.0,4935,80.0,666.0,19.0,186918.0,17454.0
39,Serbia,7114,+224,134.0,+4,1025.0,5955,101.0,814.0,15.0,48636.0,5566.0
40,Philippines,6710,+111,446.0,+9,693.0,5571,1.0,61.0,4.0,68532.0,625.0
41,Australia,6649,+4,74.0,+3,4920.0,1655,47.0,261.0,3.0,452441.0,17743.0
42,Ukraine,6592,+467,174.0,+13,424.0,5994,45.0,151.0,4.0,67520.0,1544.0
43,Malaysia,5532,+50,93.0,+1,3452.0,1987,43.0,171.0,3.0,113755.0,3515.0
44,Dominican Republic,5300,+256,260.0,+15,581.0,4459,135.0,489.0,24.0,18261.0,1683.0
45,Panama,4821,+163,141.0,+5,231.0,4449,94.0,1117.0,33.0,21902.0,5076.0
46,Colombia,4356,+207,206.0,+10,870.0,3280,98.0,86.0,4.0,71500.0,1405.0
47,Finland,4129,+115,149.0,+8,2000.0,1980,63.0,745.0,27.0,68552.0,12372.0
48,Bangladesh,3772,+390,120.0,+10,92.0,3560,1.0,23.0,0.7,32630.0,198.0
49,Egypt,3659,+169,276.0,+12,935.0,2448,,36.0,3.0,55000.0,537.0
50,Luxembourg,3654,+36,80.0,+2,711.0,2863,32.0,5837.0,128.0,36087.0,57649.0
51,South Africa,3635,+170,65.0,+7,1055.0,2515,36.0,61.0,1.0,133774.0,2256.0
52,Morocco,3446,+237,149.0,+4,417.0,2880,1.0,93.0,4.0,19885.0,539.0
53,Argentina,3144,,152.0,+1,872.0,2120,123.0,70.0,3.0,39228.0,868.0
54,Algeria,2910,+99,402.0,+10,1204.0,1304,40.0,66.0,9.0,6500.0,148.0
55,Thailand,2826,+15,49.0,+1,2352.0,425,61.0,40.0,0.7,142589.0,2043.0
56,Moldova,2778,+164,75.0,+3,560.0,2143,212.0,689.0,19.0,11763.0,2916.0
57,Greece,2408,+7,121.0,,577.0,1710,55.0,231.0,12.0,56944.0,5463.0
58,Kuwait,2248,+168,13.0,+2,443.0,1792,50.0,526.0,3.0,,
59,Hungary,2168,+70,225.0,+12,295.0,1648,82.0,224.0,23.0,52702.0,5455.0
60,Kazakhstan,2135,+140,19.0,,515.0,1601,32.0,114.0,1.0,139207.0,7414.0
61,Bahrain,2027,+54,7.0,,1026.0,994,2.0,1191.0,4.0,97796.0,57474.0
62,Croatia,1950,+42,48.0,,869.0,1033,19.0,475.0,12.0,27614.0,6726.0
63,Iceland,1785,+7,10.0,,1462.0,313,5.0,5231.0,29.0,44468.0,130312.0
64,Uzbekistan,1716,+38,7.0,+1,450.0,1259,8.0,51.0,0.2,150000.0,4482.0
65,Iraq,1631,+29,83.0,,1146.0,402,,41.0,2.0,62880.0,1563.0
66,Oman,1614,+106,8.0,,238.0,1368,3.0,316.0,2.0,,
67,Estonia,1559,+7,44.0,+1,184.0,1331,7.0,1175.0,33.0,43637.0,32895.0
68,Azerbaijan,1518,+38,20.0,,907.0,591,14.0,150.0,2.0,108221.0,10674.0
69,Armenia,1473,+72,24.0,,633.0,816,30.0,497.0,8.0,14966.0,5051.0
70,New Zealand,1451,+6,14.0,+1,1036.0,401,2.0,301.0,3.0,94797.0,19658.0
71,Lithuania,1370,+20,38.0,,357.0,975,17.0,503.0,14.0,76973.0,28275.0
72,Bosnia and Herzegovina,1368,+26,53.0,+2,460.0,855,4.0,417.0,16.0,20125.0,6134.0
73,Slovenia,1353,+9,79.0,+2,205.0,1069,24.0,651.0,38.0,44435.0,21374.0
74,North Macedonia,1259,+28,56.0,+1,272.0,931,8.0,604.0,27.0,13000.0,6240.0
75,Slovakia,1244,+45,14.0,,284.0,946,7.0,228.0,3.0,52649.0,9643.0
76,Cuba,1189,+52,40.0,+2,341.0,808,16.0,105.0,4.0,30416.0,2685.0
77,Afghanistan,1176,+84,40.0,+4,166.0,970,7.0,30.0,1.0,6422.0,165.0
78,Cameroon,1163,,43.0,,397.0,723,33.0,44.0,2.0,,
79,Ghana,1154,+112,9.0,,99.0,1046,4.0,37.0,0.3,68591.0,2207.0
