,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1518719,759.0,88502.0,47.0,330589.0,1099628,48079.0,195.0,11.4,,
1,USA,435128,201.0,14795.0,7.0,22891.0,397442,9279.0,1315.0,45.0,2209041.0,6674.0
2,Spain,148220,,14792.0,,48021.0,85407,7069.0,3170.0,316.0,355000.0,7593.0
3,Italy,139422,,17669.0,,26491.0,95262,3693.0,2306.0,292.0,807125.0,13349.0
4,Germany,113296,,2349.0,,46300.0,64647,4895.0,1352.0,28.0,1317887.0,15730.0
5,France,112950,,10869.0,,21254.0,80827,7148.0,1730.0,167.0,224254.0,3436.0
6,Iran,64586,,3993.0,,29812.0,30781,3987.0,769.0,48.0,211136.0,2514.0
7,UK,60733,,7097.0,,135.0,53501,1559.0,895.0,105.0,282074.0,4155.0
8,Turkey,38226,,812.0,,1846.0,35568,1492.0,453.0,10.0,247768.0,2938.0
9,Belgium,23403,,2240.0,,4681.0,16482,1276.0,2019.0,193.0,84248.0,7269.0
10,Switzerland,23280,,895.0,,9800.0,12585,391.0,2690.0,103.0,171938.0,19867.0
11,Netherlands,20549,,2248.0,,250.0,18051,1424.0,1199.0,131.0,101534.0,5926.0
12,Canada,19438,,427.0,,4548.0,14463,426.0,515.0,11.0,361969.0,9591.0
13,Brazil,16188,,820.0,,127.0,15241,296.0,76.0,4.0,54824.0,258.0
14,Portugal,13141,,380.0,,196.0,12565,245.0,1289.0,37.0,128784.0,12630.0
15,Austria,12942,,273.0,,4512.0,8157,267.0,1437.0,30.0,120755.0,13408.0
16,S. Korea,10423,39.0,204.0,4.0,6973.0,3246,55.0,203.0,4.0,477304.0,9310.0
17,Israel,9404,,73.0,,801.0,8530,147.0,1086.0,8.0,117339.0,13557.0
18,Russia,8672,,63.0,,580.0,8029,8.0,59.0,0.4,910221.0,6237.0
19,Sweden,8419,,687.0,,205.0,7527,678.0,834.0,68.0,54700.0,5416.0
20,Ireland,6074,,235.0,,25.0,5814,165.0,1230.0,48.0,42484.0,8604.0
