,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
0,World,1513304,"+82,323",88405.0,"+6,369",329731.0,1095168,48078.0,194.0,11.3,,
1,USA,430271,"+29,936",14738.0,"+1,897",22356.0,393177,9265.0,1300.0,45.0,2202894.0,6655.0
2,Spain,148220,"+6,278",14792.0,+747,48021.0,85407,7069.0,3170.0,316.0,355000.0,7593.0
3,Italy,139422,"+3,836",17669.0,+542,26491.0,95262,3693.0,2306.0,292.0,807125.0,13349.0
4,Germany,113296,"+5,633",2349.0,+333,46300.0,64647,4895.0,1352.0,28.0,1317887.0,15730.0
5,France,112950,"+3,881",10869.0,+541,21254.0,80827,7148.0,1730.0,167.0,224254.0,3436.0
6,Iran,64586,"+1,997",3993.0,+121,29812.0,30781,3987.0,769.0,48.0,211136.0,2514.0
7,UK,60733,"+5,491",7097.0,+938,135.0,53501,1559.0,895.0,105.0,282074.0,4155.0
8,Turkey,38226,"+4,117",812.0,+87,1846.0,35568,1492.0,453.0,10.0,247768.0,2938.0
9,Belgium,23403,"+1,209",2240.0,+205,4681.0,16482,1276.0,2019.0,193.0,84248.0,7269.0
10,Switzerland,23280,"+1,027",895.0,+74,9800.0,12585,391.0,2690.0,103.0,171938.0,19867.0
11,Netherlands,20549,+969,2248.0,+147,250.0,18051,1424.0,1199.0,131.0,101534.0,5926.0
12,Canada,19438,"+1,541",427.0,+46,4548.0,14463,426.0,515.0,11.0,361969.0,9591.0
13,Brazil,16188,"+2,154",820.0,+134,127.0,15241,296.0,76.0,4.0,54824.0,258.0
14,Portugal,13141,+699,380.0,+35,196.0,12565,245.0,1289.0,37.0,128784.0,12630.0
15,Austria,12942,+303,273.0,+30,4512.0,8157,267.0,1437.0,30.0,120755.0,13408.0
16,S. Korea,10384,+53,200.0,+8,6776.0,3408,55.0,203.0,4.0,477304.0,9310.0
17,Israel,9404,+156,73.0,+8,801.0,8530,147.0,1086.0,8.0,117339.0,13557.0
18,Russia,8672,"+1,175",63.0,+5,580.0,8029,8.0,59.0,0.4,910221.0,6237.0
19,Sweden,8419,+726,687.0,+96,205.0,7527,678.0,834.0,68.0,54700.0,5416.0
20,Ireland,6074,+365,235.0,+25,25.0,5814,165.0,1230.0,48.0,42484.0,8604.0
21,Australia,6052,+64,50.0,+1,2813.0,3189,87.0,237.0,2.0,319784.0,12541.0
22,Norway,6042,,101.0,+12,32.0,5909,78.0,1115.0,19.0,113896.0,21009.0
23,India,5916,+565,178.0,+18,506.0,5232,,4.0,0.1,167235.0,121.0
24,Chile,5546,+430,48.0,+5,1115.0,4383,362.0,290.0,3.0,60391.0,3159.0
25,Denmark,5402,+331,218.0,+15,1621.0,3563,127.0,933.0,38.0,64002.0,11050.0
26,Czechia,5312,+295,99.0,+11,233.0,4980,103.0,496.0,9.0,98681.0,9215.0
27,Poland,5205,+357,159.0,+30,222.0,4824,160.0,138.0,4.0,99284.0,2623.0
28,Romania,4761,+344,220.0,+23,528.0,4013,162.0,247.0,11.0,47207.0,2454.0
29,Japan,4667,+410,94.0,+1,632.0,3941,99.0,37.0,0.7,55311.0,437.0
30,Ecuador,4450,+455,242.0,+22,140.0,4068,146.0,252.0,14.0,14406.0,817.0
31,Peru,4342,"+1,388",121.0,+14,1333.0,2888,113.0,132.0,4.0,39599.0,1201.0
32,Pakistan,4263,+228,61.0,+4,467.0,3735,25.0,19.0,0.3,42159.0,191.0
33,Malaysia,4119,+156,65.0,+2,1487.0,2567,76.0,127.0,2.0,58240.0,1799.0
34,Philippines,3870,+106,182.0,+5,96.0,3592,1.0,35.0,2.0,24500.0,224.0
35,Luxembourg,3034,+64,46.0,+2,500.0,2488,34.0,4847.0,73.0,26573.0,42450.0
36,Indonesia,2956,+218,240.0,+19,222.0,2494,,11.0,0.9,14354.0,52.0
37,Saudi Arabia,2932,+137,41.0,,631.0,2260,41.0,84.0,1.0,,
38,Mexico,2785,+346,141.0,+16,633.0,2011,89.0,22.0,1.0,25410.0,197.0
39,Serbia,2666,+219,65.0,+4,118.0,2483,112.0,305.0,7.0,10761.0,1232.0
40,UAE,2659,+300,12.0,,239.0,2408,1.0,269.0,1.0,593095.0,59967.0
41,Panama,2528,+428,63.0,+8,16.0,2449,101.0,586.0,15.0,11776.0,2729.0
42,Finland,2487,+179,40.0,+6,300.0,2147,82.0,449.0,7.0,36500.0,6588.0
43,Thailand,2369,+111,30.0,+3,888.0,1451,61.0,34.0,0.4,71860.0,1030.0
44,Qatar,2210,+153,6.0,,178.0,2026,37.0,767.0,2.0,41818.0,14515.0
45,Dominican Republic,2111,+155,108.0,+10,50.0,1953,147.0,195.0,10.0,4542.0,419.0
46,Colombia,2054,+274,55.0,+5,123.0,1876,76.0,40.0,1.0,33575.0,660.0
47,Greece,1884,+52,83.0,+2,269.0,1532,84.0,181.0,8.0,32528.0,3121.0
48,South Africa,1845,+96,18.0,+5,95.0,1732,7.0,31.0,0.3,63776.0,1075.0
49,Argentina,1795,+80,65.0,+5,358.0,1372,96.0,40.0,1.0,13330.0,295.0
50,Ukraine,1668,+206,52.0,+7,35.0,1581,33.0,38.0,1.0,7205.0,165.0
51,Singapore,1623,+142,6.0,,406.0,1211,29.0,277.0,1.0,65000.0,11110.0
52,Iceland,1616,+30,6.0,,633.0,977,13.0,4736.0,18.0,30947.0,90689.0
53,Algeria,1572,+104,205.0,+12,237.0,1130,46.0,36.0,5.0,3359.0,77.0
54,Egypt,1560,+110,103.0,+9,305.0,1152,,15.0,1.0,25000.0,244.0
55,Croatia,1343,+61,19.0,+1,179.0,1145,36.0,327.0,5.0,13125.0,3197.0
56,Morocco,1275,+91,93.0,+3,97.0,1085,1.0,35.0,3.0,5752.0,156.0
57,New Zealand,1210,+50,1.0,,282.0,927,4.0,251.0,0.2,46875.0,9721.0
58,Iraq,1202,+80,69.0,+4,452.0,681,,30.0,2.0,28414.0,706.0
59,Estonia,1185,+36,24.0,+3,72.0,1089,11.0,893.0,18.0,24813.0,18705.0
60,Moldova,1174,+118,27.0,+5,40.0,1107,80.0,291.0,7.0,5108.0,1266.0
61,Slovenia,1091,+32,40.0,+4,120.0,931,35.0,525.0,19.0,30669.0,14752.0
