,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,164253,+409,3165.0,9.0,5506.0,155582,3512.0,496.0,10.0,Jan 20
1,Italy,101739,,11591.0,,14620.0,75528,3981.0,1683.0,192.0,Jan 29
2,Spain,87956,,7716.0,,16780.0,63460,5231.0,1881.0,165.0,Jan 30
3,Germany,66885,,645.0,,13500.0,52740,1979.0,798.0,8.0,Jan 26
4,France,44550,,3024.0,,7927.0,33599,5056.0,683.0,46.0,Jan 23
5,Iran,41495,,2757.0,,13911.0,24827,3511.0,494.0,33.0,Feb 18
6,UK,22141,,1408.0,,135.0,20598,163.0,326.0,21.0,Jan 30
7,Switzerland,15922,,359.0,,1823.0,13740,301.0,1840.0,41.0,Feb 24
8,Belgium,11899,,513.0,,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,11750,,864.0,,250.0,10636,1053.0,686.0,50.0,Feb 26
10,Turkey,10827,,168.0,,162.0,10497,568.0,128.0,2.0,Mar 09
11,S. Korea,9786,+125,162.0,4.0,5408.0,4216,55.0,191.0,3.0,Jan 19
12,Austria,9618,,108.0,,636.0,8874,193.0,1068.0,12.0,Feb 24
13,Canada,7474,+26,92.0,3.0,1114.0,6268,120.0,198.0,2.0,Jan 24
14,Portugal,6408,,140.0,,43.0,6225,164.0,628.0,14.0,Mar 01
15,Israel,4695,,16.0,,161.0,4518,79.0,542.0,2.0,Feb 20
16,Brazil,4661,+31,165.0,2.0,127.0,4369,296.0,22.0,0.8,Feb 24
17,Australia,4514,+54,19.0,,244.0,4251,28.0,177.0,0.7,Jan 24
18,Norway,4462,+17,32.0,,12.0,4418,97.0,823.0,6.0,Feb 25
19,Sweden,4028,,146.0,,16.0,3866,306.0,399.0,14.0,Jan 30
20,Czechia,3001,,23.0,,25.0,2953,52.0,280.0,2.0,Feb 29
21,Ireland,2910,,54.0,,5.0,2851,84.0,589.0,11.0,Feb 28
22,Malaysia,2626,,37.0,,479.0,2110,94.0,81.0,1.0,Jan 24
23,Denmark,2577,,77.0,,1.0,2499,137.0,445.0,13.0,Feb 26
24,Chile,2449,,8.0,,156.0,2285,14.0,128.0,0.4,Mar 02
25,Romania,2109,,65.0,,209.0,1835,33.0,110.0,3.0,Feb 25
26,Poland,2055,,31.0,,7.0,2017,3.0,54.0,0.8,Mar 03
27,Luxembourg,1988,,22.0,,40.0,1926,25.0,3176.0,35.0,Feb 28
28,Ecuador,1966,,62.0,,3.0,1901,58.0,111.0,4.0,Feb 28
29,Japan,1953,,56.0,,424.0,1473,56.0,15.0,0.4,Jan 14
30,Russia,1836,,9.0,,66.0,1761,8.0,13.0,0.06,Jan 30
31,Pakistan,1717,,21.0,,76.0,1620,11.0,8.0,0.1,Feb 25
32,Philippines,1546,,78.0,,42.0,1426,1.0,14.0,0.7,Jan 29
33,Thailand,1524,,9.0,,229.0,1286,11.0,22.0,0.1,Jan 12
34,Saudi Arabia,1453,,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
35,Indonesia,1414,,122.0,,75.0,1217,,5.0,0.4,Mar 01
36,Finland,1352,,13.0,,10.0,1329,49.0,244.0,2.0,Jan 28
37,South Africa,1326,,3.0,,31.0,1292,7.0,22.0,0.05,Mar 04
38,India,1251,,32.0,,102.0,1117,,0.9,0.02,Jan 29
39,Greece,1212,,46.0,,52.0,1114,72.0,116.0,4.0,Feb 25
40,Mexico,1094,+101,28.0,8.0,35.0,1031,1.0,8.0,0.2,Feb 27
41,Iceland,1086,,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
42,Panama,1075,,27.0,,9.0,1039,43.0,249.0,6.0,Mar 09
43,Argentina,966,+146,24.0,1.0,228.0,714,,21.0,0.5,Mar 02
44,Peru,950,,24.0,,53.0,873,49.0,29.0,0.7,Mar 05
45,Dominican Republic,901,,42.0,,4.0,855,,83.0,4.0,Feb 29
46,Singapore,879,,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
47,Colombia,798,,14.0,,15.0,769,29.0,16.0,0.3,Mar 05
48,Croatia,790,,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
49,Serbia,785,,16.0,,42.0,727,62.0,90.0,2.0,Mar 05
50,Slovenia,756,,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
51,Estonia,715,,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
