,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,164359,+515,3173.0,17.0,5507.0,155679,3512.0,497.0,10.0,Jan 20
1,Italy,101739,,11591.0,,14620.0,75528,3981.0,1683.0,192.0,Jan 29
2,Spain,87956,,7716.0,,16780.0,63460,5231.0,1881.0,165.0,Jan 30
3,Germany,67051,+166,650.0,5.0,13500.0,52901,1979.0,800.0,8.0,Jan 26
4,France,44550,,3024.0,,7927.0,33599,5056.0,683.0,46.0,Jan 23
5,Iran,41495,,2757.0,,13911.0,24827,3511.0,494.0,33.0,Feb 18
6,UK,22141,,1408.0,,135.0,20598,163.0,326.0,21.0,Jan 30
7,Switzerland,15922,,359.0,,1823.0,13740,301.0,1840.0,41.0,Feb 24
8,Belgium,11899,,513.0,,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,11750,,864.0,,250.0,10636,1053.0,686.0,50.0,Feb 26
10,Turkey,10827,,168.0,,162.0,10497,568.0,128.0,2.0,Mar 09
11,S. Korea,9786,+125,162.0,4.0,5408.0,4216,55.0,191.0,3.0,Jan 19
12,Austria,9772,+154,108.0,,636.0,9028,193.0,1085.0,12.0,Feb 24
13,Canada,7474,+26,92.0,3.0,1114.0,6268,120.0,198.0,2.0,Jan 24
14,Portugal,6408,,140.0,,43.0,6225,164.0,628.0,14.0,Mar 01
15,Israel,4831,+136,18.0,2.0,163.0,4650,83.0,558.0,2.0,Feb 20
16,Brazil,4661,+31,165.0,2.0,127.0,4369,296.0,22.0,0.8,Feb 24
17,Australia,4557,+97,19.0,,337.0,4201,28.0,179.0,0.7,Jan 24
18,Norway,4465,+20,32.0,,12.0,4421,97.0,824.0,6.0,Feb 25
19,Sweden,4028,,146.0,,16.0,3866,306.0,399.0,14.0,Jan 30
20,Czechia,3002,+1,24.0,1.0,25.0,2953,64.0,280.0,2.0,Feb 29
21,Ireland,2910,,54.0,,5.0,2851,84.0,589.0,11.0,Feb 28
22,Denmark,2815,+238,77.0,,1.0,2737,137.0,486.0,13.0,Feb 26
23,Malaysia,2626,,37.0,,479.0,2110,94.0,81.0,1.0,Jan 24
24,Chile,2449,,8.0,,156.0,2285,14.0,128.0,0.4,Mar 02
25,Poland,2132,+77,31.0,,7.0,2094,3.0,56.0,0.8,Mar 03
26,Romania,2109,,68.0,3.0,209.0,1832,33.0,110.0,4.0,Feb 25
27,Luxembourg,1988,,22.0,,80.0,1886,31.0,3176.0,35.0,Feb 28
28,Ecuador,1966,,62.0,,54.0,1850,58.0,111.0,4.0,Feb 28
29,Japan,1953,,56.0,,424.0,1473,56.0,15.0,0.4,Jan 14
30,Pakistan,1865,+148,25.0,4.0,76.0,1764,12.0,8.0,0.1,Feb 25
31,Russia,1836,,9.0,,66.0,1761,8.0,13.0,0.06,Jan 30
32,Thailand,1651,+127,10.0,1.0,342.0,1299,23.0,24.0,0.1,Jan 12
33,Philippines,1546,,78.0,,42.0,1426,1.0,14.0,0.7,Jan 29
34,Saudi Arabia,1453,,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
