,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,145099,"+1,608",2606.0,+24,4574.0,137919,2972.0,438.0,8.0,Jan 20
1,Italy,97689,,10779.0,,13030.0,73880,3906.0,1616.0,178.0,Jan 29
2,Spain,85195,"+5,085",7340.0,+537,16780.0,61075,5231.0,1822.0,157.0,Jan 30
3,Germany,63929,"+1,494",560.0,+19,9211.0,54158,1979.0,763.0,7.0,Jan 26
4,Iran,41495,"+3,186",2757.0,+117,13911.0,24827,3511.0,494.0,33.0,Feb 18
5,France,40174,,2606.0,,7202.0,30366,4632.0,615.0,40.0,Jan 23
6,UK,19522,,1415.0,+187,135.0,17972,163.0,288.0,21.0,Jan 30
7,Switzerland,15526,+697,333.0,+33,1823.0,13370,301.0,1794.0,38.0,Feb 24
8,Belgium,11899,"+1,063",513.0,+82,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,11750,+884,864.0,+93,250.0,10636,1053.0,686.0,50.0,Feb 26
10,S. Korea,9661,+78,158.0,+6,5228.0,4275,59.0,188.0,3.0,Jan 19
11,Austria,9377,+589,108.0,+22,636.0,8633,193.0,1041.0,12.0,Feb 24
12,Turkey,9217,,131.0,,105.0,8981,568.0,109.0,2.0,Mar 09
13,Canada,6671,+351,67.0,+2,1014.0,5590,120.0,177.0,2.0,Jan 24
14,Portugal,6408,+446,140.0,+21,43.0,6225,164.0,628.0,14.0,Mar 01
15,Norway,4436,+152,31.0,+5,12.0,4393,97.0,818.0,6.0,Feb 25
16,Brazil,4362,+106,141.0,+5,120.0,4101,296.0,21.0,0.7,Feb 24
17,Israel,4347,+100,16.0,+1,134.0,4197,80.0,502.0,2.0,Feb 20
18,Australia,4245,+82,18.0,+1,244.0,3983,28.0,166.0,0.7,Jan 24
19,Sweden,4028,+328,146.0,+36,16.0,3866,306.0,399.0,14.0,Jan 30
20,Czechia,2896,+79,17.0,+1,11.0,2868,52.0,270.0,2.0,Feb 29
21,Malaysia,2626,+156,37.0,+2,479.0,2110,94.0,81.0,1.0,Jan 24
22,Ireland,2615,,46.0,,5.0,2564,59.0,530.0,9.0,Feb 28
23,Denmark,2577,+182,77.0,+5,1.0,2499,113.0,445.0,13.0,Feb 26
24,Chile,2449,+310,8.0,+1,156.0,2285,14.0,128.0,0.4,Mar 02
25,Luxembourg,1988,+38,22.0,+1,40.0,1926,25.0,3176.0,35.0,Feb 28
26,Poland,1984,+122,26.0,+4,7.0,1951,3.0,52.0,0.7,Mar 03
27,Romania,1952,+137,46.0,+3,206.0,1700,31.0,101.0,2.0,Feb 25
28,Ecuador,1924,,58.0,,3.0,1863,58.0,109.0,3.0,Feb 28
29,Japan,1866,,54.0,,424.0,1388,56.0,15.0,0.4,Jan 14
30,Russia,1836,+302,9.0,+1,66.0,1761,8.0,13.0,0.06,Jan 30
31,Pakistan,1650,+53,20.0,+6,29.0,1601,11.0,7.0,0.09,Feb 25
32,Philippines,1546,+128,78.0,+7,42.0,1426,1.0,14.0,0.7,Jan 29
33,Thailand,1524,+136,9.0,+2,229.0,1286,11.0,22.0,0.1,Jan 12
34,Saudi Arabia,1453,+154,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
35,Indonesia,1414,+129,122.0,+8,75.0,1217,,5.0,0.4,Mar 01
36,Finland,1352,+112,13.0,+2,10.0,1329,49.0,244.0,2.0,Jan 28
37,South Africa,1280,,2.0,,31.0,1247,7.0,22.0,0.03,Mar 04
38,Greece,1212,+56,43.0,+4,52.0,1117,66.0,116.0,4.0,Feb 25
39,Iceland,1086,+66,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
40,India,1071,+47,29.0,+2,100.0,942,,0.8,0.02,Jan 29
41,Mexico,993,+145,20.0,+4,35.0,938,1.0,8.0,0.2,Feb 27
42,Panama,989,,24.0,,4.0,961,36.0,229.0,6.0,Mar 09
43,Dominican Republic,901,+42,42.0,+3,4.0,855,,83.0,4.0,Feb 29
44,Singapore,879,+35,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
45,Peru,852,,18.0,,16.0,818,40.0,26.0,0.5,Mar 05
46,Argentina,820,,22.0,+2,228.0,570,,18.0,0.5,Mar 02
47,Croatia,790,+77,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
48,Serbia,785,+44,16.0,+3,42.0,727,62.0,90.0,2.0,Mar 05
49,Slovenia,756,+26,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
50,Estonia,715,+36,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
51,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
52,Colombia,702,,10.0,,10.0,682,29.0,14.0,0.2,Mar 05
53,Hong Kong,642,,4.0,,118.0,520,5.0,86.0,0.5,Jan 22
54,Qatar,634,,1.0,,48.0,585,6.0,220.0,0.3,Feb 28
55,UAE,611,+41,5.0,+2,61.0,545,2.0,62.0,0.5,Jan 28
56,Egypt,609,,40.0,,132.0,437,,6.0,0.4,Feb 13
57,New Zealand,589,+75,1.0,,63.0,525,2.0,122.0,0.2,Feb 27
58,Iraq,547,,42.0,,143.0,362,,14.0,1.0,Feb 21
59,Morocco,516,+37,29.0,+3,14.0,473,1.0,14.0,0.8,Mar 01
60,Bahrain,515,+16,4.0,,279.0,232,2.0,303.0,2.0,Feb 23
61,Algeria,511,,31.0,,31.0,449,,12.0,0.7,Feb 24
62,Lithuania,484,+24,7.0,,1.0,476,5.0,178.0,3.0,Feb 27
63,Armenia,482,+58,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
64,Ukraine,480,+5,11.0,+1,6.0,463,,11.0,0.3,Mar 02
65,Hungary,447,+39,15.0,+2,34.0,398,6.0,46.0,2.0,Mar 03
66,Lebanon,446,+8,11.0,+1,35.0,400,3.0,65.0,2.0,Feb 20
67,Latvia,376,+29,,,1.0,375,3.0,199.0,,Mar 01
68,Bulgaria,359,+13,8.0,,17.0,334,13.0,52.0,1.0,Mar 06
69,Bosnia and Herzegovina,354,+31,8.0,+2,17.0,329,1.0,108.0,2.0,Mar 04
70,Slovakia,336,+22,,,7.0,329,1.0,62.0,,Mar 05
71,Andorra,334,,6.0,,6.0,322,10.0,4323.0,78.0,Mar 01
72,Costa Rica,314,,2.0,,3.0,309,6.0,62.0,0.4,Mar 04
73,Tunisia,312,,8.0,,2.0,302,10.0,26.0,0.7,Mar 01
74,Taiwan,306,+8,5.0,+2,39.0,262,,13.0,0.2,Jan 20
75,Uruguay,304,,1.0,,,303,9.0,88.0,0.3,Mar 12
76,Kazakhstan,302,+18,1.0,,21.0,280,,16.0,0.05,Mar 12
77,North Macedonia,285,+26,7.0,+1,12.0,266,1.0,137.0,3.0,Feb 25
78,Azerbaijan,273,+64,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
79,Kuwait,266,+11,,,72.0,194,13.0,62.0,,Feb 23
80,Moldova,263,,2.0,,13.0,248,44.0,65.0,0.5,Mar 06
81,Jordan,259,,4.0,+1,18.0,237,3.0,25.0,0.4,Mar 01
82,San Marino,230,+6,25.0,+3,13.0,192,16.0,6778.0,737.0,Feb 26
83,Cyprus,230,+16,7.0,+1,15.0,208,3.0,190.0,6.0,Mar 08
84,Albania,223,+11,11.0,+1,44.0,168,7.0,77.0,4.0,Mar 07
85,Burkina Faso,222,,12.0,,23.0,187,,11.0,0.6,Mar 08
86,Vietnam,203,+9,,,55.0,148,3.0,2.0,,Jan 22
87,Réunion,183,,,,1.0,182,,204.0,,Mar 10
88,Oman,179,+12,,,29.0,150,3.0,35.0,,Feb 23
89,Faeroe Islands,168,+9,,,70.0,98,1.0,3438.0,,Mar 03
90,Ivory Coast,165,,1.0,,4.0,160,,6.0,0.04,Mar 10
91,Senegal,162,+20,,,27.0,135,,10.0,,Mar 01
92,Malta,156,+5,,,2.0,154,4.0,353.0,,Mar 06
93,Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
94,Belarus,152,+58,,,32.0,120,2.0,16.0,,Feb 27
95,Uzbekistan,149,+5,2.0,,7.0,140,8.0,4.0,0.06,Mar 14
96,Afghanistan,145,+25,4.0,,2.0,139,,4.0,0.1,Feb 23
97,Channel Islands,141,+33,2.0,,,139,,811.0,12.0,Mar 08
98,Cameroon,139,,6.0,,5.0,128,,5.0,0.2,Mar 05
99,Cuba,139,,3.0,,4.0,132,2.0,12.0,0.3,Mar 10
100,Honduras,139,+29,3.0,,3.0,133,4.0,14.0,0.3,Mar 10
101,Venezuela,129,+10,3.0,,39.0,87,6.0,5.0,0.1,Mar 12
102,Mauritius,128,+21,3.0,,,125,1.0,101.0,2.0,Mar 17
103,Brunei,127,+1,1.0,,38.0,88,3.0,290.0,2.0,Mar 08
104,Sri Lanka,122,+5,2.0,+1,15.0,105,5.0,6.0,0.09,Jan 26
105,Palestine,115,+6,1.0,,18.0,96,,23.0,0.2,Mar 04
106,Nigeria,111,,1.0,,3.0,107,,0.5,0.0,Feb 27
107,Cambodia,107,+4,,,21.0,86,1.0,6.0,,Jan 26
108,Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
109,Georgia,100,+9,,,18.0,82,6.0,25.0,,Feb 25
110,Bolivia,97,+16,4.0,+3,,93,3.0,8.0,0.3,Mar 09
111,Kyrgyzstan,94,+10,,,,94,,14.0,,Mar 17
112,Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
113,Montenegro,91,+6,1.0,,,90,1.0,145.0,2.0,Mar 16
114,Trinidad and Tobago,82,+4,3.0,,1.0,78,,59.0,2.0,Mar 11
115,Mayotte,82,+19,,,10.0,72,3.0,301.0,,Mar 13
116,DRC,81,,8.0,,2.0,71,,0.9,0.09,Mar 09
117,Rwanda,70,,,,,70,,5.0,,Mar 13
118,Gibraltar,65,,,,14.0,51,,1929.0,,Mar 02
119,Paraguay,64,+5,3.0,,1.0,60,3.0,9.0,0.4,Mar 06
120,Liechtenstein,62,+6,,,,62,,1626.0,,Mar 02
121,Kenya,50,+8,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
122,Aruba,50,,,,1.0,49,,468.0,,Mar 12
123,Bangladesh,49,+1,5.0,,19.0,25,1.0,0.3,0.03,Mar 07
124,Isle of Man,49,+7,,,,49,,576.0,,Mar 18
125,Monaco,46,,1.0,,1.0,44,,1172.0,25.0,Feb 27
126,French Guiana,43,,,,6.0,37,,144.0,,Mar 06
127,Madagascar,39,,,,,39,,1.0,,Mar 19
128,Macao,38,+1,,,10.0,28,,59.0,,Jan 21
129,Guatemala,36,+2,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
130,Jamaica,36,+4,1.0,,2.0,33,,12.0,0.3,Mar 09
131,French Polynesia,35,+5,,,,35,2.0,125.0,,Mar 10
132,Zambia,35,+6,,,,35,,2.0,,Mar 17
133,Barbados,33,,,,,33,,115.0,,Mar 16
134,Uganda,33,,,,,33,,0.7,,Mar 20
135,Togo,30,+5,1.0,,1.0,28,,4.0,0.1,Mar 05
136,El Salvador,30,+6,,,,30,5.0,5.0,,Mar 18
137,Mali,25,+7,2.0,+1,,23,,1.0,0.1,Mar 24
138,Ethiopia,23,+2,,,4.0,19,1.0,0.2,,Mar 12
139,Niger,22,+4,3.0,+2,,19,,0.9,0.1,Mar 18
140,Bermuda,22,,,,2.0,20,,353.0,,Mar 17
141,Congo,19,,,,,19,,3.0,,Mar 14
142,Tanzania,19,+5,,,1.0,18,,0.3,,Mar 15
143,Djibouti,18,,,,,18,,18.0,,Mar 17
144,Maldives,17,,,,13.0,4,,31.0,,Mar 06
145,Guinea,16,,,,,16,,1.0,,Mar 12
146,Saint Martin,15,+4,1.0,+1,2.0,12,,388.0,26.0,Feb 29
147,Haiti,15,,,,1.0,14,,1.0,,Mar 19
148,New Caledonia,15,,,,,15,,53.0,,Mar 17
149,Bahamas,14,,,,1.0,13,,36.0,,Mar 14
150,Myanmar,14,+4,,,,14,,0.3,,Mar 22
151,Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
152,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
153,Eritrea,12,,,,,12,,3.0,,Mar 20
154,Mongolia,12,,,,2.0,10,,4.0,,Mar 09
155,Curaçao,11,+3,1.0,,2.0,8,,67.0,6.0,Mar 12
156,Dominica,11,,,,,11,,153.0,,Mar 21
157,Namibia,11,,,,2.0,9,,4.0,,Mar 13
158,Greenland,10,,,,2.0,8,,176.0,,Mar 15
159,Syria,9,,1.0,,,8,,0.5,0.06,Mar 21
160,Grenada,9,,,,,9,,80.0,,Mar 21
161,Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
162,Eswatini,9,,,,,9,,8.0,,Mar 13
163,Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
164,Guinea-Bissau,8,+6,,,,8,,4.0,,Mar 24
165,Laos,8,,,,,8,,1.0,,Mar 23
166,Libya,8,,,,,8,,1.0,,Mar 23
167,Mozambique,8,,,,,8,,0.3,,Mar 21
168,Seychelles,8,,,,,8,,81.0,,Mar 13
169,Suriname,8,,,,,8,,14.0,,Mar 12
170,Angola,7,,2.0,,,5,,0.2,0.06,Mar 19
171,Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
172,Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19
173,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
174,Saint Kitts and Nevis,7,+5,,,,7,,132.0,,Mar 24
175,Sudan,6,,2.0,+1,,4,,0.1,0.05,Mar 12
176,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
177,Benin,6,,,,,6,,0.5,,Mar 15
178,Vatican City,6,,,,,6,,7491.0,,Mar 05
179,Sint Maarten,6,,,,,6,,140.0,,Mar 17
180,Nepal,5,,,,1.0,4,,0.2,,Jan 23
181,Chad,5,+2,,,,5,,0.3,,Mar 18
182,Fiji,5,,,,,5,,6.0,,Mar 18
183,Mauritania,5,,,,2.0,3,,1.0,,Mar 12
184,Montserrat,5,,,,,5,,1002.0,,Mar 17
185,St. Barth,5,,,,,5,,506.0,,Feb 29
186,Turks and Caicos,5,+1,,,,5,,129.0,,Mar 22
187,Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
188,Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
189,Bhutan,4,,,,,4,,5.0,,Mar 05
190,CAR,3,,,,,3,,0.6,,Mar 14
191,Liberia,3,,,,,3,,0.6,,Mar 15
192,Somalia,3,,,,,3,,0.2,,Mar 15
193,MS Zaandam,2,,,,,2,,,,Mar 26
194,Anguilla,2,,,,,2,,133.0,,Mar 25
195,Belize,2,,,,,2,,5.0,,Mar 22
