,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,145531,"+2,040",2616.0,+33,4574.0,138341,2972.0,440.0,8.0,Jan 20
1,Italy,101739,"+4,050",11591.0,+812,14620.0,75528,3981.0,1683.0,192.0,Jan 29
2,Spain,85195,"+5,085",7340.0,+537,16780.0,61075,5231.0,1822.0,157.0,Jan 30
3,Germany,63929,"+1,494",560.0,+19,9211.0,54158,1979.0,763.0,7.0,Jan 26
4,Iran,41495,"+3,186",2757.0,+117,13911.0,24827,3511.0,494.0,33.0,Feb 18
5,France,40174,,2606.0,,7202.0,30366,4632.0,615.0,40.0,Jan 23
6,UK,22141,"+2,619",1408.0,+180,135.0,20598,163.0,326.0,21.0,Jan 30
7,Switzerland,15760,+931,348.0,+48,1823.0,13589,301.0,1821.0,40.0,Feb 24
8,Belgium,11899,"+1,063",513.0,+82,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,11750,+884,864.0,+93,250.0,10636,1053.0,686.0,50.0,Feb 26
10,Turkey,10827,"+1,610",168.0,+37,105.0,10554,568.0,128.0,2.0,Mar 09
11,S. Korea,9661,+78,158.0,+6,5228.0,4275,59.0,188.0,3.0,Jan 19
12,Austria,9520,+732,108.0,+22,636.0,8776,193.0,1057.0,12.0,Feb 24
13,Canada,6671,+351,67.0,+2,1014.0,5590,120.0,177.0,2.0,Jan 24
14,Portugal,6408,+446,140.0,+21,43.0,6225,164.0,628.0,14.0,Mar 01
15,Norway,4445,+161,32.0,+6,12.0,4401,97.0,820.0,6.0,Feb 25
16,Brazil,4371,+115,141.0,+5,120.0,4110,296.0,21.0,0.7,Feb 24
17,Israel,4347,+100,16.0,+1,134.0,4197,80.0,502.0,2.0,Feb 20
18,Australia,4245,+82,18.0,+1,244.0,3983,28.0,166.0,0.7,Jan 24
19,Sweden,4028,+328,146.0,+36,16.0,3866,306.0,399.0,14.0,Jan 30
20,Czechia,2896,+79,17.0,+1,11.0,2868,52.0,270.0,2.0,Feb 29
21,Malaysia,2626,+156,37.0,+2,479.0,2110,94.0,81.0,1.0,Jan 24
22,Ireland,2615,,46.0,,5.0,2564,59.0,530.0,9.0,Feb 28
23,Denmark,2577,+182,77.0,+5,1.0,2499,137.0,445.0,13.0,Feb 26
24,Chile,2449,+310,8.0,+1,156.0,2285,14.0,128.0,0.4,Mar 02
25,Luxembourg,1988,+38,22.0,+1,40.0,1926,25.0,3176.0,35.0,Feb 28
26,Poland,1984,+122,26.0,+4,7.0,1951,3.0,52.0,0.7,Mar 03
27,Romania,1952,+137,47.0,+4,209.0,1696,33.0,101.0,2.0,Feb 25
28,Ecuador,1924,,58.0,,3.0,1863,58.0,109.0,3.0,Feb 28
29,Japan,1866,,54.0,,424.0,1388,56.0,15.0,0.4,Jan 14
30,Russia,1836,+302,9.0,+1,66.0,1761,8.0,13.0,0.06,Jan 30
31,Pakistan,1690,+93,21.0,+7,29.0,1640,11.0,8.0,0.1,Feb 25
32,Philippines,1546,+128,78.0,+7,42.0,1426,1.0,14.0,0.7,Jan 29
33,Thailand,1524,+136,9.0,+2,229.0,1286,11.0,22.0,0.1,Jan 12
34,Saudi Arabia,1453,+154,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
35,Indonesia,1414,+129,122.0,+8,75.0,1217,,5.0,0.4,Mar 01
36,Finland,1352,+112,13.0,+2,10.0,1329,49.0,244.0,2.0,Jan 28
37,South Africa,1280,,2.0,,31.0,1247,7.0,22.0,0.03,Mar 04
38,Greece,1212,+56,43.0,+4,52.0,1117,72.0,116.0,4.0,Feb 25
39,Iceland,1086,+66,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
40,India,1071,+47,29.0,+2,100.0,942,,0.8,0.02,Jan 29
41,Mexico,993,+145,20.0,+4,35.0,938,1.0,8.0,0.2,Feb 27
42,Panama,989,,24.0,,4.0,961,36.0,229.0,6.0,Mar 09
43,Dominican Republic,901,+42,42.0,+3,4.0,855,,83.0,4.0,Feb 29
44,Singapore,879,+35,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
45,Peru,852,,18.0,,16.0,818,40.0,26.0,0.5,Mar 05
46,Argentina,820,,22.0,+2,228.0,570,,18.0,0.5,Mar 02
47,Croatia,790,+77,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
48,Serbia,785,+44,16.0,+3,42.0,727,62.0,90.0,2.0,Mar 05
49,Slovenia,756,+26,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
50,Estonia,715,+36,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
51,Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
52,Colombia,702,,10.0,,10.0,682,29.0,14.0,0.2,Mar 05
53,Qatar,693,+59,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
54,Hong Kong,642,,4.0,,118.0,520,5.0,86.0,0.5,Jan 22
55,UAE,611,+41,5.0,+2,61.0,545,2.0,62.0,0.5,Jan 28
56,Egypt,609,,40.0,,132.0,437,,6.0,0.4,Feb 13
57,New Zealand,589,+75,1.0,,63.0,525,2.0,122.0,0.2,Feb 27
58,Algeria,584,+73,35.0,+4,37.0,512,,13.0,0.8,Feb 24
59,Iraq,547,,42.0,,143.0,362,,14.0,1.0,Feb 21
60,Morocco,516,+37,29.0,+3,14.0,473,1.0,14.0,0.8,Mar 01
61,Bahrain,515,+16,4.0,,279.0,232,2.0,303.0,2.0,Feb 23
62,Lithuania,484,+24,7.0,,1.0,476,5.0,178.0,3.0,Feb 27
63,Armenia,482,+58,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
64,Ukraine,480,+5,11.0,+1,6.0,463,,11.0,0.3,Mar 02
65,Hungary,447,+39,15.0,+2,34.0,398,6.0,46.0,2.0,Mar 03
66,Lebanon,446,+8,11.0,+1,35.0,400,3.0,65.0,2.0,Feb 20
67,Latvia,376,+29,,,1.0,375,3.0,199.0,,Mar 01
68,Bulgaria,359,+13,8.0,,17.0,334,13.0,52.0,1.0,Mar 06
69,Bosnia and Herzegovina,358,+35,9.0,+3,17.0,332,1.0,109.0,3.0,Mar 04
70,Slovakia,336,+22,,,7.0,329,1.0,62.0,,Mar 05
71,Andorra,334,,6.0,,6.0,322,10.0,4323.0,78.0,Mar 01
72,Costa Rica,314,,2.0,,3.0,309,6.0,62.0,0.4,Mar 04
73,Tunisia,312,,8.0,,2.0,302,10.0,26.0,0.7,Mar 01
74,Uruguay,310,+6,1.0,,,309,9.0,89.0,0.3,Mar 12
75,Taiwan,306,+8,5.0,+2,39.0,262,,13.0,0.2,Jan 20
76,Kazakhstan,302,+18,1.0,,21.0,280,,16.0,0.05,Mar 12
