,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
0,USA,142793,+333,2490.0,+6,4562.0,135741,2970.0,431.0,8.0,Jan 20
1,Italy,97689,,10779.0,,13030.0,73880,3906.0,1616.0,178.0,Jan 29
2,Spain,85195,"+5,085",7340.0,+537,16780.0,61075,5231.0,1822.0,157.0,Jan 30
3,Germany,63929,"+1,494",560.0,+19,9211.0,54158,1979.0,763.0,7.0,Jan 26
4,Iran,41495,"+3,186",2757.0,+117,13911.0,24827,3511.0,494.0,33.0,Feb 18
5,France,40174,,2606.0,,7202.0,30366,4632.0,615.0,40.0,Jan 23
6,UK,19522,,1228.0,,135.0,18159,163.0,288.0,18.0,Jan 30
7,Switzerland,15526,+697,333.0,+33,1823.0,13370,301.0,1794.0,38.0,Feb 24
8,Belgium,11899,"+1,063",513.0,+82,1527.0,9859,927.0,1027.0,44.0,Feb 03
9,Netherlands,11750,+884,864.0,+93,250.0,10636,1053.0,686.0,50.0,Feb 26
10,S. Korea,9661,+78,158.0,+6,5228.0,4275,59.0,188.0,3.0,Jan 19
11,Austria,9377,+589,108.0,+22,636.0,8633,193.0,1041.0,12.0,Feb 24
12,Turkey,9217,,131.0,,105.0,8981,568.0,109.0,2.0,Mar 09
13,Portugal,6408,+446,140.0,+21,43.0,6225,164.0,628.0,14.0,Mar 01
14,Canada,6320,,65.0,,573.0,5682,120.0,167.0,2.0,Jan 24
15,Norway,4393,+109,31.0,+5,12.0,4350,97.0,810.0,6.0,Feb 25
16,Israel,4347,+100,16.0,+1,134.0,4197,80.0,502.0,2.0,Feb 20
17,Brazil,4330,+74,140.0,+4,120.0,4070,296.0,20.0,0.7,Feb 24
18,Australia,4245,+82,18.0,+1,244.0,3983,28.0,166.0,0.7,Jan 24
19,Sweden,4028,+328,146.0,+36,16.0,3866,306.0,399.0,14.0,Jan 30
20,Czechia,2878,+61,17.0,+1,11.0,2850,52.0,269.0,2.0,Feb 29
21,Malaysia,2626,+156,37.0,+2,479.0,2110,94.0,81.0,1.0,Jan 24
22,Ireland,2615,,46.0,,5.0,2564,59.0,530.0,9.0,Feb 28
23,Denmark,2555,+160,77.0,+5,1.0,2477,113.0,441.0,13.0,Feb 26
24,Chile,2449,+310,8.0,+1,156.0,2285,14.0,128.0,0.4,Mar 02
25,Luxembourg,1988,+38,22.0,+1,40.0,1926,25.0,3176.0,35.0,Feb 28
26,Poland,1984,+122,26.0,+4,7.0,1951,3.0,52.0,0.7,Mar 03
