,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
0,,World,4677128,"+55,714",310421.0,"+2,267",1785341.0,2581366.0,44869.0,600.0,39.8,,,
1,1.0,USA,1493442,"+9,157",88930.0,+423,329724.0,1074788.0,16060.0,4515.0,269.0,11187300.0,33823.0,330758784.0
2,2.0,Spain,276505,"+2,138",27563.0,+104,192253.0,56689.0,1208.0,5914.0,590.0,3037840.0,64977.0,46752556.0
3,3.0,Russia,272043,"+9,200",2537.0,+119,63166.0,206340.0,2300.0,1864.0,17.0,6656340.0,45614.0,145926781.0
4,4.0,UK,240161,"+3,450",34466.0,+468,,,1559.0,3540.0,508.0,2489563.0,36697.0,67841324.0
5,5.0,Italy,224760,+875,31763.0,+153,122810.0,70187.0,775.0,3717.0,525.0,2944859.0,48697.0,60472650.0
6,6.0,Brazil,222877,"+4,654",15046.0,+229,84970.0,122861.0,8318.0,1049.0,71.0,735224.0,3462.0,212368566.0
7,7.0,France,179506,,27529.0,,60448.0,91529.0,2203.0,2751.0,422.0,1384633.0,21219.0,65255646.0
8,8.0,Germany,175813,+114,8001.0,,152600.0,15212.0,1294.0,2099.0,96.0,3147771.0,37585.0,83750665.0
9,9.0,Turkey,146457,,4055.0,,106133.0,36269.0,944.0,1739.0,48.0,1547389.0,18373.0,84222640.0
10,10.0,Iran,118392,"+1,757",6937.0,+35,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,83853830.0
11,11.0,India,88506,"+2,722",2760.0,+7,30786.0,54960.0,,64.0,2.0,2134277.0,1549.0,1378270651.0
12,12.0,Peru,84495,,2392.0,,27147.0,54956.0,851.0,2567.0,73.0,605383.0,18394.0,32912133.0
13,13.0,Canada,75004,+391,5595.0,+33,36895.0,32514.0,502.0,1989.0,148.0,1225049.0,32495.0,37700059.0
14,14.0,Belgium,54989,+345,9005.0,+46,14460.0,31524.0,364.0,4747.0,777.0,663755.0,57303.0,11583327.0
15,15.0,Saudi Arabia,52016,"+2,840",302.0,+10,23666.0,28048.0,166.0,1497.0,9.0,548023.0,15774.0,34742883.0
16,16.0,Mexico,45032,"+2,437",4767.0,+290,30451.0,9814.0,378.0,350.0,37.0,163691.0,1271.0,128759156.0
17,17.0,Netherlands,43870,+189,5670.0,+27,,,346.0,2561.0,331.0,287943.0,16809.0,17130183.0
18,18.0,Chile,41428,"+1,886",421.0,+27,18014.0,22993.0,751.0,2170.0,22.0,350325.0,18346.0,19095344.0
19,19.0,Pakistan,38799,"+1,581",834.0,+31,10880.0,27085.0,111.0,176.0,4.0,359264.0,1631.0,220321573.0
20,20.0,Ecuador,31467,,2594.0,,3433.0,25440.0,197.0,1787.0,147.0,89817.0,5101.0,17608034.0
21,21.0,Qatar,30972,"+1,547",15.0,+1,3788.0,27169.0,158.0,10774.0,5.0,152704.0,53121.0,2874647.0
22,22.0,Switzerland,30572,+58,1878.0,,27100.0,1594.0,69.0,3536.0,217.0,339364.0,39248.0,8646621.0
23,23.0,Sweden,29677,+470,3674.0,+28,4971.0,21032.0,278.0,2941.0,364.0,177500.0,17589.0,10091340.0
24,24.0,Portugal,28810,+227,1203.0,+13,3822.0,23785.0,115.0,2824.0,118.0,600061.0,58828.0,10200306.0
25,25.0,Belarus,28681,+951,160.0,+4,9498.0,19023.0,92.0,3035.0,17.0,335057.0,35457.0,9449703.0
26,26.0,Singapore,27356,+465,22.0,+1,8342.0,18992.0,16.0,4681.0,4.0,224262.0,38371.0,5844512.0
27,27.0,Ireland,23956,,1518.0,,19470.0,2968.0,69.0,4859.0,308.0,258808.0,52489.0,4930698.0
28,28.0,UAE,21831,,210.0,,7328.0,14293.0,1.0,2211.0,21.0,1560923.0,158068.0,9874985.0
29,29.0,Bangladesh,20995,+930,314.0,+16,4117.0,16564.0,1.0,128.0,2.0,167114.0,1016.0,164479603.0
