,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81394,54.0,3295.0,3.0,74971.0,3128,886.0,57.0,2.0
1,USA,104205,79.0,1701.0,5.0,2525.0,99979,2494.0,315.0,5.0
2,Italy,86498,,9134.0,,10950.0,66414,3732.0,1431.0,151.0
3,Spain,65719,,5138.0,,9357.0,51224,4165.0,1406.0,110.0
4,Germany,50871,,351.0,,6658.0,43862,1581.0,607.0,4.0
5,France,32964,,1995.0,,5700.0,25269,3787.0,505.0,31.0
6,Iran,32332,,2378.0,,11133.0,18821,2893.0,385.0,28.0
7,UK,14543,,759.0,,135.0,13649,163.0,214.0,11.0
8,Switzerland,12928,,231.0,,1530.0,11167,203.0,1494.0,27.0
9,S. Korea,9478,146.0,144.0,5.0,4811.0,4523,59.0,185.0,3.0
10,Netherlands,8603,,546.0,,3.0,8054,761.0,502.0,32.0
11,Austria,7697,,58.0,,225.0,7414,128.0,855.0,6.0
12,Belgium,7284,,289.0,,858.0,6137,690.0,628.0,25.0
13,Turkey,5698,,92.0,,42.0,5564,241.0,68.0,1.0
14,Canada,4757,,55.0,,354.0,4348,120.0,126.0,1.0
15,Portugal,4268,,76.0,,43.0,4149,71.0,419.0,7.0
16,Norway,3771,,19.0,,7.0,3745,70.0,696.0,4.0
17,Australia,3573,195.0,14.0,1.0,170.0,3389,23.0,140.0,0.5
18,Brazil,3477,60.0,93.0,1.0,6.0,3378,296.0,16.0,0.4
19,Sweden,3069,,105.0,,16.0,2948,214.0,304.0,10.0
20,Israel,3035,,12.0,,79.0,2944,49.0,351.0,1.0
21,Czechia,2279,,9.0,,11.0,2259,34.0,213.0,0.8
22,Malaysia,2161,,26.0,,259.0,1876,54.0,67.0,0.8
23,Ireland,2121,,22.0,,5.0,2094,59.0,430.0,4.0
24,Denmark,2046,,52.0,,1.0,1993,109.0,353.0,9.0
25,Ecuador,1627,,41.0,,3.0,1583,58.0,92.0,2.0
26,Chile,1610,,5.0,,43.0,1562,7.0,84.0,0.3
27,Luxembourg,1605,,15.0,,40.0,1550,25.0,2564.0,24.0
28,Japan,1499,,49.0,,372.0,1078,56.0,12.0,0.4
29,Poland,1389,,16.0,,7.0,1366,3.0,37.0,0.4
30,Pakistan,1373,,11.0,,23.0,1339,7.0,6.0,0.05
31,Romania,1292,,26.0,,115.0,1151,32.0,67.0,1.0
32,South Africa,1170,,1.0,,31.0,1138,7.0,20.0,0.02
33,Thailand,1136,,5.0,,97.0,1034,11.0,16.0,0.07
34,Saudi Arabia,1104,,3.0,,35.0,1066,6.0,32.0,0.09
35,Indonesia,1046,,87.0,,46.0,913,,4.0,0.3
36,Finland,1041,,7.0,,10.0,1024,32.0,188.0,1.0
37,Russia,1036,,4.0,,45.0,987,8.0,7.0,0.03
38,Greece,966,,28.0,,52.0,886,66.0,93.0,3.0
39,Iceland,890,,2.0,,97.0,791,18.0,2608.0,6.0
40,India,887,,20.0,,73.0,794,,0.6,0.01
