,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
0,USA,104256,+130,1704.0,8.0,2525.0,100027,2494.0,315.0,5.0,Jan 20
1,Italy,86498,,9134.0,,10950.0,66414,3732.0,1431.0,151.0,Jan 29
2,Spain,72248,"+6,529",5690.0,552.0,12285.0,54273,4165.0,1545.0,122.0,Jan 30
3,Germany,53340,"+2,469",395.0,44.0,6658.0,46287,1581.0,637.0,5.0,Jan 26
4,Iran,35408,"+3,076",2517.0,139.0,11679.0,21212,3206.0,422.0,30.0,Feb 18
5,France,32964,,1995.0,,5700.0,25269,3787.0,505.0,31.0,Jan 23
6,UK,14543,,759.0,,135.0,13649,163.0,214.0,11.0,Jan 30
7,Switzerland,13226,+298,240.0,9.0,1530.0,11456,203.0,1528.0,28.0,Feb 24
8,S. Korea,9478,+146,144.0,5.0,4811.0,4523,59.0,185.0,3.0,Jan 19
9,Belgium,9134,"+1,850",353.0,64.0,1063.0,7718,789.0,788.0,30.0,Feb 03
10,Netherlands,8603,,546.0,,3.0,8054,761.0,502.0,32.0,Feb 26
11,Austria,7712,+15,68.0,10.0,225.0,7419,128.0,856.0,8.0,Feb 24
12,Turkey,5698,,92.0,,42.0,5564,241.0,68.0,1.0,Mar 09
13,Canada,4757,,55.0,,354.0,4348,120.0,126.0,1.0,Jan 24
14,Portugal,4268,,76.0,,43.0,4149,71.0,419.0,7.0,Mar 01
15,Norway,3796,+25,20.0,1.0,7.0,3769,76.0,700.0,4.0,Feb 25
16,Australia,3635,+257,14.0,1.0,170.0,3451,23.0,143.0,0.5,Jan 24
17,Brazil,3477,+60,93.0,1.0,6.0,3378,296.0,16.0,0.4,Feb 24
18,Israel,3460,+425,12.0,,89.0,3359,50.0,400.0,1.0,Feb 20
19,Sweden,3069,,105.0,,16.0,2948,214.0,304.0,10.0,Jan 30
20,Czechia,2422,+143,9.0,,11.0,2402,34.0,226.0,0.8,Feb 29
21,Malaysia,2320,+159,27.0,1.0,320.0,1973,54.0,72.0,0.8,Jan 24
22,Ireland,2121,,22.0,,5.0,2094,59.0,430.0,4.0,Feb 28
23,Denmark,2046,,52.0,,1.0,1993,109.0,353.0,9.0,Feb 26
24,Ecuador,1627,,41.0,,3.0,1583,58.0,92.0,2.0,Feb 28
25,Chile,1610,,5.0,,43.0,1562,7.0,84.0,0.3,Mar 02
26,Luxembourg,1605,,15.0,,40.0,1550,25.0,2564.0,24.0,Feb 28
27,Japan,1499,,49.0,,372.0,1078,56.0,12.0,0.4,Jan 14
28,Romania,1452,+160,29.0,3.0,139.0,1284,34.0,75.0,2.0,Feb 25
29,Poland,1436,+47,16.0,,7.0,1413,3.0,38.0,0.4,Mar 03
30,Pakistan,1408,+35,11.0,,25.0,1372,7.0,6.0,0.05,Feb 25
31,Russia,1264,+228,4.0,,49.0,1211,8.0,9.0,0.03,Jan 30
32,Thailand,1245,+109,6.0,1.0,97.0,1142,11.0,18.0,0.09,Jan 12
33,South Africa,1170,,1.0,,31.0,1138,7.0,20.0,0.02,Mar 04
34,Finland,1165,+124,7.0,,10.0,1148,32.0,210.0,1.0,Jan 28
35,Indonesia,1155,+109,102.0,15.0,59.0,994,,4.0,0.4,Mar 01
36,Saudi Arabia,1104,,3.0,,35.0,1066,6.0,32.0,0.09,Mar 01
37,Philippines,1075,+272,68.0,14.0,35.0,972,1.0,10.0,0.6,Jan 29
38,Greece,966,,28.0,,52.0,886,66.0,93.0,3.0,Feb 25
39,India,933,+46,20.0,,84.0,829,,0.7,0.01,Jan 29
40,Iceland,890,,2.0,,97.0,791,18.0,2608.0,6.0,Feb 27
41,Panama,786,,14.0,,2.0,770,20.0,182.0,3.0,Mar 09
42,Singapore,732,,2.0,,183.0,547,17.0,125.0,0.3,Jan 22
43,Mexico,717,+132,12.0,4.0,4.0,701,1.0,6.0,0.09,Feb 27
44,Diamond Princess,712,,10.0,,597.0,105,15.0,,,Feb 04
45,Argentina,690,+101,17.0,4.0,72.0,601,,15.0,0.4,Mar 02
46,Estonia,645,+70,1.0,,20.0,624,10.0,486.0,0.8,Feb 26
47,Peru,635,,11.0,,16.0,608,21.0,19.0,0.3,Mar 05
48,Croatia,635,+49,4.0,1.0,45.0,586,14.0,155.0,1.0,Feb 24
49,Slovenia,632,,9.0,,10.0,613,25.0,304.0,4.0,Mar 03
50,Dominican Republic,581,,20.0,,3.0,558,,54.0,2.0,Feb 29
51,Qatar,562,,,,43.0,519,6.0,195.0,,Feb 28
52,Colombia,539,,6.0,,10.0,523,,11.0,0.1,Mar 05
53,Egypt,536,,30.0,,116.0,390,,5.0,0.3,Feb 13
54,Serbia,528,,8.0,,42.0,478,25.0,60.0,0.9,Mar 05
55,Hong Kong,519,,4.0,,111.0,404,5.0,69.0,0.5,Jan 22
56,Iraq,506,+48,42.0,2.0,131.0,333,,13.0,1.0,Feb 21
57,Bahrain,473,+7,4.0,,254.0,215,1.0,278.0,2.0,Feb 23
58,New Zealand,451,+83,,,50.0,401,2.0,94.0,,Feb 27
59,Lebanon,412,+21,8.0,,27.0,377,3.0,60.0,1.0,Feb 20
60,Algeria,409,,26.0,,29.0,354,,9.0,0.6,Feb 24
61,UAE,405,,2.0,,52.0,351,2.0,41.0,0.2,Jan 28
62,Lithuania,382,+24,5.0,,1.0,376,2.0,140.0,2.0,Feb 27
63,Armenia,372,+43,1.0,,28.0,343,6.0,126.0,0.3,Feb 29
64,Morocco,358,+13,23.0,,11.0,324,1.0,10.0,0.6,Mar 01
65,Hungary,343,+43,11.0,1.0,34.0,298,6.0,36.0,1.0,Mar 03
66,Bulgaria,313,+20,5.0,2.0,9.0,299,8.0,45.0,0.7,Mar 06
67,Ukraine,311,+1,8.0,3.0,5.0,298,,7.0,0.2,Mar 02
68,Latvia,305,+25,,,1.0,304,3.0,162.0,,Mar 01
69,Taiwan,283,+16,2.0,,30.0,251,,12.0,0.08,Jan 20
70,Uruguay,274,+36,,,,274,8.0,79.0,,Mar 12
71,Slovakia,269,,,,2.0,267,1.0,49.0,,Mar 05
72,Andorra,267,,3.0,,1.0,263,11.0,3456.0,39.0,Mar 01
73,Costa Rica,263,,2.0,,3.0,258,5.0,52.0,0.4,Mar 04
74,Bosnia and Herzegovina,257,+20,4.0,,5.0,248,1.0,78.0,1.0,Mar 04
75,Jordan,235,,1.0,,18.0,216,,23.0,0.1,Mar 01
76,Kuwait,235,+10,,,64.0,171,11.0,55.0,,Feb 23
77,Tunisia,227,,7.0,,2.0,218,10.0,19.0,0.6,Mar 01
78,San Marino,223,,21.0,,6.0,196,15.0,6572.0,619.0,Feb 26
79,North Macedonia,219,,3.0,,3.0,213,1.0,105.0,1.0,Feb 25
80,Kazakhstan,204,+54,1.0,,14.0,189,,11.0,0.05,Mar 12
81,Moldova,199,,2.0,,2.0,195,33.0,49.0,0.5,Mar 06
82,Albania,186,,8.0,,31.0,147,3.0,65.0,3.0,Mar 07
83,Burkina Faso,180,,9.0,,12.0,159,,9.0,0.4,Mar 08
84,Vietnam,169,+6,,,21.0,148,3.0,2.0,,Jan 22
85,Azerbaijan,165,,3.0,,15.0,147,6.0,16.0,0.3,Feb 27
86,Cyprus,162,,5.0,,15.0,142,3.0,134.0,4.0,Mar 08
87,Oman,152,+21,,,23.0,129,,30.0,,Feb 23
88,Réunion,145,,,,1.0,144,,162.0,,Mar 10
89,Faeroe Islands,144,,,,54.0,90,2.0,2947.0,,Mar 03
90,Malta,139,,,,2.0,137,1.0,315.0,,Mar 06
91,Ghana,137,,4.0,,2.0,131,1.0,4.0,0.1,Mar 11
92,Senegal,130,+11,,,18.0,112,,8.0,,Mar 01
93,Brunei,120,+5,1.0,1.0,25.0,94,1.0,274.0,2.0,Mar 08
