,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,072,323","+5,895","124,945",+217,"739,684","1,207,694","19,374",,,,,,North America
1,,"
South America
","878,477",+533,"40,113",+32,"352,870","485,494","11,321",,,,,,South America
2,,"
Europe
","2,031,355","+11,574","173,975",+251,"992,914","864,466","8,802",,,,,,Europe
3,,"
Asia
","1,155,853","+19,056","31,031",+254,"707,015","417,807","13,647",,,,,,Asia
4,,"
Africa
","151,550","+2,775","4,274",+29,"64,128","83,148",344,,,,,,Africa
5,,"
Oceania
","8,814",+10,125,,"8,201",488,3,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,299,093","+39,843","374,478",+783,"2,865,463","3,059,152","53,495",808,48.0,,,,All
8,1,USA,"1,839,128","+1,958","106,241 ",+46,"599,882","1,133,005","17,075","5,559",321,"17,700,080","53,500","330,843,477 ",North America
9,2,Brazil,"514,992",+143,"29,341 ",+27,"206,555","279,096","8,318","2,424",138,"930,013","4,378","212,434,518 ",South America
10,3,Russia,"414,878","+9,035","4,855 ",+162,"175,877","234,146","2,300","2,843",33,"10,923,108","74,852","145,929,507 ",Europe
11,4,Spain,"286,509",,"27,127 ",,"196,958","62,424",617,"6,128",580,"4,063,843","86,921","46,753,345 ",Europe
12,5,UK,"274,762",,"38,489 ",,N/A,N/A,"1,559","4,049",567,"4,285,738","63,158","67,856,881 ",Europe
13,6,Italy,"232,997",,"33,415 ",,"157,507","42,075",435,"3,853",553,"3,878,739","64,144","60,468,778 ",Europe
14,7,India,"192,782","+2,173","5,415 ",+7,"92,474","94,893","8,944",140,4,"3,837,207","2,783","1,378,863,296 ",Asia
15,8,France,"188,882",,"28,802 ",,"68,355","91,725","1,319","2,894",441,"1,384,633","21,217","65,261,942 ",Europe
16,9,Germany,"183,564",+70,"8,605 ",,"165,900","9,059",702,"2,191",103,"3,952,971","47,193","83,762,346 ",Europe
17,10,Peru,"164,476",,"4,506 ",,"67,208","92,762",988,"4,994",137,"1,058,874","32,153","32,932,217 ",South America
18,11,Turkey,"163,942",,"4,540 ",,"127,973","31,429",648,"1,946",54,"2,039,194","24,201","84,262,291 ",Asia
19,12,Iran,"154,445","+2,979","7,878 ",+81,"121,004","25,563","2,578","1,841",94,"955,865","11,393","83,900,826 ",Asia
20,13,Chile,"99,688",,"1,054 ",,"42,727","55,907","1,383","5,219",55,"582,440","30,490","19,102,509 ",South America
21,14,Canada,"90,947",,"7,295 ",,"48,879","34,773","1,641","2,411",193,"1,665,831","44,169","37,714,510 ",North America
22,15,Mexico,"90,664","+3,152","9,930 ",+151,"64,326","16,408",378,704,77,"270,992","2,104","128,818,338 ",North America
23,16,Saudi Arabia,"87,142","+1,881",525 ,+22,"64,306","22,311",384,"2,506",15,"822,769","23,666","34,766,601 ",Asia
24,17,Pakistan,"72,460","+2,964","1,543 ",+60,"26,083","44,834",111,329,7,"561,136","2,545","220,509,385 ",Asia
25,18,Belgium,"58,517",+136,"9,486 ",+19,"15,919","33,112",163,"5,051",819,"876,306","75,638","11,585,527 ",Europe
26,19,Qatar,"58,433","+1,523",40 ,+2,"33,437","24,956",240,"20,312",14,"225,919","78,532","2,876,776 ",Asia
27,20,Bangladesh,"49,534","+2,381",672 ,+22,"10,597","38,265",1,301,4,"320,969","1,951","164,551,275 ",Asia
28,21,Netherlands,"46,545",+103,"5,962 ",+6,N/A,N/A,159,"2,717",348,"349,496","20,400","17,131,835 ",Europe
29,22,Belarus,"43,403",+847,240 ,+5,"18,776","24,387",92,"4,593",25,"553,377","58,561","9,449,568 ",Europe
30,23,Ecuador,"39,098",,"3,358 ",,"19,592","16,148",220,"2,219",191,"117,422","6,664","17,619,752 ",South America
31,24,Sweden,"37,814",+272,"4,403 ",+8,"4,971","28,440",267,"3,746",436,"238,800","23,657","10,094,088 ",Europe
32,25,Singapore,"35,292",+408,23 ,,"21,699","13,570",8,"6,036",4,"334,691","57,246","5,846,520 ",Asia
33,26,UAE,"34,557",,264 ,,"17,932","16,361",1,"3,498",27,"2,110,493","213,608","9,880,208 ",Asia
34,27,South Africa,"34,357","+1,674",705 ,+22,"16,809","16,843",128,580,12,"742,742","12,537","59,244,691 ",Africa
35,28,Portugal,"32,700",+200,"1,424 ",+14,"19,552","11,724",64,"3,206",140,"812,415","79,656","10,199,012 ",Europe
36,29,Switzerland,"30,871",+9,"1,920 ",,"28,500",451,28,"3,569",222,"399,215","46,155","8,649,383 ",Europe
37,30,Colombia,"29,383",,939 ,,"8,543","19,901",136,578,18,"319,779","6,290","50,837,039 ",South America
38,31,Kuwait,"27,762",+719,220 ,+8,"12,899","14,643",204,"6,509",52,"290,013","67,997","4,265,091 ",Asia
39,32,Indonesia,"26,940",+467,"1,641 ",+28,"7,637","17,662",,99,6,"333,415","1,220","273,279,215 ",Asia
40,33,Ireland,"24,990",,"1,652 ",,"22,089","1,249",36,"5,066",335,"325,795","66,043","4,933,108 ",Europe
41,34,Egypt,"24,985",,959 ,,"6,037","17,989",41,245,9,"135,000","1,321","102,162,663 ",Africa
42,35,Ukraine,"24,012",+340,718 ,+10,"9,690","13,604",283,549,16,"363,187","8,301","43,753,702 ",Europe
43,36,Poland,"23,987",+201,"1,065 ",+1,"11,449","11,473",160,634,28,"931,520","24,611","37,849,860 ",Europe
44,37,Romania,"19,398",+141,"1,276 ",+10,"13,426","4,696",159,"1,008",66,"443,252","23,029","19,247,388 ",Europe
45,38,Philippines,"18,638",+552,960 ,+3,"3,979","13,699",73,170,9,"358,676","3,277","109,455,699 ",Asia
46,39,Dominican Republic,"17,285",,502 ,,"10,559","6,224",110,"1,595",46,"81,647","7,533","10,838,750 ",North America
47,40,Israel,"17,106",+35,285 ,,"14,826","1,995",33,"1,860",31,"568,452","61,804","9,197,590 ",Asia
48,41,Japan,"16,851",,891 ,,"14,459","1,501",119,133,7,"290,436","2,296","126,506,424 ",Asia
49,42,Argentina,"16,851",,541 ,+2,"5,521","10,789",259,373,12,"160,070","3,544","45,161,038 ",South America
50,43,Austria,"16,733",+2,668 ,,"15,596",469,29,"1,859",74,"451,820","50,190","9,002,188 ",Europe
51,44,Afghanistan,"15,750",+545,265 ,+8,"1,428","14,057",19,405,7,"39,628","1,020","38,848,565 ",Asia
52,45,Panama,"13,463",,336 ,,"9,514","3,613",79,"3,125",78,"67,730","15,719","4,308,839 ",North America
53,46,Oman,"12,223",+786,50 ,+1,"2,682","9,491",31,"2,399",10,"100,181","19,664","5,094,596 ",Asia
54,47,Bahrain,"11,804",+406,19 ,,"7,070","4,715",11,"6,961",11,"322,054","189,915","1,695,780 ",Asia
55,48,Denmark,"11,699",+30,576 ,+2,"10,412",711,20,"2,020",99,"637,738","110,134","5,790,554 ",Europe
56,49,S. Korea,"11,503",+35,271 ,+1,"10,422",810,15,224,5,"921,391","17,973","51,265,682 ",Asia
57,50,Serbia,"11,430",+18,244 ,+1,"6,726","4,460",9,"1,308",28,"247,760","28,348","8,740,077 ",Europe
