,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,,"
North America
","2,084,537","+18,109","125,319",+591,"748,538","1,210,680","19,259",,,,,,North America
1,,"
South America
","894,237","+16,293","40,493",+412,"356,399","497,345","11,399",,,,,,South America
2,,"
Europe
","2,034,216","+14,435","174,654",+932,"993,952","865,610","8,748",,,,,,Europe
3,,"
Asia
","1,163,762","+26,965","31,269",+492,"712,870","419,623","13,657",,,,,,Asia
4,,"
Africa
","154,287","+5,512","4,344",+99,"65,696","84,247",345,,,,,,Africa
5,,"
Oceania
","8,814",+10,125,,"8,201",488,3,,,,,,Australia/Oceania
6,,"

",721,,15,,651,55,4,,,,,,
7,,World,"6,340,574","+81,324","376,219","+2,526","2,886,307","3,078,048","53,415",813,48.3,,,,All
8,1,USA,"1,850,289","+13,119","106,585 ",+390,"607,781","1,135,923","16,960","5,593",322,"17,986,839","54,367","330,843,477 ",North America
9,2,Brazil,"519,704","+4,855","29,534 ",+220,"206,555","283,615","8,318","2,446",139,"930,013","4,378","212,434,518 ",South America
10,3,Russia,"414,878","+9,035","4,855 ",+162,"175,877","234,146","2,300","2,843",33,"10,923,108","74,852","145,929,507 ",Europe
11,4,Spain,"286,718",+209,"27,127 ",,"196,958","62,633",617,"6,133",580,"4,063,843","86,921","46,753,345 ",Europe
12,5,UK,"276,332","+1,570","39,045 ",+556,N/A,N/A,"1,559","4,072",575,"4,285,738","63,158","67,856,881 ",Europe
13,6,Italy,"233,197",+200,"33,475 ",+60,"158,355","41,367",424,"3,856",554,"3,910,133","64,664","60,468,778 ",Europe
14,7,India,"198,370","+7,761","5,608 ",+200,"95,754","97,008","8,944",144,4,"3,837,207","2,783","1,378,863,296 ",Asia
15,8,France,"189,220",+338,"28,833 ",+31,"68,440","91,947","1,302","2,899",442,"1,384,633","21,217","65,261,942 ",Europe
16,9,Germany,"183,734",+240,"8,618 ",+13,"165,900","9,216",677,"2,194",103,"3,952,971","47,193","83,762,346 ",Europe
17,10,Peru,"170,039","+5,563","4,634 ",+128,"68,507","96,898",988,"5,163",141,"1,076,659","32,693","32,932,217 ",South America
18,11,Turkey,"164,769",+827,"4,563 ",+23,"128,947","31,259",651,"1,955",54,"2,070,719","24,575","84,262,291 ",Asia
19,12,Iran,"154,445","+2,979","7,878 ",+81,"121,004","25,563","2,578","1,841",94,"955,865","11,393","83,900,826 ",Asia
20,13,Chile,"105,159","+5,471","1,113 ",+59,"44,946","59,100","1,446","5,505",58,"599,330","31,374","19,102,509 ",South America
21,14,Canada,"91,647",+700,"7,325 ",+30,"49,476","34,846","1,641","2,430",194,"1,691,297","44,845","37,714,510 ",North America
22,15,Mexico,"90,664","+3,152","9,930 ",+151,"64,326","16,408",378,704,77,"270,992","2,104","128,818,338 ",North America
23,16,Saudi Arabia,"87,142","+1,881",525 ,+22,"64,306","22,311",384,"2,506",15,"822,769","23,666","34,766,601 ",Asia
24,17,Pakistan,"72,460","+2,964","1,543 ",+60,"26,083","44,834",111,329,7,"561,136","2,545","220,509,385 ",Asia
25,18,Belgium,"58,517",+136,"9,486 ",+19,"15,919","33,112",163,"5,051",819,"876,306","75,638","11,585,527 ",Europe
26,19,Qatar,"58,433","+1,523",40 ,+2,"33,437","24,956",240,"20,312",14,"225,919","78,532","2,876,776 ",Asia
27,20,Bangladesh,"49,534","+2,381",672 ,+22,"10,597","38,265",1,301,4,"320,969","1,951","164,551,275 ",Asia
28,21,Netherlands,"46,545",+103,"5,962 ",+6,N/A,N/A,158,"2,717",348,"349,496","20,400","17,131,835 ",Europe
29,22,Belarus,"43,403",+847,240 ,+5,"18,776","24,387",92,"4,593",25,"553,377","58,561","9,449,568 ",Europe
30,23,Ecuador,"39,098",,"3,358 ",,"19,592","16,148",220,"2,219",191,"117,422","6,664","17,619,752 ",South America
31,24,Sweden,"37,814",+272,"4,403 ",+8,"4,971","28,440",267,"3,746",436,"238,800","23,657","10,094,088 ",Europe
32,25,Singapore,"35,292",+408,24 ,+1,"22,466","12,802",7,"6,036",4,"334,691","57,246","5,846,520 ",Asia
33,26,UAE,"35,192",+635,266 ,+2,"18,338","16,588",1,"3,562",27,"2,110,493","213,608","9,880,208 ",Asia
34,27,South Africa,"34,357","+1,674",705 ,+22,"17,291","16,361",128,580,12,"742,742","12,537","59,244,691 ",Africa
35,28,Portugal,"32,700",+200,"1,424 ",+14,"19,552","11,724",64,"3,206",140,"812,415","79,656","10,199,012 ",Europe
36,29,Switzerland,"30,871",+9,"1,920 ",,"28,500",451,28,"3,569",222,"399,215","46,155","8,649,383 ",Europe
37,30,Colombia,"29,383",,939 ,,"8,543","19,901",136,578,18,"319,779","6,290","50,837,039 ",South America
38,31,Kuwait,"27,762",+719,220 ,+8,"12,899","14,643",204,"6,509",52,"290,013","67,997","4,265,091 ",Asia
39,32,Indonesia,"26,940",+467,"1,641 ",+28,"7,637","17,662",,99,6,"333,415","1,220","273,279,215 ",Asia
40,33,Egypt,"26,384","+1,399","1,005 ",+46,"6,447","18,932",41,258,10,"135,000","1,321","102,162,663 ",Africa
41,34,Ireland,"25,062",+72,"1,650 ",,"22,089","1,323",36,"5,080",334,"325,795","66,043","4,933,108 ",Europe
42,35,Poland,"24,165",+379,"1,074 ",+10,"11,449","11,642",160,638,28,"931,520","24,611","37,849,860 ",Europe
43,36,Ukraine,"24,012",+340,718 ,+10,"9,690","13,604",283,549,16,"363,187","8,301","43,753,702 ",Europe
44,37,Romania,"19,398",+141,"1,276 ",+10,"13,426","4,696",159,"1,008",66,"443,252","23,029","19,247,388 ",Europe
45,38,Philippines,"18,638",+552,960 ,+3,"3,979","13,699",73,170,9,"358,676","3,277","109,455,699 ",Asia
46,39,Dominican Republic,"17,572",+287,502 ,,"10,893","6,177",110,"1,621",46,"81,647","7,533","10,838,750 ",North America
47,40,Israel,"17,169",+98,285  ,,"14,878","2,006",33,"1,867",31,"568,452","61,804","9,197,590 ",Asia
48,41,Japan,"16,851",,891 ,,"14,459","1,501",119,133,7,"290,436","2,296","126,506,424 ",Asia
49,42,Argentina,"16,851",,541 ,+2,"5,521","10,789",274,373,12,"164,084","3,633","45,161,038 ",South America
50,43,Austria,"16,733",+2,668 ,,"15,596",469,29,"1,859",74,"451,820","50,190","9,002,188 ",Europe
51,44,Afghanistan,"15,750",+545,265 ,+8,"1,428","14,057",19,405,7,"39,628","1,020","38,848,565 ",Asia
52,45,Panama,"13,463",,336 ,,"9,514","3,613",79,"3,125",78,"67,730","15,719","4,308,839 ",North America
53,46,Oman,"12,223",+786,50 ,+1,"2,682","9,491",31,"2,399",10,"100,181","19,664","5,094,596 ",Asia
54,47,Bahrain,"11,871",+473,19 ,,"7,070","4,782",11,"7,000",11,"322,054","189,915","1,695,780 ",Asia
55,48,Denmark,"11,699",+30,576 ,+2,"10,412",711,20,"2,020",99,"637,738","110,134","5,790,554 ",Europe
56,49,S. Korea,"11,503",+35,271 ,+1,"10,422",810,15,224,5,"921,391","17,973","51,265,682 ",Asia
57,50,Serbia,"11,430",+18,244 ,+1,"6,726","4,460",9,"1,308",28,"247,760","28,348","8,740,077 ",Europe
58,51,Kazakhstan,"11,308",+450,41 ,+1,"5,587","5,680",62,603,2,"828,377","44,162","18,757,562 ",Asia
59,52,Nigeria,"10,162",,287 ,,"3,007","6,868",7,49,1,"60,825",296,"205,668,183 ",Africa
60,53,Bolivia,"9,982",+390,313 ,+3,968,"8,701",3,856,27,"28,239","2,422","11,659,305 ",South America
61,54,Algeria,"9,513",+119,661 ,+8,"5,894","2,958",23,217,15,,,"43,780,936 ",Africa
62,55,Armenia,"9,492",+210,139 ,+8,"3,402","5,951",10,"3,204",47,"58,668","19,802","2,962,800 ",Asia
63,56,Czechia,"9,286",+18,321 ,+1,"6,642","2,323",15,867,30,"442,866","41,361","10,707,393 ",Europe
64,57,Norway,"8,442",+2,236 ,,"7,727",479,8,"1,558",44,"245,352","45,287","5,417,721 ",Europe
65,58,Moldova,"8,360",+109,305 ,+10,"4,622","3,433",251,"2,072",76,"55,582","13,776","4,034,692 ",Europe
66,59,Ghana,"8,070",+189,36 ,,"2,947","5,087",3,260,1,"218,425","7,043","31,014,508 ",Africa
67,60,Malaysia,"7,857",+38,115 ,,"6,404","1,338",8,243,4,"560,738","17,344","32,330,462 ",Asia
68,61,Morocco,"7,833",+26,205 ,,"5,893","1,735",18,212,6,"221,554","6,009","36,873,293 ",Africa
69,62,Australia,"7,204",+9,103 ,,"6,619",482,3,283,4,"1,472,220","57,791","25,474,721 ",Australia/Oceania
70,63,Finland,"6,885",+26,318 ,,"5,500","1,067",9,"1,243",57,"185,484","33,481","5,540,033 ",Europe
71,64,Iraq,"6,868",+429,215 ,+10,"3,275","3,378",43,171,5,"238,251","5,935","40,140,397 ",Asia
72,65,Cameroon,"6,397",+493,199 ,+8,"3,629","2,569",28,242,8,,,"26,484,855 ",Africa
73,66,Azerbaijan,"5,662",+168,68 ,+5,"3,508","2,086",42,559,7,"302,933","29,900","10,131,531 ",Asia
74,67,Honduras,"5,202",+108,212 ,+11,537,"4,453",13,526,21,"14,790","1,495","9,890,844 ",North America
75,68,Guatemala,"5,087",+348,108 ,+6,735,"4,244",5,284,6,"31,427","1,757","17,886,146 ",North America
76,69,Sudan,"5,026",,286 ,,"1,423","3,317",,115,7,401,9,"43,755,620 ",Africa
77,70,Luxembourg,"4,019",+1,110 ,,"3,845",64,4,"6,430",176,"75,594","120,934","625,086 ",Europe
78,71,Tajikistan,"4,013",+83,47 ,,"2,089","1,877",,422,5,,,"9,518,158 ",Asia
79,72,Hungary,"3,892",+16,527 ,+1,"2,156","1,209",25,403,55,"187,965","19,454","9,662,256 ",Europe
80,73,Guinea,"3,844",+138,23 ,,"2,135","1,686",24,293,2,"14,407","1,100","13,099,458 ",Africa
81,74,Senegal,"3,739",+94,42 ,,"1,858","1,839",14,224,3,"43,129","2,582","16,702,826 ",Africa
82,75,Uzbekistan,"3,702",+79,15 ,,"2,859",828,9,111,0.4,"460,000","13,761","33,427,196 ",Asia
