,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81218,+47,3281.0,4.0,73650.0,4287,1399.0,56.0,2.0
1,Italy,69176,,6820.0,,8326.0,54030,3393.0,1144.0,113.0
2,USA,54968,+87,784.0,4.0,379.0,53805,1175.0,166.0,2.0
3,Spain,47610,"+5,552",3434.0,443.0,5367.0,38809,2636.0,1018.0,73.0
4,Germany,34009,"+1,018",172.0,13.0,3532.0,30305,23.0,406.0,2.0
5,Iran,27017,"+2,206",2077.0,143.0,9625.0,15315,,322.0,25.0
6,France,22304,,1100.0,,3281.0,17923,2516.0,342.0,17.0
7,Switzerland,10171,+294,135.0,13.0,131.0,9905,141.0,1175.0,16.0
8,S. Korea,9137,+100,126.0,6.0,3730.0,5281,59.0,178.0,2.0
9,UK,8077,,422.0,,135.0,7520,20.0,119.0,6.0
10,Netherlands,5560,,276.0,,2.0,5282,435.0,324.0,16.0
11,Austria,5499,+216,30.0,2.0,9.0,5460,26.0,611.0,3.0
12,Belgium,4937,+668,178.0,56.0,547.0,4212,474.0,426.0,15.0
13,Norway,2902,+36,13.0,1.0,6.0,2883,57.0,535.0,2.0
14,Canada,2792,,26.0,,112.0,2654,1.0,74.0,0.7
15,Australia,2423,+106,9.0,1.0,118.0,2296,11.0,95.0,0.4
16,Portugal,2362,,33.0,,22.0,2307,48.0,232.0,3.0
17,Sweden,2318,+19,41.0,1.0,16.0,2261,144.0,230.0,4.0
18,Brazil,2271,+24,47.0,1.0,2.0,2222,18.0,11.0,0.2
19,Israel,2170,+240,5.0,2.0,58.0,2107,37.0,251.0,0.6
20,Turkey,1872,,44.0,,,1828,,22.0,0.5
21,Malaysia,1796,+172,19.0,3.0,199.0,1578,64.0,55.0,0.6
22,Denmark,1715,+124,32.0,,1.0,1682,69.0,296.0,6.0
23,Czechia,1497,+103,4.0,1.0,10.0,1483,19.0,140.0,0.4
24,Ireland,1329,,7.0,,5.0,1317,29.0,269.0,1.0
25,Japan,1193,,43.0,,285.0,865,54.0,9.0,0.3
26,Luxembourg,1099,,8.0,,6.0,1085,3.0,1756.0,13.0
27,Ecuador,1082,,27.0,,3.0,1052,2.0,61.0,2.0
28,Pakistan,1000,+28,8.0,1.0,21.0,971,5.0,5.0,0.04
29,Thailand,934,+107,4.0,,70.0,860,11.0,13.0,0.06
30,Poland,927,+26,12.0,2.0,1.0,914,3.0,24.0,0.3
31,Chile,922,,2.0,,17.0,903,7.0,48.0,0.1
32,Romania,906,+112,13.0,1.0,86.0,807,18.0,47.0,0.7
33,Finland,853,+61,3.0,2.0,10.0,840,11.0,154.0,0.5
34,Indonesia,790,+104,58.0,3.0,31.0,701,,3.0,0.2
35,Saudi Arabia,767,,1.0,,28.0,738,,22.0,0.03
36,Greece,743,,20.0,,29.0,694,35.0,71.0,2.0
37,Diamond Princess,712,,10.0,,587.0,115,15.0,,
38,South Africa,709,+155,,,4.0,705,2.0,12.0,
39,Russia,658,+163,1.0,,29.0,628,8.0,5.0,0.01
40,Iceland,648,,2.0,,51.0,595,13.0,1899.0,6.0
41,Philippines,636,+84,38.0,3.0,26.0,572,1.0,6.0,0.3
42,India,562,+26,10.0,,40.0,512,,0.4,0.01
43,Singapore,558,,2.0,,156.0,400,17.0,95.0,0.3
44,Slovenia,528,+48,5.0,1.0,10.0,513,14.0,254.0,2.0
45,Qatar,526,,,,41.0,485,6.0,183.0,
46,Panama,443,,6.0,,1.0,436,33.0,103.0,1.0
47,Bahrain,419,+27,3.0,,177.0,239,2.0,246.0,2.0
48,Croatia,418,+36,1.0,,16.0,401,6.0,102.0,0.2
49,Peru,416,,7.0,,1.0,408,9.0,13.0,0.2
50,Hong Kong,410,+23,4.0,,102.0,304,4.0,55.0,0.5
51,Mexico,405,+38,5.0,1.0,4.0,396,1.0,3.0,0.04
52,Estonia,404,+35,,,8.0,396,5.0,305.0,
53,Egypt,402,,20.0,,80.0,302,,4.0,0.2
54,Argentina,387,,6.0,,52.0,329,,9.0,0.1
55,Colombia,378,,3.0,,6.0,369,,7.0,0.06
56,Lebanon,333,+15,4.0,,8.0,321,4.0,49.0,0.6
57,Iraq,316,,27.0,,75.0,214,,8.0,0.7
58,Dominican Republic,312,,6.0,,3.0,303,,29.0,0.6
59,Serbia,303,,4.0,1.0,15.0,284,21.0,35.0,0.5
60,Armenia,265,+16,,,16.0,249,6.0,89.0,
61,Algeria,264,,19.0,,65.0,180,,6.0,0.4
62,Lithuania,255,+46,4.0,2.0,1.0,250,1.0,94.0,1.0
63,UAE,248,,2.0,,45.0,201,2.0,25.0,0.2
64,Taiwan,235,+19,2.0,,29.0,204,,10.0,0.08
65,Hungary,226,+39,10.0,1.0,21.0,195,6.0,23.0,1.0
66,Latvia,221,+24,,,1.0,220,,117.0,
67,Bulgaria,220,+2,3.0,,4.0,213,8.0,32.0,0.4
68,Slovakia,216,+12,,,7.0,209,2.0,40.0,
69,New Zealand,205,,,,22.0,183,,43.0,
70,Kuwait,195,+4,,,43.0,152,6.0,46.0,
71,Uruguay,189,,,,,189,3.0,54.0,
72,San Marino,187,,21.0,,4.0,162,12.0,5511.0,619.0
73,Costa Rica,177,,2.0,,2.0,173,4.0,35.0,0.4
74,Morocco,170,,5.0,,6.0,159,1.0,5.0,0.1
75,Bosnia and Herzegovina,168,,3.0,,2.0,163,1.0,51.0,0.9
76,Andorra,164,,1.0,,1.0,162,7.0,2123.0,13.0
77,Jordan,154,,,,1.0,153,,15.0,
78,North Macedonia,148,,2.0,,1.0,145,1.0,71.0,1.0
79,Albania,146,+23,5.0,,17.0,124,3.0,51.0,2.0
80,Vietnam,134,,,,17.0,117,3.0,1.0,
81,Faeroe Islands,132,+10,,,38.0,94,2.0,2701.0,
82,Malta,129,+19,,,2.0,127,1.0,292.0,
83,Moldova,125,,1.0,,2.0,122,20.0,31.0,0.2
84,Cyprus,124,,3.0,,3.0,118,3.0,103.0,2.0
85,Burkina Faso,114,,4.0,,7.0,103,,5.0,0.2
86,Tunisia,114,,4.0,,1.0,109,11.0,10.0,0.3
87,Ukraine,113,+11,4.0,1.0,1.0,108,,3.0,0.09
88,Brunei,109,+5,,,2.0,107,1.0,249.0,
89,Sri Lanka,102,,,,3.0,99,2.0,5.0,
90,Oman,99,+15,,,17.0,82,,19.0,
91,Senegal,99,+13,,,9.0,90,,6.0,
92,Réunion,94,,,,1.0,93,,105.0,
93,Cambodia,93,+2,,,4.0,89,1.0,6.0,
94,Venezuela,91,+7,,,15.0,76,2.0,3.0,
95,Azerbaijan,87,,1.0,,10.0,76,6.0,9.0,0.1
96,Belarus,86,+5,,,29.0,57,2.0,9.0,
97,Kazakhstan,80,+8,,,,80,,4.0,
98,Afghanistan,79,+5,2.0,1.0,2.0,75,,2.0,0.05
99,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
100,Georgia,73,+3,,,10.0,63,1.0,18.0,
101,Ivory Coast,73,,,,2.0,71,,3.0,
102,Ghana,68,+15,2.0,,,66,,2.0,0.06
103,Cameroon,66,,1.0,,2.0,63,,2.0,0.04
104,Palestine,62,+2,,,16.0,46,,12.0,
105,Martinique,57,,1.0,,,56,7.0,152.0,3.0
106,Trinidad and Tobago,57,,,,,57,,41.0,
107,Uzbekistan,55,+5,,,,55,4.0,2.0,
108,Montenegro,52,+5,1.0,,,51,,83.0,2.0
109,Liechtenstein,51,,,,,51,,1338.0,
110,Mauritius,48,+6,2.0,,,46,1.0,38.0,2.0
111,Cuba,48,,1.0,,1.0,46,2.0,4.0,0.09
112,Nigeria,46,+2,1.0,,2.0,43,,0.2,0.0
113,DRC,45,,2.0,,,43,,0.5,0.02
114,Kyrgyzstan,44,+2,,,,44,,7.0,
115,Rwanda,40,,,,,40,,3.0,
116,Bangladesh,39,,5.0,1.0,7.0,27,,0.2,0.03
117,Channel Islands,39,+3,,,,39,,224.0,
118,Paraguay,37,+10,3.0,1.0,,34,1.0,5.0,0.4
119,Honduras,36,+6,,,,36,,4.0,
120,Mayotte,36,,,,,36,,132.0,
121,Bolivia,32,+3,,,,32,,3.0,
122,Macao,30,+1,,,10.0,20,,46.0,
123,Jamaica,25,+4,1.0,,2.0,22,,8.0,0.3
124,French Polynesia,25,,,,,25,,89.0,
125,Kenya,25,,,,,25,,0.5,
126,Monaco,23,,,,1.0,22,,586.0,
127,French Guiana,23,,,,6.0,17,,77.0,
128,Isle of Man,23,,,,,23,,270.0,
129,Guatemala,21,,1.0,,,20,,1.0,0.06
130,Togo,20,,,,1.0,19,,2.0,
131,Madagascar,19,+2,,,,19,,0.7,
132,Barbados,18,,,,,18,,63.0,
133,Aruba,17,,,,1.0,16,,159.0,
134,Gibraltar,15,,,,5.0,10,,445.0,
135,New Caledonia,14,+4,,,,14,,49.0,
136,Uganda,14,+5,,,,14,,0.3,
137,Maldives,13,,,,5.0,8,,24.0,
138,Ethiopia,12,,,,,12,,0.1,
139,Tanzania,12,,,,,12,,0.2,
140,Zambia,12,+9,,,,12,,0.7,
141,Mongolia,10,,,,,10,,3.0,
142,El Salvador,9,+4,,,,9,,1.0,
143,Equatorial Guinea,9,,,,,9,,6.0,
144,Saint Martin,8,,,,,8,,207.0,
145,Niger,7,+4,1.0,1.0,,6,,0.3,0.04
146,Dominica,7,,,,,7,,97.0,
147,Haiti,7,,,,,7,,0.6,
148,Namibia,7,,,,2.0,5,,3.0,
149,Seychelles,7,,,,,7,,71.0,
150,Suriname,7,,,,,7,,12.0,
151,Cayman Islands,6,,1.0,,,5,,91.0,15.0
152,Curaçao,6,,1.0,,,5,,37.0,6.0
153,Gabon,6,,1.0,,,5,,3.0,0.4
154,Benin,6,,,,,6,,0.5,
155,Bermuda,6,,,,,6,,96.0,
156,Guyana,5,,1.0,,,4,,6.0,1.0
157,Bahamas,5,,,,1.0,4,,13.0,
158,Fiji,5,+1,,,,5,,6.0,
159,Greenland,5,,,,2.0,3,,88.0,
160,Congo,4,,,,,4,,0.7,
161,Guinea,4,,,,,4,,0.3,
162,Vatican City,4,,,,,4,,4994.0,
163,Eswatini,4,,,,,4,,3.0,
164,Cabo Verde,3,,1.0,,,2,,5.0,2.0
165,Gambia,3,,1.0,,,2,,1.0,0.4
166,Sudan,3,,1.0,,,2,,0.07,0.02
167,Zimbabwe,3,,1.0,,,2,,0.2,0.07
168,Nepal,3,+1,,,1.0,2,,0.1,
169,Angola,3,,,,,3,,0.09,
170,Antigua and Barbuda,3,,,,,3,,31.0,
171,CAR,3,,,,,3,,0.6,
172,Chad,3,,,,,3,,0.2,
173,Djibouti,3,,,,,3,,3.0,
174,Liberia,3,,,,,3,,0.6,
175,Mozambique,3,,,,,3,,0.1,
176,Myanmar,3,,,,,3,,0.06,
177,St. Barth,3,,,,,3,,304.0,
178,Saint Lucia,3,,,,,3,,16.0,
179,Bhutan,2,,,,,2,,3.0,
180,Laos,2,,,,,2,,0.3,
181,Mali,2,+2,,,,2,,0.1,
182,Mauritania,2,,,,,2,,0.4,
183,Nicaragua,2,,,,,2,,0.3,
184,Sint Maarten,2,,,,,2,,47.0,
185,Belize,1,,,,,1,,3.0,
186,Eritrea,1,,,,,1,,0.3,
187,Grenada,1,,,,,1,,9.0,
188,Libya,1,,,,,1,,0.1,
189,Montserrat,1,,,,,1,,200.0,
190,Papua New Guinea,1,,,,,1,,0.1,
191,St. Vincent Grenadines,1,,,,,1,,9.0,
192,Somalia,1,,,,,1,,0.06,
193,Syria,1,,,,,1,,0.06,
194,Timor-Leste,1,,,,,1,,0.8,
195,Turks and Caicos,1,,,,,1,,26.0,
196,Total:,435036,12484,19607.0,717.0,111870.0,303559,13241.0,55.8,2.5
