,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,245380,+503,6095.0,+25,10411.0,228874,5421.0,741.0,18.0
1,Spain,117710,"+5,645",10935.0,+587,30513.0,76262,6416.0,2518.0,234.0
2,Italy,115242,,13915.0,,18278.0,83049,4053.0,1906.0,230.0
3,Germany,84794,,1107.0,,22440.0,61247,3936.0,1012.0,13.0
4,France,59105,,5387.0,,12428.0,41290,6399.0,905.0,83.0
5,Iran,53183,"+2,715",3294.0,+134,16711.0,33178,3956.0,633.0,39.0
6,UK,33718,,2921.0,,135.0,30662,163.0,497.0,43.0
7,Switzerland,19106,+279,565.0,+29,4846.0,13695,348.0,2208.0,65.0
8,Turkey,18135,,356.0,,415.0,17364,1101.0,215.0,4.0
9,Belgium,16770,"+1,422",1143.0,+132,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,14697,,1339.0,,250.0,13108,1053.0,858.0,78.0
11,Canada,11283,,173.0,,1979.0,9131,120.0,299.0,5.0
12,Austria,11251,+122,158.0,,2022.0,9071,227.0,1249.0,18.0
13,S. Korea,10062,+86,174.0,+5,6021.0,3867,55.0,196.0,3.0
14,Portugal,9034,,209.0,,68.0,8757,230.0,886.0,20.0
15,Brazil,8066,+22,327.0,+3,127.0,7612,296.0,38.0,2.0
16,Israel,7030,+173,36.0,,338.0,6656,115.0,812.0,4.0
17,Sweden,5568,,308.0,,103.0,5157,429.0,551.0,30.0
18,Australia,5350,+36,28.0,+3,585.0,4737,50.0,210.0,1.0
19,Norway,5255,+108,51.0,+1,32.0,5172,96.0,969.0,9.0
20,Russia,4149,+601,34.0,+4,281.0,3834,8.0,28.0,0.2
21,Czechia,3869,+11,46.0,+2,71.0,3752,77.0,361.0,4.0
22,Ireland,3849,,98.0,,5.0,3746,109.0,779.0,20.0
23,Denmark,3672,+286,123.0,,1089.0,2460,153.0,634.0,21.0
24,Chile,3404,,18.0,,335.0,3051,31.0,178.0,0.9
25,Malaysia,3333,+217,53.0,+3,827.0,2453,108.0,103.0,2.0
26,Ecuador,3163,,120.0,,65.0,2978,100.0,179.0,7.0
27,Poland,3149,+203,59.0,+2,56.0,3034,50.0,83.0,2.0
28,Philippines,3018,+385,136.0,+29,52.0,2830,1.0,28.0,1.0
29,Romania,2738,,116.0,+1,267.0,2355,78.0,142.0,6.0
30,Japan,2617,,63.0,,472.0,2082,60.0,21.0,0.5
31,India,2567,+24,72.0,,192.0,2303,,2.0,0.05
32,Luxembourg,2487,,30.0,,80.0,2377,31.0,3973.0,48.0
33,Pakistan,2450,+29,35.0,+1,126.0,2289,10.0,11.0,0.2
34,Indonesia,1986,+196,181.0,+11,134.0,1671,,7.0,0.7
35,Thailand,1978,+103,19.0,+4,581.0,1378,23.0,28.0,0.3
36,Saudi Arabia,1885,,21.0,,328.0,1536,31.0,54.0,0.6
37,Finland,1615,+97,19.0,,300.0,1296,65.0,291.0,3.0
38,Greece,1544,,53.0,,61.0,1430,91.0,148.0,5.0
39,Mexico,1510,+132,50.0,+13,633.0,827,1.0,12.0,0.4
40,Panama,1475,,37.0,,9.0,1429,50.0,342.0,9.0
41,South Africa,1462,,5.0,,95.0,1362,7.0,25.0,0.08
42,Peru,1414,,55.0,,537.0,822,51.0,43.0,2.0
43,Dominican Republic,1380,,60.0,,16.0,1304,147.0,127.0,6.0
44,Iceland,1319,,4.0,,284.0,1031,12.0,3865.0,12.0
45,Argentina,1265,,37.0,+1,256.0,972,,28.0,0.8
46,Serbia,1171,,31.0,,42.0,1098,81.0,134.0,4.0
47,Colombia,1161,,19.0,,55.0,1087,50.0,23.0,0.4
48,Singapore,1114,+65,5.0,+1,266.0,843,24.0,190.0,0.9
49,UAE,1024,,8.0,,96.0,920,2.0,104.0,0.8
50,Croatia,1011,,7.0,,88.0,916,34.0,246.0,2.0
51,Algeria,986,,86.0,,61.0,839,,22.0,2.0
52,Estonia,961,+103,12.0,+1,48.0,901,16.0,724.0,9.0
53,Qatar,949,,3.0,,72.0,874,37.0,329.0,1.0
54,Ukraine,942,+45,23.0,+1,19.0,900,16.0,22.0,0.5
55,Slovenia,897,,17.0,,70.0,810,31.0,431.0,8.0
56,New Zealand,868,+71,1.0,,103.0,764,2.0,180.0,0.2
57,Egypt,865,,58.0,,201.0,606,,8.0,0.6
58,Hong Kong,845,+43,4.0,,154.0,687,8.0,113.0,0.5
59,Iraq,772,,54.0,,202.0,516,,19.0,1.0
60,Armenia,736,+73,7.0,,43.0,686,30.0,248.0,2.0
