,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
90,Cuba,233,,6.0,,13.0,214,7.0,21.0,0.5
91,Vietnam,233,,,,75.0,158,3.0,2.0,
92,Oman,231,,1.0,,57.0,173,3.0,45.0,0.2
93,Honduras,219,,14.0,,3.0,202,4.0,22.0,1.0
94,Uzbekistan,205,,2.0,,25.0,178,8.0,6.0,0.06
95,Ghana,204,,5.0,,31.0,168,2.0,7.0,0.2
96,Malta,196,,,,2.0,194,2.0,444.0,
97,Senegal,195,,1.0,,55.0,139,,12.0,0.06
98,Ivory Coast,194,,1.0,,15.0,178,,7.0,0.04
99,Channel Islands,193,,3.0,,,190,,1110.0,17.0
100,Nigeria,184,,2.0,,20.0,162,,0.9,0.01
101,Faeroe Islands,177,,,,81.0,96,1.0,3622.0,
102,Mauritius,169,,7.0,,,162,1.0,133.0,6.0
103,Palestine,161,,1.0,,18.0,142,,32.0,0.2
104,Sri Lanka,151,,4.0,,21.0,126,5.0,7.0,0.2
105,Venezuela,146,,5.0,,43.0,98,6.0,5.0,0.2
106,Montenegro,144,,2.0,,,142,4.0,229.0,3.0
107,Martinique,138,,3.0,,27.0,108,19.0,368.0,8.0
108,DRC,134,,13.0,,3.0,118,,1.0,0.1
109,Georgia,134,,,,26.0,108,6.0,34.0,
110,Brunei,133,,1.0,,56.0,76,3.0,304.0,2.0
111,Bolivia,132,9.0,9.0,1.0,1.0,122,3.0,11.0,0.8
112,Guadeloupe,128,,6.0,,24.0,98,14.0,320.0,15.0
113,Mayotte,116,,1.0,,10.0,105,3.0,425.0,4.0
114,Kyrgyzstan,116,,,,5.0,111,5.0,18.0,
115,Kenya,110,,3.0,,4.0,103,2.0,2.0,0.06
116,Cambodia,110,,,,34.0,76,1.0,7.0,
117,Niger,98,,5.0,,,93,,4.0,0.2
118,Isle of Man,95,,1.0,,,94,,1117.0,12.0
119,Trinidad and Tobago,94,,5.0,,1.0,88,,67.0,4.0
120,Paraguay,92,15.0,3.0,,3.0,86,4.0,13.0,0.4
121,Gibraltar,88,,,,46.0,42,,2612.0,
122,Rwanda,84,,,,,84,,6.0,
123,Liechtenstein,75,,,,,75,,1967.0,
124,Monaco,60,,1.0,,2.0,57,2.0,1529.0,25.0
125,Aruba,60,,,,1.0,59,,562.0,
126,Madagascar,59,,,,,59,6.0,2.0,
127,Bangladesh,56,,6.0,,25.0,25,1.0,0.3,0.04
128,Guinea,52,,,,,52,,4.0,
129,French Guiana,51,,,,15.0,36,,171.0,
130,Jamaica,47,,3.0,,2.0,42,,16.0,1.0
131,Guatemala,47,,1.0,,12.0,34,1.0,3.0,0.06
132,Barbados,46,,,,,46,,160.0,
133,Uganda,45,,,,,45,,1.0,
134,El Salvador,41,,2.0,,,39,4.0,6.0,0.3
135,Macao,41,,,,10.0,31,,63.0,
136,Djibouti,40,,,,,40,,40.0,
137,Togo,39,,2.0,,17.0,20,,5.0,0.2
138,Zambia,39,,1.0,,,38,,2.0,0.05
139,French Polynesia,37,,,,,37,1.0,132.0,
140,Mali,36,,3.0,,,33,,2.0,0.1
141,Bermuda,35,,,,11.0,24,,562.0,
142,Ethiopia,29,,,,3.0,26,2.0,0.3,
143,Cayman Islands,28,,1.0,,,27,,426.0,15.0
144,Bahamas,24,,1.0,,1.0,22,,61.0,3.0
145,Congo,22,,2.0,,2.0,18,,4.0,0.4
146,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0
147,Eritrea,22,,,,,22,,6.0,
148,Gabon,21,,1.0,,,20,,9.0,0.4
149,Myanmar,20,,1.0,,,19,,0.4,0.02
150,Tanzania,20,,1.0,,2.0,17,,0.3,0.02
151,Guyana,19,,4.0,,,15,,24.0,5.0
152,Maldives,19,,,,13.0,6,,35.0,
153,Sint Maarten,18,,1.0,,6.0,11,,420.0,23.0
154,Haiti,18,2.0,,,1.0,17,,2.0,
155,New Caledonia,18,,,,1.0,17,,63.0,
156,Syria,16,,2.0,,,14,,0.9,0.1
157,Equatorial Guinea,15,,,,1.0,14,,11.0,
158,Mongolia,14,,,,2.0,12,,4.0,
159,Namibia,14,,,,3.0,11,,6.0,
160,Benin,13,,,,1.0,12,,1.0,
161,Saint Lucia,13,,,,1.0,12,,71.0,
162,Dominica,12,,,,,12,,167.0,
163,Curaçao,11,,1.0,,3.0,7,,67.0,6.0
164,Libya,11,,1.0,,,10,,2.0,0.1
165,Greenland,10,,,,2.0,8,,176.0,
166,Grenada,10,,,,,10,,89.0,
167,Laos,10,,,,,10,,1.0,
168,Mozambique,10,,,,,10,,0.3,
169,Seychelles,10,,,,,10,,102.0,
170,Suriname,10,,,,,10,,17.0,
171,MS Zaandam,9,,2.0,,,7,,,
172,Zimbabwe,9,,1.0,,,8,,0.6,0.07
173,Antigua and Barbuda,9,,,,,9,,92.0,
174,Guinea-Bissau,9,,,,,9,,5.0,
175,Saint Kitts and Nevis,9,,,,,9,,169.0,
176,Eswatini,9,,,,,9,,8.0,
177,Angola,8,,2.0,,1.0,5,,0.2,0.06
178,Sudan,8,,2.0,,2.0,4,,0.2,0.05
179,Chad,8,,,,,8,,0.5,
180,Fiji,7,,,,,7,,8.0,
181,Vatican City,7,,,,,7,,8739.0,
182,Cabo Verde,6,,1.0,,,5,,11.0,2.0
183,Mauritania,6,,1.0,,2.0,3,,1.0,0.2
184,Nepal,6,,,,1.0,5,,0.2,
185,Liberia,6,,,,,6,,1.0,
186,St. Barth,6,,,,1.0,5,,607.0,
187,Nicaragua,5,,1.0,,,4,,0.8,0.2
188,Bhutan,5,,,,1.0,4,,6.0,
189,Montserrat,5,,,,,5,,1002.0,
190,Somalia,5,,,,1.0,4,,0.3,
191,Turks and Caicos,5,,,,,5,,129.0,
192,Botswana,4,,1.0,,,3,,2.0,0.4
193,Gambia,4,,1.0,,2.0,1,,2.0,0.4
194,Anguilla,3,,,,,3,,200.0,
195,Belize,3,,,,,3,,8.0,
196,British Virgin Islands,3,,,,,3,,99.0,
197,Burundi,3,,,,,3,,0.3,
198,CAR,3,,,,,3,,0.6,
199,Malawi,3,,,,,3,,0.2,
200,Caribbean Netherlands,2,,,,,2,,76.0,
201,St. Vincent Grenadines,2,,,,1.0,1,,18.0,
202,Sierra Leone,2,,,,,2,,0.3,
203,Papua New Guinea,1,,,,,1,,0.1,
204,Timor-Leste,1,,,,,1,,0.8,
205,China,81589,,3318.0,,76408.0,1863,429.0,57.0,2.0
206,Total:,1015466,523.0,53190.0,24.0,212229.0,750047,37696.0,130.3,6.8
