,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,257379,"+12,502",6558.0,+488,11941.0,238880,5781.0,778.0,20.0
1,Spain,117710,"+5,645",10935.0,+587,30513.0,76262,6416.0,2518.0,234.0
2,Italy,115242,,13915.0,,18278.0,83049,4053.0,1906.0,230.0
3,Germany,89126,"+4,332",1198.0,+91,24575.0,63353,3936.0,1064.0,14.0
4,France,59105,,5387.0,,12428.0,41290,6399.0,905.0,83.0
5,Iran,53183,"+2,715",3294.0,+134,17935.0,31954,4035.0,633.0,39.0
6,UK,38168,"+4,450",3605.0,+684,135.0,34428,163.0,562.0,53.0
7,Switzerland,19303,+476,573.0,+37,4846.0,13884,348.0,2230.0,66.0
8,Turkey,18135,,356.0,,415.0,17364,1101.0,215.0,4.0
9,Belgium,16770,"+1,422",1143.0,+132,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,15723,"+1,026",1487.0,+148,250.0,13986,1182.0,918.0,87.0
11,Canada,11747,+464,173.0,,1979.0,9595,120.0,311.0,5.0
12,Austria,11444,+315,168.0,+10,2022.0,9254,245.0,1271.0,19.0
13,S. Korea,10062,+86,174.0,+5,6021.0,3867,55.0,196.0,3.0
14,Portugal,9886,+852,246.0,+37,68.0,9572,245.0,970.0,24.0
15,Brazil,8195,+151,335.0,+11,127.0,7733,296.0,39.0,2.0
16,Israel,7030,+173,39.0,+3,338.0,6653,115.0,812.0,5.0
17,Sweden,6078,+510,333.0,+25,103.0,5642,469.0,602.0,33.0
18,Australia,5350,+36,28.0,+3,585.0,4737,85.0,210.0,1.0
19,Norway,5296,+149,56.0,+6,32.0,5208,96.0,977.0,10.0
20,Russia,4149,+601,34.0,+4,281.0,3834,8.0,28.0,0.2
21,Czechia,3869,+11,46.0,+2,71.0,3752,77.0,361.0,4.0
22,Ireland,3849,,98.0,,5.0,3746,109.0,779.0,20.0
23,Chile,3737,+333,22.0,+4,427.0,3288,31.0,195.0,1.0
24,Denmark,3672,+286,139.0,+16,1193.0,2340,153.0,634.0,24.0
25,Malaysia,3333,+217,53.0,+3,827.0,2453,108.0,103.0,2.0
26,Poland,3266,+320,65.0,+8,56.0,3145,50.0,86.0,2.0
27,Romania,3183,+445,122.0,+7,283.0,2778,83.0,165.0,6.0
28,Ecuador,3163,,120.0,,65.0,2978,100.0,179.0,7.0
29,Philippines,3018,+385,136.0,+29,52.0,2830,1.0,28.0,1.0
30,Japan,2617,,63.0,,514.0,2040,60.0,21.0,0.5
31,India,2567,+24,72.0,,192.0,2303,,2.0,0.05
32,Luxembourg,2487,,30.0,,80.0,2377,31.0,3973.0,48.0
33,Pakistan,2458,+37,35.0,+1,126.0,2297,10.0,11.0,0.2
34,Saudi Arabia,2039,+154,25.0,+4,351.0,1663,41.0,59.0,0.7
35,Indonesia,1986,+196,181.0,+11,134.0,1671,,7.0,0.7
36,Thailand,1978,+103,19.0,+4,581.0,1378,23.0,28.0,0.3
37,Finland,1615,+97,20.0,+1,300.0,1295,72.0,291.0,4.0
38,Greece,1613,+69,59.0,+6,61.0,1493,92.0,155.0,6.0
39,Mexico,1510,+132,50.0,+13,633.0,827,1.0,12.0,0.4
40,South Africa,1505,+43,7.0,+2,95.0,1403,7.0,25.0,0.1
41,Dominican Republic,1488,+108,68.0,+8,16.0,1404,147.0,137.0,6.0
42,Serbia,1476,+305,39.0,+8,42.0,1395,81.0,169.0,4.0
43,Panama,1475,,37.0,,9.0,1429,50.0,342.0,9.0
44,Peru,1414,,55.0,,537.0,822,51.0,43.0,2.0
45,Iceland,1364,+45,4.0,,309.0,1051,12.0,3997.0,12.0
46,Argentina,1265,,39.0,+3,256.0,970,,28.0,0.9
47,Colombia,1161,,19.0,,55.0,1087,50.0,23.0,0.4
48,Singapore,1114,+65,5.0,+1,282.0,827,24.0,190.0,0.9
49,Croatia,1079,+68,8.0,+1,92.0,979,39.0,263.0,2.0
50,UAE,1024,,8.0,,96.0,920,2.0,104.0,0.8
51,Algeria,986,,86.0,,61.0,839,,22.0,2.0
52,Estonia,961,+103,12.0,+1,48.0,901,16.0,724.0,9.0
53,Qatar,949,,3.0,,72.0,874,37.0,329.0,1.0
54,Ukraine,942,+45,23.0,+1,19.0,900,16.0,22.0,0.5
55,Slovenia,934,+37,20.0,+3,70.0,844,31.0,449.0,10.0
56,New Zealand,868,+71,1.0,,103.0,764,2.0,180.0,0.2
57,Egypt,865,,58.0,,201.0,606,,8.0,0.6
58,Hong Kong,845,+43,4.0,,173.0,668,8.0,113.0,0.5
59,Iraq,820,+48,54.0,,226.0,540,,20.0,1.0
60,Armenia,736,+73,7.0,,43.0,686,30.0,248.0,2.0
61,Morocco,735,+27,47.0,+3,49.0,639,1.0,20.0,1.0
62,Diamond Princess,712,,11.0,,619.0,82,10.0,,
63,Lithuania,696,+47,9.0,,7.0,680,11.0,256.0,3.0
64,Bahrain,672,+29,4.0,,382.0,286,3.0,395.0,2.0
65,Hungary,623,+38,26.0,+5,43.0,554,17.0,64.0,3.0
66,Bosnia and Herzegovina,574,+41,17.0,+1,27.0,530,4.0,175.0,5.0
67,Lebanon,508,+14,17.0,+1,46.0,445,2.0,74.0,2.0
68,Moldova,505,,6.0,,26.0,473,65.0,125.0,1.0
69,Latvia,493,+35,,,1.0,492,3.0,261.0,
70,Bulgaria,485,+28,14.0,+4,30.0,441,18.0,70.0,2.0
71,Kazakhstan,460,+25,6.0,+3,29.0,425,6.0,24.0,0.3
72,Tunisia,455,,14.0,,5.0,436,10.0,38.0,1.0
73,Slovakia,450,+24,1.0,,10.0,439,3.0,82.0,0.2
74,Azerbaijan,443,+43,5.0,,32.0,406,7.0,44.0,0.5
75,Andorra,439,+11,16.0,+1,16.0,407,12.0,5682.0,207.0
76,North Macedonia,430,+46,11.0,,17.0,402,8.0,206.0,5.0
77,Kuwait,417,+75,,,82.0,335,16.0,98.0,
78,Cyprus,396,+40,11.0,+1,28.0,357,11.0,328.0,9.0
79,Costa Rica,396,,2.0,,6.0,388,11.0,78.0,0.4
80,Uruguay,369,+19,4.0,,68.0,297,13.0,106.0,1.0
81,Belarus,351,+47,4.0,,53.0,294,11.0,37.0,0.4
82,Taiwan,348,+9,5.0,,50.0,293,,15.0,0.2
83,Réunion,321,+13,,,40.0,281,3.0,359.0,
84,Cameroon,306,,7.0,,10.0,289,,12.0,0.3
85,Albania,304,+27,16.0,,89.0,199,7.0,106.0,6.0
86,Burkina Faso,302,+14,16.0,,50.0,236,,14.0,0.8
87,Jordan,299,,5.0,,45.0,249,5.0,29.0,0.5
88,Afghanistan,273,,6.0,,10.0,257,,7.0,0.2
89,Cuba,269,+36,6.0,,15.0,248,7.0,24.0,0.5
90,Oman,252,+21,1.0,,57.0,194,3.0,49.0,0.2
91,San Marino,245,,30.0,,21.0,194,15.0,7221.0,884.0
92,Vietnam,237,+4,,,85.0,152,3.0,2.0,
93,Channel Islands,232,+39,4.0,+1,13.0,215,,1334.0,23.0
94,Honduras,222,+3,15.0,+1,3.0,204,10.0,22.0,2.0
95,Uzbekistan,221,+16,2.0,,25.0,194,8.0,7.0,0.06
96,Senegal,207,+12,1.0,,66.0,140,1.0,12.0,0.06
97,Ghana,204,,5.0,,31.0,168,2.0,7.0,0.2
98,Malta,202,+6,,,2.0,200,2.0,457.0,
99,Ivory Coast,194,,1.0,,15.0,178,,7.0,0.04
100,Nigeria,190,+6,2.0,,20.0,168,,0.9,0.01
101,Mauritius,186,+17,7.0,,,179,1.0,146.0,6.0
102,Faeroe Islands,179,+2,,,91.0,88,1.0,3663.0,
