,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,266750,"+21,873",6803.0,+733,11983.0,247964,5781.0,806.0,21.0
1,Italy,119827,"+4,585",14681.0,+766,19758.0,85388,4068.0,1982.0,243.0
2,Spain,117710,"+5,645",10935.0,+587,30513.0,76262,6416.0,2518.0,234.0
3,Germany,90964,"+6,170",1234.0,+127,24575.0,65155,3936.0,1086.0,15.0
4,France,64338,"+5,233",6507.0,"+1,120",14008.0,43823,6662.0,986.0,100.0
5,Iran,53183,"+2,715",3294.0,+134,17935.0,31954,4035.0,633.0,39.0
6,UK,38168,"+4,450",3605.0,+684,135.0,34428,163.0,562.0,53.0
7,Turkey,20921,"+2,786",425.0,+69,484.0,20012,1251.0,248.0,5.0
8,Switzerland,19606,+779,591.0,+55,4846.0,14169,348.0,2265.0,68.0
9,Belgium,16770,"+1,422",1143.0,+132,2872.0,12755,1205.0,1447.0,99.0
10,Netherlands,15723,"+1,026",1487.0,+148,250.0,13986,1182.0,918.0,87.0
11,Canada,12375,"+1,092",178.0,+5,1979.0,10218,120.0,328.0,5.0
12,Austria,11506,+377,168.0,+10,2022.0,9316,245.0,1278.0,19.0
13,S. Korea,10062,+86,174.0,+5,6021.0,3867,55.0,196.0,3.0
14,Portugal,9886,+852,246.0,+37,68.0,9572,245.0,970.0,24.0
15,Brazil,8261,+217,344.0,+20,127.0,7790,296.0,39.0,2.0
16,Israel,7428,+571,40.0,+4,338.0,7050,113.0,858.0,5.0
17,Sweden,6131,+563,358.0,+50,205.0,5568,469.0,607.0,35.0
18,Norway,5370,+223,59.0,+9,32.0,5279,96.0,991.0,11.0
19,Australia,5350,+36,28.0,+3,585.0,4737,85.0,210.0,1.0
20,Ireland,4273,+424,120.0,+22,5.0,4148,109.0,865.0,24.0
21,Russia,4149,+601,34.0,+4,281.0,3834,8.0,28.0,0.2
22,Czechia,4091,+233,53.0,+9,72.0,3966,77.0,382.0,5.0
23,Denmark,3757,+371,139.0,+16,1193.0,2425,153.0,649.0,24.0
24,Chile,3737,+333,22.0,+4,427.0,3288,31.0,195.0,1.0
25,Ecuador,3368,+205,145.0,+25,65.0,3158,100.0,191.0,8.0
26,Malaysia,3333,+217,53.0,+3,827.0,2453,108.0,103.0,2.0
