,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,USA,245373,+496,6095.0,25.0,10403.0,228875,5421.0,741.0,18.0
1,Italy,115242,,13915.0,,18278.0,83049,4053.0,1906.0,230.0
2,Spain,112065,,10348.0,,26743.0,74974,6092.0,2397.0,221.0
3,Germany,84794,,1107.0,,22440.0,61247,3936.0,1012.0,13.0
4,France,59105,,5387.0,,12428.0,41290,6399.0,905.0,83.0
5,Iran,50468,,3160.0,,16711.0,30597,3956.0,601.0,38.0
6,UK,33718,,2921.0,,135.0,30662,163.0,497.0,43.0
7,Switzerland,18827,,536.0,,4013.0,14278,348.0,2175.0,62.0
8,Turkey,18135,,356.0,,415.0,17364,1101.0,215.0,4.0
9,Belgium,15348,,1011.0,,2495.0,11842,1144.0,1324.0,87.0
10,Netherlands,14697,,1339.0,,250.0,13108,1053.0,858.0,78.0
11,Canada,11283,,173.0,,1979.0,9131,120.0,299.0,5.0
12,Austria,11199,+70,158.0,,1749.0,9292,227.0,1243.0,18.0
13,S. Korea,10062,+86,174.0,5.0,6021.0,3867,55.0,196.0,3.0
14,Portugal,9034,,209.0,,68.0,8757,230.0,886.0,20.0
15,Brazil,8066,+22,327.0,3.0,127.0,7612,296.0,38.0,2.0
16,Israel,7030,+173,36.0,,338.0,6656,115.0,812.0,4.0
17,Sweden,5568,,308.0,,103.0,5157,429.0,551.0,30.0
18,Australia,5350,+36,28.0,3.0,585.0,4737,50.0,210.0,1.0
19,Norway,5218,+71,50.0,,32.0,5136,96.0,963.0,9.0
20,Russia,4149,+601,34.0,4.0,281.0,3834,8.0,28.0,0.2
21,Czechia,3869,+11,46.0,2.0,71.0,3752,77.0,361.0,4.0
22,Ireland,3849,,98.0,,5.0,3746,109.0,779.0,20.0
23,Chile,3404,,18.0,,335.0,3051,31.0,178.0,0.9
24,Denmark,3386,,123.0,,1089.0,2174,153.0,585.0,21.0
25,Ecuador,3163,,120.0,,65.0,2978,100.0,179.0,7.0
26,Malaysia,3116,,50.0,,767.0,2299,105.0,96.0,2.0
27,Poland,2946,,57.0,,56.0,2833,50.0,78.0,2.0
28,Romania,2738,,116.0,1.0,267.0,2355,78.0,142.0,6.0
29,Philippines,2633,,107.0,,51.0,2475,1.0,24.0,1.0
30,Japan,2617,,63.0,,472.0,2082,60.0,21.0,0.5
31,India,2567,+24,72.0,,192.0,2303,,2.0,0.05
32,Luxembourg,2487,,30.0,,80.0,2377,31.0,3973.0,48.0
33,Pakistan,2450,+29,35.0,1.0,126.0,2289,10.0,11.0,0.2
34,Thailand,1978,+103,19.0,4.0,581.0,1378,23.0,28.0,0.3
35,Saudi Arabia,1885,,21.0,,328.0,1536,31.0,54.0,0.6
36,Indonesia,1790,,170.0,,112.0,1508,,7.0,0.6
37,Finland,1615,+97,19.0,,300.0,1296,65.0,291.0,3.0
38,Greece,1544,,53.0,,61.0,1430,91.0,148.0,5.0
39,Mexico,1510,+132,50.0,13.0,633.0,827,1.0,12.0,0.4
40,Panama,1475,,37.0,,9.0,1429,50.0,342.0,9.0
41,South Africa,1462,,5.0,,95.0,1362,7.0,25.0,0.08
42,Peru,1414,,55.0,,537.0,822,51.0,43.0,2.0
43,Dominican Republic,1380,,60.0,,16.0,1304,147.0,127.0,6.0
44,Iceland,1319,,4.0,,284.0,1031,12.0,3865.0,12.0
45,Argentina,1265,,37.0,1.0,256.0,972,,28.0,0.8
46,Serbia,1171,,31.0,,42.0,1098,81.0,134.0,4.0
47,Colombia,1161,,19.0,,55.0,1087,50.0,23.0,0.4
48,Singapore,1049,,5.0,1.0,266.0,778,24.0,179.0,0.9
49,UAE,1024,,8.0,,96.0,920,2.0,104.0,0.8
50,Croatia,1011,,7.0,,88.0,916,34.0,246.0,2.0
51,Algeria,986,,86.0,,61.0,839,,22.0,2.0
52,Qatar,949,,3.0,,72.0,874,37.0,329.0,1.0
53,Ukraine,942,+45,23.0,1.0,19.0,900,16.0,22.0,0.5
54,Slovenia,897,,17.0,,70.0,810,31.0,431.0,8.0
55,New Zealand,868,+71,1.0,,103.0,764,2.0,180.0,0.2
56,Egypt,865,,58.0,,201.0,606,,8.0,0.6
57,Estonia,858,,11.0,,45.0,802,16.0,647.0,8.0
58,Hong Kong,802,,4.0,,154.0,644,8.0,107.0,0.5
59,Iraq,772,,54.0,,202.0,516,,19.0,1.0
60,Armenia,736,+73,7.0,,43.0,686,30.0,248.0,2.0
61,Morocco,735,+27,47.0,3.0,34.0,654,1.0,20.0,1.0
62,Diamond Princess,712,,11.0,,619.0,82,10.0,,
63,Lithuania,696,+47,9.0,,7.0,680,11.0,256.0,3.0
64,Bahrain,643,,4.0,,381.0,258,3.0,378.0,2.0
65,Hungary,623,+38,26.0,5.0,43.0,554,17.0,64.0,3.0
66,Bosnia and Herzegovina,543,+10,16.0,,27.0,500,4.0,166.0,5.0
67,Moldova,505,,6.0,,23.0,476,65.0,125.0,1.0
68,Lebanon,494,,16.0,,46.0,432,3.0,72.0,2.0
69,Latvia,493,+35,,,31.0,462,3.0,261.0,
70,Bulgaria,477,+20,12.0,2.0,30.0,435,18.0,69.0,2.0
71,Tunisia,455,,14.0,,5.0,436,10.0,38.0,1.0
72,Kazakhstan,453,+18,3.0,,29.0,421,6.0,24.0,0.2
73,Andorra,428,,15.0,,10.0,403,12.0,5539.0,194.0
74,Slovakia,426,,1.0,,5.0,420,3.0,78.0,0.2
75,Azerbaijan,400,,5.0,,26.0,369,7.0,39.0,0.5
76,Costa Rica,396,,2.0,,6.0,388,11.0,78.0,0.4
77,North Macedonia,384,,11.0,,17.0,356,8.0,184.0,5.0
78,Uruguay,369,+19,4.0,,68.0,297,13.0,106.0,1.0
79,Cyprus,356,,10.0,,28.0,318,11.0,295.0,8.0
80,Taiwan,348,+9,5.0,,50.0,293,,15.0,0.2
81,Kuwait,342,,,,81.0,261,15.0,80.0,
82,Réunion,308,,,,40.0,268,3.0,344.0,
83,Cameroon,306,,7.0,,10.0,289,,12.0,0.3
84,Belarus,304,,4.0,,53.0,247,11.0,32.0,0.4
85,Jordan,299,,5.0,,45.0,249,5.0,29.0,0.5
86,Burkina Faso,288,,16.0,,50.0,222,,14.0,0.8
87,Albania,277,,16.0,,76.0,185,7.0,96.0,6.0
88,Afghanistan,273,,6.0,,10.0,257,,7.0,0.2
89,Oman,252,+21,1.0,,57.0,194,3.0,49.0,0.2
90,San Marino,245,,30.0,,21.0,194,15.0,7221.0,884.0
91,Cuba,233,,6.0,,13.0,214,7.0,21.0,0.5
92,Vietnam,233,,,,85.0,148,3.0,2.0,
93,Honduras,222,+3,15.0,1.0,3.0,204,10.0,22.0,2.0
94,Uzbekistan,221,+16,2.0,,25.0,194,8.0,7.0,0.06
95,Ghana,204,,5.0,,31.0,168,2.0,7.0,0.2
96,Malta,196,,,,2.0,194,2.0,444.0,
97,Senegal,195,,1.0,,55.0,139,,12.0,0.06
98,Ivory Coast,194,,1.0,,15.0,178,,7.0,0.04
99,Channel Islands,193,,3.0,,,190,,1110.0,17.0
100,Nigeria,184,,2.0,,20.0,162,,0.9,0.01
101,Faeroe Islands,179,+2,,,91.0,88,1.0,3663.0,
102,Mauritius,169,,7.0,,,162,1.0,133.0,6.0
103,Palestine,161,,1.0,,18.0,142,,32.0,0.2
104,Montenegro,160,+16,2.0,,,158,4.0,255.0,3.0
105,Sri Lanka,151,,4.0,,22.0,125,5.0,7.0,0.2
106,Georgia,148,+14,,,27.0,121,6.0,37.0,
107,Venezuela,146,,5.0,,43.0,98,6.0,5.0,0.2
108,Martinique,138,,3.0,,27.0,108,19.0,368.0,8.0
109,DRC,134,,13.0,,3.0,118,,1.0,0.1
110,Brunei,133,,1.0,,56.0,76,3.0,304.0,2.0
111,Bolivia,132,+9,9.0,1.0,1.0,122,3.0,11.0,0.8
112,Kyrgyzstan,130,+14,1.0,1.0,5.0,124,5.0,20.0,0.2
113,Guadeloupe,128,,6.0,,24.0,98,14.0,320.0,15.0
114,Mayotte,116,,1.0,,10.0,105,3.0,425.0,4.0
115,Cambodia,114,+4,,,35.0,79,1.0,7.0,
116,Kenya,110,,3.0,,4.0,103,2.0,2.0,0.06
117,Niger,98,,5.0,,,93,,4.0,0.2
118,Trinidad and Tobago,97,+3,6.0,1.0,1.0,90,,69.0,4.0
119,Isle of Man,95,,1.0,,,94,,1117.0,12.0
120,Paraguay,92,+15,3.0,,4.0,85,4.0,13.0,0.4
121,Gibraltar,88,,,,46.0,42,,2612.0,
